 Fe II levels
  n      E(n)       g    label
      17       2     5254.8  1.5000E-01       0.001
      17       3     5266.1  1.4000E-01       0.003
      17       4     5281.7  5.0000E-01       0.300
      17       5     5282.8  8.0000E-01       0.001
      17       6     6192.9  5.0000E-01       0.003
      17       7     6222.6  2.0000E-01       0.004
      17       8     6256.5  0.0000E+00       0.060
      17       9     8030.6  1.0000E-01       0.240
      17      10     8085.1  0.0000E+00       0.060
      17      11     8127.2  2.3000E-01       0.004
      17      12     8137.1  3.4000E-01       0.001
      17      13    24868.8  0.0000E+00       0.360
      17      14    25360.9  0.0000E+00       0.420
      17      15    46847.6  2.3000E-01       0.001
      17      16    60626.3  5.9000E-01       0.008
      18       1     1927.5  0.0000E+00       0.135
      18       2     5087.4  2.1000E-01       0.135
      18       3     5098.0  0.0000E+00       0.270
      18       4     5112.6  4.1000E-01       0.002
      18       5     5113.7  4.7000E-01       0.180
      18       6     5961.7  8.7000E-01       0.001
      18       7     5989.2  1.3000E-01       0.001
      18       8     6020.6  2.4000E-01       0.004
      18       9     7646.1  9.1000E-01       0.003
      18      10     7695.5  5.4000E-01       0.003
      18      11     7733.6  2.1000E-01       0.001
      18      12     7742.6  2.2000E-01       0.001
      18      13    21518.0  0.0000E+00       0.270
      18      14    21885.4  0.0000E+00       0.315
      18      15    36222.0  9.0000E-01       0.001
      18      16    43944.1  3.5000E-01       0.001
      18      17   159700.9  3.0000E-01       0.002
      19       1     1899.3  0.0000E+00       0.225
      19       2     4895.6  8.7000E-01       0.004
      19       3     4905.4  3.2000E-01       0.450
      19       4     4918.9  1.2000E-01       0.375
      19       5     4919.9  6.1000E-01       0.002
      19       6     5700.0  8.8000E-01       0.003
      19       7     5725.1  0.0000E+00       0.150
      19       8     5753.8  0.0000E+00       0.075
      19       9     7220.8  1.6000E-01       0.300
      19      10     7264.9  0.0000E+00       0.075
      19      11     7298.9  0.0000E+00       0.150
      19      12     7306.9  5.7000E-01       0.002
      19      13    18458.8  0.0000E+00       0.450
      19      14    18728.5  0.0000E+00       0.525
      19      15    28320.9  0.0000E+00       0.225
      19      16    32831.8  0.0000E+00       0.150
      19      17    71613.7  0.0000E+00       0.300
      19      18   129834.7  0.0000E+00       1.350
      20       1     1896.6  0.0000E+00       0.180
      20       2     4877.6  1.4000E-01       0.001
      20       3     4887.4  4.0000E-01       0.001
      20       4     4900.8  1.9000E-01       0.300
      20       5     4901.8  2.0000E-01       0.240
      20       6     5675.7  2.0000E-01       0.002
      20       7     5700.6  6.5000E-01       0.003
      20       8     5729.1  0.0000E+00       0.060
      20       9     7181.9  1.1000E-01       0.240
      20      10     7225.5  0.0000E+00       0.060
      20      11     7259.1  8.5000E-01       0.002
      20      12     7267.0  1.9000E-01       0.001
      20      13    18206.6  0.0000E+00       0.360
      20      14    18469.0  0.0000E+00       0.420
      20      15    27731.7  2.1000E-01       0.001
      20      16    32042.5  0.0000E+00       0.120
      20      17    67962.4  0.0000E+00       0.240
      20      18   118310.9  0.0000E+00       1.080
      20      19  1332970.0  1.4000E-01       0.005
      21       1     1891.4  0.0000E+00       0.135
      21       2     4843.6  2.5000E-01       0.135
      21       3     4853.2  0.0000E+00       0.270
      21       4     4866.5  6.1000E-01       0.001
      21       5     4867.4  1.1000E-01       0.180
      21       6     5629.7  6.7000E-01       0.002
      21       7     5654.2  2.9000E-01       0.002
      21       8     5682.2  1.3000E-01       0.003
      21       9     7108.4  3.0000E-01       0.001
      21      10     7151.1  7.7000E-01       0.002
      21      11     7184.0  2.7000E-01       0.001
      21      12     7191.7  1.9000E-01       0.135
      21      13    17741.4  0.0000E+00       0.270
      21      14    17990.4  0.0000E+00       0.315
      21      15    26666.5  2.2000E-01       0.001
      21      16    30628.9  6.9000E-01       0.002
      21      17    61902.6  0.0000E+00       0.180
      21      18   101084.7  0.0000E+00       0.810
      21      19   456496.6  0.0000E+00       1.350
      21      20   694255.2  5.8000E-01       0.004
      22       1     1889.9  0.0000E+00       0.090
      22       2     4833.5  3.2000E-01       0.090
      22       3     4843.1  0.0000E+00       0.180
      22       4     4856.3  0.0000E+00       0.150
      22       5     4857.3  7.1000E-01       0.001
      22       6     5616.1  5.6000E-01       0.003
      22       7     5640.5  1.8000E-01       0.002
      22       8     5668.3  5.6000E-01       0.003
      22       9     7086.7  1.9000E-01       0.003
      22      10     7129.2  1.0000E-01       0.030
      22      11     7161.9  1.8000E-01       0.060
      22      12     7169.6  3.9000E-01       0.001
      22      13    17607.0  0.0000E+00       0.180
      22      14    17852.3  0.0000E+00       0.210
      22      15    26364.1  1.8000E-01       0.003
      22      16    30230.6  1.5000E-01       0.001
      22      17    60297.2  0.0000E+00       0.120
      22      18    96872.8  0.0000E+00       0.090
      22      19   381575.4  0.0000E+00       0.900
      22      20   534613.6  0.0000E+00       0.720
      22      21  2324947.7  4.6000E-01       0.005
  new spectrum for lambda =            2           1
  new spectrum for lambda =            2           1
