   ILREP   N   L
   -----   -   -
   187    70   4
   188    70   5
   189    70   6
   190    85   0
   191    85   1
   192    85   2
   193    85   3
   194    85   4
   195    85   5
   196    85   6
   197   100   0
   198   100   1
   199   100   2
   200   100   3
   201   100   4
   202   100   5
   203   100   6

   NL-SHELL I.P. STRADDLING CONFGS                     NIPPY=235
   -------------------------------
   INDP    N   L      FWB         WNB    FWA         WNA
   ----    -   -     ---- ------------  ---- ------------
     2     5   0     .125     174378.0  .875     256053.7
     1     7   0     .933     169107.4  .067     220027.8
     1     8   0     .933     182965.1  .067     233894.7
     1     9   0     .933     191856.9  .067     242791.9
     1    10   0     .933     197904.7  .067     248843.0
     1    11   0     .600     195663.5  .400     220507.5
     1    12   0     .600     198830.6  .400     223675.3
     1    13   0     .600     201230.6  .400     226075.8
     1    14   0     .600     203092.7  .400     227938.3
     1    15   0     .600     204569.1  .400     229414.9
     1    16   0     .600     205754.8  .400     230600.8
     1    17   0     .600     206723.5  .400     231569.7
     1    18   0     .600     207525.2  .400     232371.5
     1    19   0     .600     208196.0  .400     233042.4
     1    20   0     .600     208763.1  .400     233609.6
     1    21   0     .600     209246.8  .400     234093.3
     1    22   0     .600     209662.6  .400     234509.2
     1    23   0     .600     210022.7  .400     234869.3
     1    24   0     .600     210336.6  .400     235183.3
     1    25   0     .600     210611.9  .400     235458.6
     1    32   0     .267     211051.2  .733     225694.2
     1    39   0     .267     211669.3  .733     226312.3
     1    47   0     .267     212059.0  .733     226702.0
     1    57   0     .067     211796.3  .933     223874.4
     1    70   0     .067     211988.6  .933     224066.7
     1    85   0     .067     212109.1  .933     224187.3
     1   100   0     .067     212179.1  .933     224257.2
     1   125   0     .067     212244.3  .933     224322.4
     1   150   0     .067     212279.5  .933     224357.6
     1   180   0     .067     212303.8  .933     224382.0
     1   220   0     .067     212322.1  .933     224400.2
     1   270   0     .067     212334.4  .933     224412.6
     1   330   0     .067     212342.5  .933     224420.6
     1   390   0     .067     212347.1  .933     224425.2
     1   480   0     .067     212351.1  .933     224429.2
     1   580   0     .067     212353.5  .933     224431.6
     1   700   0     .067     212355.1  .933     224433.3
     1   850   0     .067     212356.3  .933     224434.4
     1   999   0     .067     212357.0  .933     224435.1
     2     5   1     .125     188307.8  .875     270093.0
     1     7   1     .933     173405.5  .067     224335.5
     1     8   1     .933     185684.7  .067     236619.2
     1     9   1     .933     193684.6  .067     244622.4
     1    10   1     .933     199191.3  .067     250131.3
     1    11   1     .600     196602.8  .400     221447.6
     1    12   1     .600     199537.2  .400     224382.5
     1    13   1     .600     201775.4  .400     226621.0
     1    14   1     .600     203521.6  .400     228367.4
     1    15   1     .600     204914.0  .400     229760.0
     1    16   1     .600     206035.3  .400     230881.4
     1    17   1     .600     206954.6  .400     231800.9
     1    18   1     .600     207717.9  .400     232564.3
     1    19   1     .600     208358.4  .400     233204.9
     1    20   1     .600     208901.2  .400     233747.7
     1    21   1     .600     209365.2  .400     234211.7
     1    22   1     .600     209764.9  .400     234611.5
     1    23   1     .600     210111.7  .400     234958.3
     1    24   1     .600     210414.5  .400     235261.2
     1    25   1     .600     210680.4  .400     235527.2
     1    32   1     .267     211083.0  .733     225726.0
     1    39   1     .267     211686.6  .733     226329.6
     1    47   1     .267     212068.8  .733     226711.8
     1    57   1     .067     211801.7  .933     223879.8
     1    70   1     .067     211991.5  .933     224069.6
     1    85   1     .067     212110.7  .933     224188.9
     1   100   1     .067     212180.1  .933     224258.2
     1   125   1     .067     212244.8  .933     224322.9
     1   150   1     .067     212279.8  .933     224357.9
     1   180   1     .067     212304.0  .933     224382.1
     1   220   1     .067     212322.2  .933     224400.3
     1   270   1     .067     212334.5  .933     224412.6
     1   330   1     .067     212342.5  .933     224420.6
     1   390   1     .067     212347.1  .933     224425.3
     1   480   1     .067     212351.1  .933     224429.2
     1   580   1     .067     212353.5  .933     224431.6
     1   700   1     .067     212355.1  .933     224433.3
     1   850   1     .067     212356.3  .933     224434.4
     1   999   1     .067     212357.0  .933     224435.1
     2     5   2     .125     209713.9  .875     291488.2
     1     6   2     .933     164279.5  .067     215206.3
     1     7   2     .933     180072.7  .067     231003.3
     1     8   2     .933     189977.3  .067     240911.8
     1     9   2     .933     196611.4  .067     247548.8
     1    10   2     .600     194734.7  .400     219578.1
     1    11   2     .600     198140.5  .400     222984.7
     1    12   2     .600     200703.7  .400     225548.5
     1    13   2     .600     202681.2  .400     227526.4
     1    14   2     .600     204239.0  .400     229084.5
     1    15   2     .600     205488.0  .400     230333.8
     1    16   2     .600     206507.4  .400     231353.4
     1    17   2     .600     207345.5  .400     232191.6
     1    18   2     .600     208045.1  .400     232891.3
     1    19   2     .600     208635.1  .400     233481.4
     1    20   2     .600     209137.2  .400     233983.6
     1    21   2     .600     209568.1  .400     234414.6
     1    22   2     .600     209940.7  .400     234787.2
     1    23   2     .600     210264.9  .400     235111.5
     1    24   2     .600     210548.9  .400     235395.5
     1    25   2     .600     210799.0  .400     235645.7
     1    32   2     .267     211138.6  .733     225781.6
     1    39   2     .267     211717.0  .733     226359.9
     1    47   2     .267     212086.0  .733     226729.0
     1    57   2     .067     211811.3  .933     223889.4
     1    70   2     .067     211996.6  .933     224074.7
     1    85   2     .067     212113.6  .933     224191.7
     1   100   2     .067     212181.8  .933     224260.0
     1   125   2     .067     212245.7  .933     224323.8
     1   150   2     .067     212280.3  .933     224358.4
     1   180   2     .067     212304.3  .933     224382.4
     1   220   2     .067     212322.3  .933     224400.5
     1   270   2     .067     212334.6  .933     224412.7
     1   330   2     .067     212342.6  .933     224420.7
     1   390   2     .067     212347.2  .933     224425.3
     1   480   2     .067     212351.1  .933     224429.2
     1   580   2     .067     212353.5  .933     224431.6
     1   700   2     .067     212355.1  .933     224433.3
     1   850   2     .067     212356.3  .933     224434.4
     1   999   2     .067     212357.0  .933     224435.1
     1     6   3     .933     170083.8  .067     221021.7
     1     7   3     .933     183597.8  .067     234536.5
     1     8   3     .933     192282.3  .067     243222.4
     1     9   3     .933     198202.4  .067     249143.8
     1    10   3     .600     195879.2  .400     220724.0
     1    11   3     .600     198991.8  .400     223837.0
     1    12   3     .600     201354.1  .400     226199.7
     1    13   3     .600     203189.4  .400     228035.3
     1    14   3     .600     204643.7  .400     229489.8
     1    15   3     .600     205815.5  .400     230661.7
     1    16   3     .600     206773.6  .400     231619.9
     1    17   3     .600     207567.4  .400     232413.8
     1    18   3     .600     208231.6  .400     233078.1
     1    19   3     .600     208793.3  .400     233639.9
     1    20   3     .600     209272.7  .400     234119.3
     1    21   3     .600     209684.9  .400     234531.6
     1    22   3     .600     210042.1  .400     234888.8
     1    23   3     .600     210353.6  .400     235200.3
     1    24   3     .600     210626.9  .400     235473.6
     1    25   3     .600     210867.9  .400     235714.6
     1    32   3     .267     211171.3  .733     225814.3
     1    39   3     .267     211734.9  .733     226377.9
     1    47   3     .267     212096.2  .733     226739.2
     1    57   3     .067     211817.0  .933     223895.1
     1    70   3     .067     211999.7  .933     224077.8
     1    85   3     .067     212115.3  .933     224193.4
     1   100   3     .067     212182.9  .933     224261.0
     1   125   3     .067     212246.2  .933     224324.4
     1   150   3     .067     212280.6  .933     224358.7
     1   180   3     .067     212304.5  .933     224382.6
     1   220   3     .067     212322.4  .933     224400.6
     1   270   3     .067     212334.6  .933     224412.8
     1   330   3     .067     212342.6  .933     224420.7
     1   390   3     .067     212347.2  .933     224425.3
     1   480   3     .067     212351.1  .933     224429.2
     1   580   3     .067     212353.5  .933     224431.6
     1   700   3     .067     212355.1  .933     224433.3
     1   850   3     .067     212356.3  .933     224434.4
     1   999   3     .067     212357.0  .933     224435.1
     1     6   4     .933     171428.3  .067     222375.2
     1     7   4     .933     184375.3  .067     235320.4
     1     8   4     .933     192780.1  .067     243724.9
     1     9   4     .933     198542.9  .067     249487.8
     1    10   4     .600     196122.9  .400     220969.1
     1    11   4     .600     199172.8  .400     224019.1
     1    12   4     .600     201492.4  .400     226338.8
     1    13   4     .600     203297.5  .400     228144.1
     1    14   4     .600     204729.8  .400     229576.5
     1    15   4     .600     205885.3  .400     230732.0
     1    16   4     .600     206830.9  .400     231677.6
     1    17   4     .600     207614.6  .400     232461.4
     1    18   4     .600     208271.3  .400     233118.1
     1    19   4     .600     208827.0  .400     233673.8
     1    20   4     .600     209301.5  .400     234148.3
     1    21   4     .600     209709.9  .400     234556.7
     1    22   4     .600     210063.8  .400     234910.6
     1    23   4     .600     210372.6  .400     235219.4
     1    24   4     .600     210643.5  .400     235490.4
     1    25   4     .600     210882.7  .400     235729.5
     1    32   4     .267     211178.3  .733     225821.3
     1    39   4     .267     211738.8  .733     226381.8
     1    47   4     .267     212098.4  .733     226741.5
     1    57   4     .067     211818.2  .933     223896.4
     1    70   4     .067     212000.4  .933     224078.5
     1    85   4     .067     212115.7  .933     224193.8
     1   100   4     .067     212183.1  .933     224261.3
     1   125   4     .067     212246.3  .933     224324.5
     1   150   4     .067     212280.7  .933     224358.8
     1   180   4     .067     212304.5  .933     224382.7
     1   220   4     .067     212322.4  .933     224400.6
     1   270   4     .067     212334.6  .933     224412.8
     1   330   4     .067     212342.6  .933     224420.7
     1   390   4     .067     212347.2  .933     224425.3
     1   480   4     .067     212351.1  .933     224429.2
     1   580   4     .067     212353.5  .933     224431.6
     1   700   4     .067     212355.1  .933     224433.3
     1   850   4     .067     212356.3  .933     224434.4
     1   999   4     .067     212357.0  .933     224435.1
     1     6   5     .933     171461.6  .067     222409.0
     1     7   5     .933     184401.4  .067     235347.9
     1     8   5     .933     192799.9  .067     243746.1
     1     9   5     .933     198557.9  .067     249504.0
     1    10   5     .600     196134.3  .400     220981.1
     1    11   5     .600     199181.6  .400     224028.5
     1    12   5     .600     201499.4  .400     226346.3
     1    13   5     .600     203303.2  .400     228150.1
     1    14   5     .600     204734.4  .400     229581.3
     1    15   5     .600     205889.1  .400     230736.0
     1    16   5     .600     206834.1  .400     231681.0
     1    17   5     .600     207617.3  .400     232464.2
     1    18   5     .600     208273.6  .400     233120.5
     1    19   5     .600     208829.1  .400     233675.9
     1    20   5     .600     209303.3  .400     234150.2
     1    21   5     .600     209711.4  .400     234558.3
     1    22   5     .600     210065.1  .400     234912.0
     1    23   5     .600     210373.7  .400     235220.6
     1    24   5     .600     210644.6  .400     235491.4
     1    25   5     .600     210883.6  .400     235730.4
     1    32   5     .267     211178.8  .733     225821.8
     1    39   5     .267     211739.0  .733     226382.1
     1    47   5     .267     212098.6  .733     226741.6
     1    57   5     .067     211818.3  .933     223896.4
     1    70   5     .067     212000.4  .933     224078.5
     1    85   5     .067     212115.7  .933     224193.8
     1   100   5     .067     212183.1  .933     224261.3
     1   125   5     .067     212246.4  .933     224324.5
     1   150   5     .067     212280.7  .933     224358.8
     1   180   5     .067     212304.5  .933     224382.7
     1   220   5     .067     212322.4  .933     224400.6
     1   270   5     .067     212334.6  .933     224412.8
     1   330   5     .067     212342.6  .933     224420.7
     1   390   5     .067     212347.2  .933     224425.3
     1   480   5     .067     212351.1  .933     224429.2
     1   580   5     .067     212353.5  .933     224431.6
     1   700   5     .067     212355.1  .933     224433.3
     1   850   5     .067     212356.3  .933     224434.4
     1   999   5     .067     212357.0  .933     224435.1

   N-SHELL INDEXING & AUGER RATES                       NREP= 44
   ------------------------------
   INREP   N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    17
    18    18
    19    19
    20    20
    21    21
    22    22
    23    23
    24    24
    25    25
    26    32
    27    39
    28    47
    29    57
    30    70
    31    85
    32   100
    33   125
    34   150
    35   180
    36   220
    37   270
    38   330
    39   390
    40   480
    41   580
    42   700
    43   850
    44   999



 --------------------------
 PRTI= 1  LVLPRT= (3P  0.0)

   INDX TE=  1.60E+02  3.20E+02  8.00E+02  1.60E+03  3.20E+03  8.00E+03  1.60E+04  3.20E+04  8.00E+04  1.60E+05
   ---- ---  3.20E+05  8.00E+05  1.60E+06  3.20E+06  8.00E+06  1.60E+07  3.20E+07  8.00E+07  1.60E+08
     1       0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.34E-28  3.56E-20  1.29E-17  1.62E-16  9.51E-16  1.86E-15
             1.84E-15  9.16E-16  4.10E-16  1.63E-16  4.44E-17  1.61E-17  5.75E-18  1.47E-18  5.19E-19
     2       0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.62E-31  4.04E-20  1.63E-16  6.69E-15  3.20E-14  3.28E-14
             2.10E-14  7.92E-15  3.23E-15  1.23E-15  3.24E-16  1.16E-16  4.15E-17  1.05E-17  3.73E-18
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.63E-28  1.94E-19  6.93E-17  1.03E-15  7.40E-15  1.12E-14
             8.80E-15  3.74E-15  1.58E-15  6.14E-16  1.64E-16  5.92E-17  2.11E-17  5.37E-18  1.90E-18
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.86E-33  1.94E-21  1.46E-17  1.26E-15  1.32E-14  1.93E-14
             1.47E-14  6.03E-15  2.52E-15  9.67E-16  2.57E-16  9.25E-17  3.30E-17  8.38E-18  2.97E-18
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.96E-33  3.05E-21  1.58E-17  7.85E-16  6.50E-15  1.03E-14
             8.62E-15  3.83E-15  1.65E-15  6.45E-16  1.73E-16  6.25E-17  2.23E-17  5.68E-18  2.01E-18
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.16E-30  1.07E-21  1.33E-18  3.63E-16  9.56E-15  1.91E-14
             1.69E-14  7.59E-15  3.26E-15  1.27E-15  3.41E-16  1.23E-16  4.40E-17  1.12E-17  3.96E-18
     7       0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.46E-32  3.71E-24  1.22E-20  3.84E-17  2.50E-15  5.67E-15
             5.11E-15  2.28E-15  9.73E-16  3.78E-16  1.01E-16  3.65E-17  1.30E-17  3.32E-18  1.18E-18
     8       0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.46E-32  8.70E-21  2.88E-17  1.06E-15  7.54E-15  1.17E-14
             9.48E-15  4.08E-15  1.73E-15  6.70E-16  1.79E-16  6.45E-17  2.30E-17  5.85E-18  2.07E-18
     9       0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.19E-35  1.37E-23  8.52E-20  4.80E-17  5.02E-15  1.61E-14
             1.79E-14  9.14E-15  4.10E-15  1.63E-15  4.44E-16  1.61E-16  5.75E-17  1.46E-17  5.19E-18
    10       0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.31E-32  2.37E-23  2.41E-19  6.28E-17  1.36E-15  2.81E-15
             2.60E-15  1.20E-15  5.23E-16  2.05E-16  5.53E-17  2.00E-17  7.13E-18  1.82E-18  6.43E-19

                                                                                     --------------------------
                                                                                     PRTF= 1  CFGPRT= (    7.0)
   ILREP
   -----
     7       0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.34E-28  3.56E-20  1.28E-17  1.50E-16  5.95E-16  1.13E-15
             1.20E-15  6.28E-16  2.86E-16  1.15E-16  3.15E-17  1.14E-17  4.10E-18  1.05E-18  3.70E-19
     8       0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.62E-31  4.04E-20  1.63E-16  6.68E-15  3.17E-14  3.22E-14
             2.05E-14  7.70E-15  3.13E-15  1.19E-15  3.14E-16  1.13E-16  4.01E-17  1.02E-17  3.61E-18
     9       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.61E-25  2.20E-19  1.64E-16  4.35E-15  7.77E-15
             6.49E-15  2.84E-15  1.21E-15  4.73E-16  1.27E-16  4.57E-17  1.63E-17  4.15E-18  1.47E-18
    10       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.11E-27  3.26E-20  7.83E-17  4.02E-15  8.55E-15
             7.54E-15  3.34E-15  1.43E-15  5.55E-16  1.49E-16  5.36E-17  1.91E-17  4.87E-18  1.72E-18
    11       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.65E-27  2.06E-20  2.97E-17  1.13E-15  2.23E-15
             1.92E-15  8.44E-16  3.60E-16  1.40E-16  3.75E-17  1.35E-17  4.83E-18  1.23E-18  4.35E-19
    12       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.86E-27  4.64E-20  1.14E-16  5.95E-15  1.28E-14
             1.13E-14  5.00E-15  2.13E-15  8.30E-16  2.22E-16  8.01E-17  2.86E-17  7.27E-18  2.58E-18
    13       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.38E-29  2.10E-21  1.59E-17  1.65E-15  4.52E-15
             4.59E-15  2.22E-15  9.80E-16  3.87E-16  1.05E-16  3.79E-17  1.35E-17  3.45E-18  1.22E-18
    14       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.96E-30  2.42E-21  2.73E-17  3.52E-15  1.01E-14
             1.02E-14  4.89E-15  2.14E-15  8.42E-16  2.27E-16  8.20E-17  2.93E-17  7.46E-18  2.64E-18
    15       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.58E-30  1.11E-21  1.38E-17  1.87E-15  5.40E-15
             5.45E-15  2.59E-15  1.13E-15  4.45E-16  1.20E-16  4.33E-17  1.55E-17  3.94E-18  1.39E-18
    16       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.93E-31  1.04E-22  1.19E-18  1.59E-16  4.73E-16
             5.01E-16  2.50E-16  1.11E-16  4.43E-17  1.20E-17  4.35E-18  1.56E-18  3.96E-19  1.40E-19
    17       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.92E-31  6.22E-22  9.60E-18  1.52E-15  4.76E-15
             5.09E-15  2.53E-15  1.12E-15  4.45E-16  1.21E-16  4.36E-17  1.56E-17  3.98E-18  1.41E-18
    18       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.10E-32  8.76E-23  2.22E-18  4.85E-16  1.76E-15
             2.11E-15  1.15E-15  5.25E-16  2.12E-16  5.80E-17  2.11E-17  7.54E-18  1.92E-18  6.82E-19
    19       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.17E-32  1.95E-22  6.15E-18  1.47E-15  5.16E-15
             5.79E-15  2.95E-15  1.32E-15  5.24E-16  1.42E-16  5.15E-17  1.84E-17  4.70E-18  1.66E-18
    20       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.61E-32  1.09E-22  3.58E-18  8.69E-16  3.04E-15
             3.38E-15  1.70E-15  7.58E-16  3.01E-16  8.15E-17  2.95E-17  1.06E-17  2.69E-18  9.52E-19
    21       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.25E-32  3.84E-23  1.27E-18  3.10E-16  1.08E-15
             1.21E-15  6.07E-16  2.70E-16  1.07E-16  2.90E-17  1.05E-17  3.75E-18  9.56E-19  3.39E-19
    22       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.61E-33  7.66E-24  2.54E-19  6.36E-17  2.34E-16
             2.75E-16  1.47E-16  6.69E-17  2.69E-17  7.34E-18  2.66E-18  9.54E-19  2.43E-19  8.62E-20
    23       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.58E-32  6.41E-23  2.50E-18  6.89E-16  2.57E-15
             3.00E-15  1.57E-15  7.07E-16  2.82E-16  7.69E-17  2.79E-17  9.97E-18  2.54E-18  9.01E-19
    24       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.80E-33  1.95E-23  9.94E-19  3.27E-16  1.35E-15
             1.71E-15  9.58E-16  4.44E-16  1.80E-16  4.94E-17  1.79E-17  6.43E-18  1.64E-18  5.82E-19
    25       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.55E-33  5.11E-23  2.96E-18  1.02E-15  4.04E-15
             4.82E-15  2.54E-15  1.15E-15  4.60E-16  1.25E-16  4.55E-17  1.63E-17  4.15E-18  1.47E-18
    26       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.94E-33  3.80E-23  2.23E-18  7.66E-16  3.00E-15
             3.54E-15  1.84E-15  8.29E-16  3.31E-16  9.00E-17  3.26E-17  1.17E-17  2.97E-18  1.05E-18
    27       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.71E-33  1.67E-23  9.82E-19  3.38E-16  1.32E-15
             1.56E-15  8.11E-16  3.65E-16  1.46E-16  3.96E-17  1.43E-17  5.13E-18  1.31E-18  4.63E-19
    29       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.95E-34  1.87E-24  1.12E-19  3.99E-17  1.65E-16
             2.05E-16  1.12E-16  5.16E-17  2.08E-17  5.71E-18  2.07E-18  7.42E-19  1.89E-19  6.71E-20
    30       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.46E-33  1.70E-23  1.12E-18  4.20E-16  1.72E-15
             2.10E-15  1.12E-15  5.09E-16  2.04E-16  5.57E-17  2.02E-17  7.23E-18  1.84E-18  6.53E-19
    31       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.62E-34  7.91E-24  6.30E-19  2.67E-16  1.18E-15
             1.51E-15  8.47E-16  3.92E-16  1.59E-16  4.35E-17  1.58E-17  5.67E-18  1.45E-18  5.12E-19
    32       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.14E-33  2.32E-23  1.99E-18  8.64E-16  3.69E-15
             4.55E-15  2.44E-15  1.11E-15  4.46E-16  1.22E-16  4.41E-17  1.58E-17  4.03E-18  1.43E-18
    33       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.46E-34  1.95E-23  1.68E-18  7.23E-16  3.06E-15
             3.74E-15  1.99E-15  9.03E-16  3.62E-16  9.86E-17  3.57E-17  1.28E-17  3.26E-18  1.16E-18
    34       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.54E-34  9.43E-24  8.10E-19  3.49E-16  1.48E-15
             1.80E-15  9.61E-16  4.36E-16  1.74E-16  4.75E-17  1.72E-17  6.16E-18  1.57E-18  5.57E-19
    36       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.09E-35  8.62E-25  7.63E-20  3.42E-17  1.50E-16
             1.91E-16  1.06E-16  4.86E-17  1.96E-17  5.37E-18  1.95E-18  6.99E-19  1.78E-19  6.31E-20
