SEQ='P '     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  87181251.1    NPRNT= 6
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P2             (3)1( 0.0)        0.0 
     2          3S2 3P2             (3)1( 1.0)      299.1 
     3          3S2 3P2             (3)1( 2.0)      855.7 
     4          3S2 3P2             (1)2( 2.0)    14486.5 
     5          3S2 3P2             (1)0( 0.0)    43550.0 
     6          3S1 3P3             (5)0( 2.0)    52344.0 

   PARENT CONFG INDEXING                BWNP=  87173173.9    NPRNT= 2
   ---------------------
   INDP         CODE                       WI        WNP
   ----         ----                 --------  ----------
     1          3S2 3P2             (     7.0)        0.0 
     2          3S1 3P3             (    19.5)    96766.0 

   IC AVERAGED CONFG INDEXING           BWNR=  87248893.3   NCFG=   6
   --------------------------
   INDX  INDP   CODE                       WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 --------  ----------      -----------
     1     1    3S2 3P2 4S1         (    14.5)        0.0      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     2     1    3S2 3P2 4P1         (    44.5)    18975.7      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     3     1    3S2 3P2 4D1         (    69.5)    39950.6      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     4     2    3S1 3P3 4S1         (     4.5)    43872.4      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     5     1    3S2 3P2 4F1         (    97.5)    45619.5      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     6     2    3S1 3P3 4P1         (    14.5)    61600.2      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00

   NL-SHELL INDEXING & AUGER RATES                     NLREP=203
   -------------------------------
   ILREP   N   L
     1   180   0     .067      67628.4  .933      76282.6
     1   220   0     .067      67633.0  .933      76287.2
     1   270   0     .067      67636.1  .933      76290.3
     1   330   0     .067      67638.1  .933      76292.3
     1   390   0     .067      67639.3  .933      76293.4
     1   480   0     .067      67640.3  .933      76294.4
     1   580   0     .067      67640.9  .933      76295.0
     1   700   0     .067      67641.3  .933      76295.5
     1   850   0     .067      67641.6  .933      76295.7
     1   999   0     .067      67641.7  .933      76295.9
     1     5   1     .933      41743.6  .067      79741.4
     1     6   1     .933      53856.1  .067      91852.7
     1     7   1     .600      55079.6  .400      73831.9
     1     8   1     .600      58692.6  .400      77445.6
     1     9   1     .600      60990.9  .400      79744.6
     1    10   1     .600      62545.4  .400      81299.5
     1    11   1     .600      63646.4  .400      82400.8
     1    12   1     .600      64454.9  .400      83209.5
     1    13   1     .600      65066.2  .400      83821.0
     1    14   1     .600      65539.7  .400      84294.6
     1    15   1     .600      65915.4  .400      84670.4
     1    16   1     .600      66215.8  .400      84970.8
     1    17   1     .600      66461.0  .400      85216.1
     1    18   1     .600      66663.7  .400      85418.9
     1    19   1     .600      66833.3  .400      85588.5
     1    20   1     .600      66976.5  .400      85731.7
     1    21   1     .600      67098.7  .400      85853.9
     1    22   1     .600      67203.6  .400      85958.8
     1    23   1     .600      67294.4  .400      86049.7
     1    24   1     .267      67022.8  .733      77731.3
     1    25   1     .267      67092.1  .733      77800.7
     1    32   1     .267      67404.0  .733      78112.6
     1    39   1     .267      67559.4  .733      78268.0
     1    47   1     .067      67433.0  .933      76087.2
     1    57   1     .067      67501.2  .933      76155.4
     1    70   1     .067      67549.5  .933      76203.6
     1    85   1     .067      67579.7  .933      76233.9
     1   100   1     .067      67597.2  .933      76251.4
     1   125   1     .067      67613.5  .933      76267.7
     1   150   1     .067      67622.4  .933      76276.5
     1   180   1     .067      67628.4  .933      76282.6
     1   220   1     .067      67633.0  .933      76287.2
