SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63529903.3   NPRNTI= 5   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      276.8 
     3          3S1 3P2             (4)1( 0.5)    35412.3 
     4          3S1 3P2             (4)1( 1.5)    35509.5 
     5          3S1 3P2             (4)1( 2.5)    35669.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63523229.5   NLVL= 298
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    75     2    3S2 3P1 6D1         (1)2( 2.0)    24273.6*     0.00E+00
    76     2    3S2 3P1 6D1         (3)2( 3.0)    24278.6*     0.00E+00
    77     2    3S2 3P1 6D1         (3)3( 4.0)    24294.7*     0.00E+00
    78     2    3S2 3P1 6D1         (3)1( 2.0)    24302.4*     0.00E+00
    79     2    3S2 3P1 6D1         (3)1( 1.0)    24308.0*     0.00E+00
    80     2    3S2 3P1 6D1         (1)3( 3.0)    24317.0*     0.00E+00
    81     2    3S2 3P1 6D1         (3)1( 0.0)    24329.6*     0.00E+00
    82     2    3S2 3P1 6D1         (1)1( 1.0)    24336.0*     0.00E+00
    83     2    3S2 3P1 5F1         (3)4( 3.0)    24351.0*     0.00E+00
    84     2    3S2 3P1 5F1         (3)4( 4.0)    24376.3*     0.00E+00
    85     2    3S2 3P1 7S1         (3)1( 2.0)    24386.2*     0.00E+00
    86     2    3S2 3P1 5F1         (3)4( 5.0)    24446.2*     0.00E+00
    87     2    3S2 3P1 5F1         (3)2( 3.0)    24460.3*     0.00E+00
    88     2    3S2 3P1 5F1         (3)2( 2.0)    24481.0*     0.00E+00
    89     2    3S2 3P1 7S1         (1)1( 1.0)    24484.1*     0.00E+00
    90     2    3S2 3P1 5F1         (1)4( 4.0)    24525.7*     0.00E+00
    91     2    3S2 3P1 5F1         (3)2( 1.0)    24549.8*     0.00E+00
    92     2    3S2 3P1 5F1         (1)2( 2.0)    24573.7*     0.00E+00
    93     1    3S2 3P1 7P1         (3)2( 1.0)    24698.0*
    94     1    3S2 3P1 7P1         (3)1( 1.0)    24755.3*
    95     1    3S2 3P1 7P1         (3)2( 2.0)    24780.9*
    96     1    3S2 3P1 7P1         (3)1( 0.0)    24830.8*
    97     2    3S2 3P1 7P1         (1)1( 1.0)    24984.4*     0.00E+00
    98     1    3S2 3P1 7D1         (3)3( 2.0)    25005.2*
    99     2    3S2 3P1 7P1         (3)2( 3.0)    25021.8*     0.00E+00
   100     1    3S2 3P1 7D1         (3)2( 2.0)    25030.9*
   101     1    3S2 3P1 7D1         (3)3( 3.0)    25035.9*
   102     2    3S2 3P1 7P1         (3)1( 2.0)    25044.2*     0.00E+00
   103     1    3S2 3P1 7D1         (3)2( 1.0)    25046.8*
