3 1   290.7
3 2   307.3   
3 3   328.6  
3 4   351.9 
3 5   386.2 
4 1   404.4
4 2   423.2 
4 4   446.9 
4 5   474.8 
4 6   503.8 
5 1   530.0
5 2   557.4
5 3   583.3
5 4   613.8
5 5   648.4
5 6   682.98 
6 1   856.8
6 2   881.6  
6 3   911.7  
6 4   946.5 
6 5   985.9 
6 6   1029.6 
6 7   1077.2 
6 8   1122.9 
8 1   1296.4
8 2   1301.2
8 3   1318.3
10 1  1822.9
10 2  1833.5
10 3  1845.6
10 4  1862.8 
10 5  1881.7 
10 6  1934.3 
10 7  1991.0
10 8  2025.5
10 9  2118.2 
10 10 2187.8  
10 11 2261.0
10 12 2328.8 
11 1  2446.5
11 2  2458.8  
11 3  2425.0 
11 4  2492.1  
11 5  2512.3  
11 6  2534.3
11 7  2558.9 
11 8  2624.7 
11 9  2694.9  
11 10 2769.3 
11 11 2847.8  
11 12 2930.2
11 13 3016.3 
11 14 3095.0
14 1  6981. 
14 2  7023.
14 3  7127.
14 4  7146. 
14 5  7170. 
14 6  7196. 
14 7  7225. 
14 8  7257.
14 9  7291. 
14 10 7330.  
14 11 7372.  
14 12 7415. 
14 13 7461. 
14 14 7508.  
14 15 7557. 
