 65     5 2s.2p(3P).3p    4  2 D  3.5  8          0.000       0.000000    1403990.125      12.794100     J1 
 66     7 2p2(3P).3d      4  3 F  3.5  8          0.000       0.000000    1684698.250      15.352100     J2 
 67     7 2p2(3P).3d      4  2 D  3.5  8          0.000       0.000000    1696220.625      15.457100     J3 
 68     7 2p2(3P).3d      2  3 F  3.5  8    1702010.000      15.509857    1705306.875      15.539900     J4 
 69     7 2p2(1D).3d      2  4 G  3.5  8          0.000       0.000000    1741333.625      15.868200     J5 
 70     7 2p2(1D).3d      2  3 F  3.5  8    1752130.000      15.966584    1756663.875      16.007900     J6 
 71     7 2p2(3P).3d      4  3 F  4.5 10          0.000       0.000000    1685960.125      15.363600     K1 
 72     7 2p2(1D).3d      2  4 G  4.5 10          0.000       0.000000    1741553.125      15.870200     K2 
 73     9 2s2(1S).3p      2  1 P  0.5  2          0.000       0.000000    1264097.000      11.519300     L1 
 74    10 2s.2p(3P).3s    4  1 P  0.5  2    1351390.000      12.314772    1340693.625      12.217300     L2 
 75    10 2s.2p(3P).3s    2  1 P  0.5  2    1381450.000      12.588699    1371453.000      12.497600     L3 
 76    11 2s.2p(3P).3d    4  2 D  0.5  2          0.000       0.000000    1466046.625      13.359600     L4 
 77    11 2s.2p(3P).3d    4  1 P  0.5  2    1484910.000      13.531496    1474068.375      13.432700     L5 
 78    10 2s.2p(1P).3s    2  1 P  0.5  2    1486970.000      13.550268    1487182.000      13.552200     L6 
 79    11 2s.2p(3P).3d    2  1 P  0.5  2    1514260.000      13.798953    1505914.125      13.722900     L7 
 80    11 2s.2p(1P).3d    2  1 P  0.5  2    1610670.000      14.677505    1622663.625      14.786800     L8 
 81    12 2p2(3P).3p      2  0 S  0.5  2          0.000       0.000000    1624551.125      14.804000     L9 
 82    12 2p2(3P).3p      4  2 D  0.5  2          0.000       0.000000    1634306.875      14.892900     L10
 83    12 2p2(3P).3p      4  1 P  0.5  2          0.000       0.000000    1642855.375      14.970800     L11
 84    12 2p2(3P).3p      2  1 P  0.5  2          0.000       0.000000    1667908.375      15.199100     L12
 85    12 2p2(1D).3p      2  1 P  0.5  2          0.000       0.000000    1723775.625      15.708200     L13
 86    12 2p2(1S).3p      2  1 P  0.5  2          0.000       0.000000    1796948.500      16.375000     L14
 87     9 2s2(1S).3p      2  1 P  1.5  4          0.000       0.000000    1265062.750      11.528100     M1 
 88    10 2s.2p(3P).3s    4  1 P  1.5  4    1352530.000      12.325161    1341802.000      12.227400     M2 
 89    10 2s.2p(3P).3s    2  1 P  1.5  4    1383760.000      12.609749    1373691.625      12.518000     M3 
 90    11 2s.2p(3P).3d    4  3 F  1.5  4          0.000       0.000000    1453141.500      13.242000     M4 
 91    11 2s.2p(3P).3d    4  2 D  1.5  4    1476260.000      13.452671    1466189.250      13.360900     M5 
 92    11 2s.2p(3P).3d    2  2 D  1.5  4    1478340.000      13.471626    1467626.750      13.374000     M6 
 93    11 2s.2p(3P).3d    4  1 P  1.5  4    1484420.000      13.527031    1473618.500      13.428600     M7 
 94    10 2s.2p(1P).3s    2  1 P  1.5  4          0.000       0.000000    1487138.125      13.551800     M8 
 95    11 2s.2p(3P).3d    2  1 P  1.5  4    1513100.000      13.788382    1504871.625      13.713400     M9 
 96    11 2s.2p(1P).3d    2  2 D  1.5  4    1607850.000      14.651808    1610592.625      14.676800     M10
 97    11 2s.2p(1P).3d    2  1 P  1.5  4          0.000       0.000000    1622839.250      14.788400     M11
 98    12 2p2(3P).3p      4  2 D  1.5  4          0.000       0.000000    1635042.000      14.899600     M12
 99    12 2p2(3P).3p      4  1 P  1.5  4          0.000       0.000000    1643382.125      14.975600     M13
100    12 2p2(3P).3p      2  2 D  1.5  4          0.000       0.000000    1652095.250      15.055000     M14
101    12 2p2(3P).3p      4  0 S  1.5  4    1674020.000      15.254793    1663716.375      15.160900     M15
102    12 2p2(3P).3p      2  1 P  1.5  4          0.000       0.000000    1667765.750      15.197800     M16
103    12 2p2(1D).3p      2  2 D  1.5  4          0.000       0.000000    1707622.250      15.561000     M17
104    12 2p2(1D).3p      2  1 P  1.5  4          0.000       0.000000    1725037.625      15.719700     M18
105    12 2p2(1S).3p      2  1 P  1.5  4          0.000       0.000000    1797277.750      16.378000     M19
106    10 2s.2p(3P).3s    4  1 P  2.5  6    1354550.000      12.343568    1343832.125      12.245900     N1 
107    11 2s.2p(3P).3d    4  3 F  2.5  6          0.000       0.000000    1453843.750      13.248400     N2 
108    11 2s.2p(3P).3d    4  2 D  2.5  6    1476590.000      13.455679    1466507.500      13.363800     N3 
109    11 2s.2p(3P).3d    2  2 D  2.5  6    1478690.000      13.474815    1468032.875      13.377700     N4 
110    11 2s.2p(3P).3d    4  1 P  2.5  6    1483690.000      13.520379    1472938.125      13.422400     N5 
111    11 2s.2p(3P).3d    2  3 F  2.5  6    1504990.000      13.714478    1499703.000      13.666300     N6 
112    11 2s.2p(1P).3d    2  3 F  2.5  6    1597480.000      14.557309    1604864.250      14.624600     N7 
113    11 2s.2p(1P).3d    2  2 D  2.5  6    1608210.000      14.655088    1610888.875      14.679500     N8 
114    12 2p2(3P).3p      4  2 D  2.5  6          0.000       0.000000    1636260.125      14.910700     N9 
115    12 2p2(3P).3p      4  1 P  2.5  6    1652310.000      15.056957    1644490.375      14.985700     N10
116    12 2p2(3P).3p      2  2 D  2.5  6          0.000       0.000000    1654355.875      15.075600     N11
117    12 2p2(1D).3p      2  3 F  2.5  6    1690460.000      15.404606    1693213.750      15.429700     N12
118    12 2p2(1D).3p      2  2 D  2.5  6          0.000       0.000000    1707369.875      15.558700     N13
119    11 2s.2p(3P).3d    4  3 F  3.5  8          0.000       0.000000    1454897.250      13.258000     O1 
120    11 2s.2p(3P).3d    4  2 D  3.5  8    1477410.000      13.463151    1467363.500      13.371600     O2 
121    11 2s.2p(3P).3d    2  3 F  3.5  8    1507040.000      13.733159    1501886.750      13.686200     O3 
122    11 2s.2p(1P).3d    2  3 F  3.5  8          0.000       0.000000    1604853.375      14.624500     O4 
123    12 2p2(3P).3p      4  2 D  3.5  8    1646280.000      15.002008    1637917.125      14.925800     O5 
124    12 2p2(1D).3p      2  3 F  3.5  8    1691060.000      15.410073    1693850.250      15.435500     O6 
125    11 2s.2p(3P).3d    4  3 F  4.5 10          0.000       0.000000    1456345.875      13.271200     P1
qq -1
%filename: mg_8.elvlc
%observed energy levels (n=2): Edlen, B, 1983, Phys. Scripta, 28, 483
%observed energy levels (n=3): Martin,W.C., Zalubas,R., 1980, J.Phys.Chem.Ref.Data, 9, 1.      
%theoretical energy levels (n=2): Zhang,H.L., Graziani,M., Pradhan,A.K., 1994, A&A, 283, 319.
%theoretical energy levels (n=3): Sampson and Zhang, 1995, unpublished calculations
%comment:  energy levels renumbered                                          
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data collaboration
%
% K.P.Dere and E.Landi 1999
 -1

qq
    1    2      30284.732      0.000e+00      3.100e-01             2s2.2p 2P0.5 -              2s2.2p 2P1.5
    1    3        769.356      1.280e-05      7.290e+04             2s2.2p 2P0.5 -              2s.2p2 4P0.5
    1    4        762.662      5.920e-07      1.710e+03             2s2.2p 2P0.5 -              2s.2p2 4P1.5
    1    6        430.455      1.540e-01      1.360e+09             2s2.2p 2P0.5 -              2s.2p2 2D1.5
    1    8        335.231      1.040e-01      3.040e+09             2s2.2p 2P0.5 -              2s.2p2 2S0.5
    1    9        313.744      2.360e-01      7.960e+09             2s2.2p 2P0.5 -              2s.2p2 2P0.5
    1   10        311.773      1.300e-01      2.200e+09             2s2.2p 2P0.5 -              2s.2p2 2P1.5
    2    3        789.411      1.100e-05      5.960e+04             2s2.2p 2P1.5 -              2s.2p2 4P0.5
    2    4        782.364      5.860e-06      1.610e+04             2s2.2p 2P1.5 -              2s.2p2 4P1.5
    2    5        772.262      3.010e-05      5.670e+04             2s2.2p 2P1.5 -              2s.2p2 4P2.5
    2    6        436.661      2.650e-02      2.340e+08             2s2.2p 2P1.5 -              2s.2p2 2D1.5
    2    7        436.734      2.700e-01      1.590e+09             2s2.2p 2P1.5 -              2s.2p2 2D2.5
    2    8        338.984      1.400e-01      4.100e+09             2s2.2p 2P1.5 -              2s.2p2 2S0.5
    2    9        317.028      1.670e-01      5.680e+09             2s2.2p 2P1.5 -              2s.2p2 2P0.5
    2   10        315.016      6.840e-01      1.150e+10             2s2.2p 2P1.5 -              2s.2p2 2P1.5
    3   11        352.460      1.580e-01      2.090e+09             2s.2p2 4P0.5 -                 2p3 4S1.5
    4   11        353.883      3.160e-01      4.180e+09             2s.2p2 4P1.5 -                 2p3 4S1.5
    5   11        355.989      4.730e-01      6.270e+09             2s.2p2 4P2.5 -                 2p3 4S1.5
    6   12        428.219      3.240e-01      2.940e+09             2s.2p2 2D1.5 -                 2p3 2D1.5
    6   13        428.382      4.200e-02      2.540e+08             2s.2p2 2D1.5 -                 2p3 2D2.5
    6   14        342.049      2.050e-01      5.840e+09             2s.2p2 2D1.5 -                 2p3 2P0.5
    6   15        341.824      4.590e-02      6.520e+08             2s.2p2 2D1.5 -                 2p3 2P1.5
    7   12        428.149      4.530e-02      4.110e+08             2s.2p2 2D2.5 -                 2p3 2D1.5
    7   13        428.312      5.230e-01      3.160e+09             2s.2p2 2D2.5 -                 2p3 2D2.5
    7   15        341.779      3.510e-01      4.990e+09             2s.2p2 2D2.5 -                 2p3 2P1.5
    8   14        441.761      4.490e-02      7.650e+08             2s.2p2 2S0.5 -                 2p3 2P0.5
    8   15        441.385      1.360e-01      1.160e+09             2s.2p2 2S0.5 -                 2p3 2P1.5
    9   12        679.779      1.890e-01      6.690e+08             2s.2p2 2P0.5 -                 2p3 2D1.5
    9   14        485.586      1.800e-01      2.510e+09             2s.2p2 2P0.5 -                 2p3 2P0.5
    9   15        485.132      5.060e-02      3.530e+08             2s.2p2 2P0.5 -                 2p3 2P1.5
   10   12        689.219      3.220e-02      1.140e+08             2s.2p2 2P1.5 -                 2p3 2D1.5
   10   13        689.642      3.300e-01      7.770e+08             2s.2p2 2P1.5 -                 2p3 2D2.5
   10   14        490.384      7.700e-02      1.070e+09             2s.2p2 2P1.5 -                 2p3 2P0.5
   10   15        489.921      4.180e-01      2.910e+09             2s.2p2 2P1.5 -                 2p3 2P1.5
    1   16         82.598      4.136e-02      2.041e+10             2s2.2p 2P0.5 -              2s2.3s 2S0.5
    1   17         71.004      9.567e-02      6.373e+10             2s2.2p 2P0.5 -        2s.2p(3P).3p 2P0.5
    1   18        -71.389      3.845e-02      2.516e+10             2s2.2p 2P0.5 -        2s.2p(3P).3p 4D0.5
    1   19        -70.388      1.555e-04      1.047e+08             2s2.2p 2P0.5 -        2s.2p(3P).3p 4P0.5
    1   20         68.451      8.298e-02      5.941e+10             2s2.2p 2P0.5 -        2s.2p(3P).3p 2S0.5
    1   21         64.517      5.142e-02      4.122e+10             2s2.2p 2P0.5 -        2s.2p(1P).3p 2P0.5
    1   22         64.243      7.581e-03      6.088e+09             2s2.2p 2P0.5 -        2s.2p(1P).3p 2S0.5
    1   23         62.974      4.691e-05      3.960e+07             2s2.2p 2P0.5 -          2p2(3P).3s 4P0.5
    1   24        -61.888      1.682e-02      1.464e+10             2s2.2p 2P0.5 -          2p2(3P).3s 2P0.5
    1   25        -59.011      1.298e-03      1.243e+09             2s2.2p 2P0.5 -          2p2(3P).3d 4D0.5
    1   26        -58.935      3.351e-03      3.217e+09             2s2.2p 2P0.5 -          2p2(3P).3d 2P0.5
    1   27         58.236      8.115e-07      8.019e+05             2s2.2p 2P0.5 -          2p2(3P).3d 4P0.5
    1   28        -57.767      1.908e-03      1.907e+09             2s2.2p 2P0.5 -          2p2(1S).3s 2S0.5
    1   29         57.024      7.973e-03      8.110e+09             2s2.2p 2P0.5 -          2p2(1D).3d 2P0.5
    1   30        -56.154      2.801e-03      2.963e+09             2s2.2p 2P0.5 -          2p2(1D).3d 2S0.5
   14   16        145.768      1.009e-05      1.662e+06                2p3 2P0.5 -              2s2.3s 2S0.5
   14   17        113.161      2.715e-06      7.326e+05                2p3 2P0.5 -        2s.2p(3P).3p 2P0.5
   14   18       -114.138      2.159e-06      5.269e+05                2p3 2P0.5 -        2s.2p(3P).3p 4D0.5
   14   19       -111.601      1.237e-06      3.160e+05                2p3 2P0.5 -        2s.2p(3P).3p 4P0.5
   14   20        106.810      2.348e-03      7.085e+08                2p3 2P0.5 -        2s.2p(3P).3p 2S0.5
   14   21         97.531      6.758e-03      2.420e+09                2p3 2P0.5 -        2s.2p(1P).3p 2P0.5
