SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108038846.2   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    18303.3 
     3          2S1 2P6             (2)0( 0.5)   622608.3*

   IC RESOLVED LEVEL INDEXING           BWNR= 111415705.7   NLVL= 329
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    83     1    2S2 2P5 5G1         (1)5( 5.0)  3021098.3 
    84     1    2S2 2P5 5G1         (3)5( 6.0)  3021122.7 
    85     1    2S2 2P5 5F1         (3)3( 4.0)  3021147.0 
    86     1    2S2 2P5 5G1         (3)4( 3.0)  3021382.8 
    87     1    2S2 2P5 5G1         (3)4( 4.0)  3021404.3 
    88     1    2S2 2P5 5G1         (1)4( 4.0)  3021541.3 
    89     1    2S2 2P5 5G1         (3)4( 5.0)  3021566.7 
    90     2    2S2 2P5 5D1         (3)3( 2.0)  3026599.5 
    91     2    2S2 2P5 5D1         (3)2( 2.0)  3026873.7 
    92     2    2S2 2P5 5D1         (1)3( 3.0)  3027378.2 
    93     2    2S2 2P5 5D1         (1)1( 1.0)  3031688.7 
    94     2    2S2 2P5 5F1         (3)4( 3.0)  3038790.6 
    95     2    2S2 2P5 5F1         (3)2( 3.0)  3038859.2 
    96     2    2S2 2P5 5F1         (3)4( 4.0)  3038890.6 
    97     2    2S2 2P5 5F1         (1)2( 2.0)  3039005.5 
    98     2    2S2 2P5 5G1         (3)5( 4.0)  3039565.8 
    99     2    2S2 2P5 5G1         (1)3( 3.0)  3039573.1 
   100     2    2S2 2P5 5G1         (3)5( 5.0)  3039594.3 
   101     2    2S2 2P5 5G1         (3)3( 4.0)  3039596.8 
   102     1    2S2 2P5 6S1         (3)1( 2.0)  3089297.5 
   103     1    2S2 2P5 6S1         (1)1( 1.0)  3090002.3 
   104     1    2S2 2P5 6P1         (3)0( 1.0)  3103003.9 
   105     1    2S2 2P5 6P1         (3)2( 3.0)  3103966.7 
   106     1    2S2 2P5 6P1         (3)2( 2.0)  3104133.5 
   107     1    2S2 2P5 6P1         (1)1( 1.0)  3104709.7 
   108     1    2S2 2P5 6P1         (3)1( 2.0)  3105005.6 
   109     2    2S2 2P5 6S1         (3)1( 0.0)  3107600.8 
