SEQ='C '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15626082.5   NPRNTI= 5   NPRNTF= 8
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)      345.6 
     3          2S1 2P2             (4)1( 0.5)    66324.9 
     4          2S1 2P2             (4)1( 1.5)    66445.7 
     5          2S1 2P2             (4)1( 2.5)    66645.8 
     6          2S1 2P2             (2)2( 1.5)   130918.0*
     7          2S1 2P2             (2)2( 2.5)   130919.1*
     8          2S1 2P2             (2)1( 0.5)   168711.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  15798840.8   NLVL= 941
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    81     2    2S2 2P1 4F1         (3)2( 2.0)   111441.1 
    82     2    2S2 2P1 4F1         (1)4( 4.0)   111513.2 
    83     2    2S2 2P1 4F1         (3)2( 1.0)   111551.0 
    84     2    2S2 2P1 4F1         (1)2( 2.0)   111621.3 
    85     2    2S2 2P1 4D1         (1)1( 1.0)   115512.1 
    86     2    2S2 2P1 4D1         (1)3( 3.0)   115721.8 
    87     1    2S2 2P1 5S1         (3)1( 0.0)   121891.0 
    88     1    2S2 2P1 5S1         (3)1( 1.0)   121972.2 
    89     3    2S1 2P2 3D1         (5)3( 1.0)   122189.1 
    90     2    2S2 2P1 5S1         (3)1( 2.0)   122228.4 
    91     3    2S1 2P2 3D1         (5)3( 2.0)   122230.1 
    92     3    2S1 2P2 3D1         (5)3( 3.0)   122292.1 
    93     2    2S1 2P2 3D1         (5)3( 4.0)   122375.8 
    94     5    2S1 2P2 3D1         (5)3( 5.0)   122482.1 
    95     2    2S2 2P1 5S1         (1)1( 1.0)   122840.9 
    96     1    2S2 2P1 5P1         (3)2( 1.0)   125420.3 
    97     1    2S2 2P1 5P1         (3)2( 2.0)   125535.4 
    98     2    2S2 2P1 5P1         (3)2( 3.0)   125697.3 
    99     1    2S2 2P1 5P1         (1)1( 1.0)   125994.1 
   100     5    2S1 2P2 3D1         (5)2( 0.0)   126067.2 
   101     5    2S1 2P2 3D1         (5)2( 1.0)   126077.2 
   102     5    2S1 2P2 3D1         (5)2( 2.0)   126098.1 
   103     5    2S1 2P2 3D1         (5)2( 3.0)   126131.6 
   104     5    2S1 2P2 3D1         (5)2( 4.0)   126181.1 
   105     2    2S2 2P1 5P1         (3)0( 1.0)   126920.5 
   106     1    2S2 2P1 5P1         (3)1( 0.0)   128428.0 
   107     5    2S1 2P2 3D1         (5)1( 3.0)   128448.9 
   108     2    2S2 2P1 5P1         (3)1( 1.0)   128508.7 
   109     5    2S1 2P2 3D1         (5)1( 2.0)   128529.0 
   110     2    2S2 2P1 5P1         (3)1( 2.0)   128545.1 
   111     5    2S1 2P2 3D1         (5)1( 1.0)   128581.8 
   112     2    2S2 2P1 5P1         (1)2( 2.0)   128693.9 
   113     5    2S1 2P2 3D1         (3)1( 2.0)   129121.5 
   114     5    2S1 2P2 3D1         (3)1( 1.0)   129233.4 
   115     5    2S1 2P2 3D1         (3)1( 0.0)   129289.5 
   116     1    2S2 2P1 5D1         (3)3( 2.0)   131421.7 
   117     1    2S2 2P1 5D1         (3)3( 3.0)   131610.6 
   118     1    2S2 2P1 5D1         (1)2( 2.0)   131641.8 
   119     2    2S2 2P1 5P1         (1)0( 0.0)   131668.9 
   120     2    2S2 2P1 5D1         (3)3( 4.0)   131781.9 
   121     1    2S2 2P1 5D1         (3)2( 1.0)   132581.6 
   122     2    2S2 2P1 5D1         (3)2( 2.0)   132606.4 
   123     2    2S2 2P1 5D1         (3)2( 3.0)   132723.7 
   124     2    2S2 2P1 5D1         (3)1( 2.0)   132933.0 
   125     1    2S2 2P1 5F1         (1)3( 3.0)   132965.0 
   126     1    2S2 2P1 5F1         (3)3( 2.0)   132975.2 
   127     1    2S2 2P1 5F1         (3)3( 3.0)   132998.6 
   128     2    2S2 2P1 5D1         (3)1( 1.0)   133001.0 
   129     1    2S2 2P1 5F1         (3)3( 4.0)   133022.3 
   130     2    2S2 2P1 5D1         (3)1( 0.0)   133033.3 
   131     1    2S2 2P1 5G1         (3)4( 3.0)   133227.2 
   132     1    2S2 2P1 5G1         (3)4( 4.0)   133227.3 
   133     1    2S2 2P1 5G1         (3)5( 4.0)   133237.0 
   134     1    2S2 2P1 5G1         (3)5( 5.0)   133237.8 
   135     2    2S2 2P1 5F1         (3)4( 3.0)   133336.3 
   136     2    2S2 2P1 5F1         (3)4( 4.0)   133374.8 
   137     2    2S2 2P1 5F1         (3)4( 5.0)   133506.1 
   138     2    2S2 2P1 5F1         (3)2( 3.0)   133515.5 
   139     2    2S2 2P1 5F1         (3)2( 2.0)   133543.1 
   140     2    2S2 2P1 5G1         (1)4( 4.0)   133543.8 
   141     2    2S2 2P1 5G1         (3)4( 5.0)   133544.5 
   142     2    2S2 2P1 5G1         (3)3( 4.0)   133594.4 
   143     2    2S2 2P1 5G1         (1)3( 3.0)   133594.7 
   144     2    2S2 2P1 5G1         (3)5( 6.0)   133640.0 
   145     2    2S2 2P1 5G1         (1)5( 5.0)   133640.3 
   146     2    2S2 2P1 5F1         (3)2( 1.0)   133644.2 
   147     2    2S2 2P1 5F1         (1)4( 4.0)   133645.2 
   148     2    2S2 2P1 5F1         (1)2( 2.0)   133679.7 
   149     2    2S2 2P1 5G1         (3)3( 2.0)   133679.7 
   150     2    2S2 2P1 5G1         (3)3( 3.0)   133680.7 
   151     5    2S1 2P2 3S1         (3)2( 3.0)   133740.6 
   152     6    2S1 2P2 3S1         (3)2( 2.0)   133740.9 
   153     6    2S1 2P2 3S1         (3)2( 1.0)   133741.0 
   154     2    2S2 2P1 5D1         (1)1( 1.0)   134976.7 
