SEQ='C '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15626082.5   NPRNTI= 5   NPRNTF= 8
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)      345.6 
     3          2S1 2P2             (4)1( 0.5)    66324.9 
     4          2S1 2P2             (4)1( 1.5)    66445.7 
     5          2S1 2P2             (4)1( 2.5)    66645.8 
     6          2S1 2P2             (2)2( 1.5)   130918.0*
     7          2S1 2P2             (2)2( 2.5)   130919.1*
     8          2S1 2P2             (2)1( 0.5)   168711.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  15798840.8   NLVL= 941
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   356       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.10E-38  4.14E-27  1.72E-20  1.57E-18
             8.94E-18  1.21E-17  7.46E-18  3.49E-18  1.04E-18  3.91E-19  1.42E-19  3.65E-20  1.30E-20
   357       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.72E-38  1.39E-26  5.83E-20  5.33E-18
             3.07E-17  4.19E-17  2.60E-17  1.22E-17  3.66E-18  1.37E-18  4.97E-19  1.28E-19  4.55E-20
   358       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.58E-37  5.90E-26  2.45E-19  2.22E-17
             1.26E-16  1.69E-16  1.04E-16  4.86E-17  1.45E-17  5.43E-18  1.97E-18  5.08E-19  1.81E-19
   359       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.58E-39  5.91E-28  2.49E-21  2.32E-19
             1.37E-18  1.91E-18  1.20E-18  5.64E-19  1.70E-19  6.35E-20  2.31E-20  5.95E-21  2.12E-21
   360       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.53E-39  2.82E-27  1.17E-20  1.06E-18
             6.05E-18  8.15E-18  5.04E-18  2.36E-18  7.05E-19  2.64E-19  9.58E-20  2.47E-20  8.77E-21
   361       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.56E-37  1.32E-25  5.54E-19  5.16E-17
             3.03E-16  4.21E-16  2.64E-16  1.24E-16  3.73E-17  1.40E-17  5.09E-18  1.31E-18  4.65E-19
   362       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.78E-39  2.91E-27  1.21E-20  1.10E-18
             6.32E-18  8.58E-18  5.32E-18  2.49E-18  7.47E-19  2.80E-19  1.02E-19  2.62E-20  9.30E-21
   363       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.57E-38  5.88E-27  2.44E-20  2.21E-18
             1.26E-17  1.69E-17  1.05E-17  4.90E-18  1.47E-18  5.48E-19  1.99E-19  5.13E-20  1.82E-20
   364       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.55E-37  5.80E-26  2.41E-19  2.19E-17
             1.24E-16  1.68E-16  1.04E-16  4.85E-17  1.45E-17  5.42E-18  1.97E-18  5.07E-19  1.80E-19
   365       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.79E-42  1.91E-30  1.69E-23  2.99E-21
             2.54E-20  4.41E-20  2.97E-20  1.45E-20  4.45E-21  1.68E-21  6.13E-22  1.58E-22  5.62E-23
   366       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.24E-37  1.21E-25  5.04E-19  4.55E-17
             2.57E-16  3.45E-16  2.13E-16  9.93E-17  2.97E-17  1.11E-17  4.03E-18  1.04E-18  3.69E-19
   367       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.52E-39  1.69E-27  7.03E-21  6.33E-19
             3.58E-18  4.78E-18  2.94E-18  1.37E-18  4.11E-19  1.53E-19  5.58E-20  1.43E-20  5.10E-21
   368       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.80E-39  6.75E-28  2.90E-21  2.78E-19
             1.67E-18  2.36E-18  1.49E-18  7.02E-19  2.11E-19  7.92E-20  2.88E-20  7.42E-21  2.64E-21
   369       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.02E-37  3.81E-26  1.58E-19  1.42E-17
             8.05E-17  1.08E-16  6.62E-17  3.09E-17  9.24E-18  3.45E-18  1.26E-18  3.23E-19  1.15E-19
   370       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.06E-36  3.94E-25  1.64E-18  1.48E-16
             8.43E-16  1.14E-15  7.02E-16  3.28E-16  9.82E-17  3.67E-17  1.33E-17  3.43E-18  1.22E-18
   371       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.53E-37  2.07E-25  8.67E-19  7.97E-17
             4.61E-16  6.29E-16  3.91E-16  1.83E-16  5.49E-17  2.05E-17  7.47E-18  1.92E-18  6.84E-19
   372       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.44E-38  2.03E-26  8.42E-20  7.61E-18
             4.34E-17  5.86E-17  3.63E-17  1.70E-17  5.09E-18  1.90E-18  6.92E-19  1.78E-19  6.33E-20
   373       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.27E-37  1.22E-25  5.09E-19  4.61E-17
             2.63E-16  3.54E-16  2.19E-16  1.02E-16  3.06E-17  1.14E-17  4.16E-18  1.07E-18  3.81E-19
   374       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.90E-37  2.64E-25  2.71E-18  5.08E-16
             4.40E-15  7.69E-15  5.18E-15  2.53E-15  7.78E-16  2.93E-16  1.07E-16  2.76E-17  9.83E-18
   375       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.14E-37  1.12E-25  5.52E-19  6.63E-17
             4.72E-16  7.48E-16  4.90E-16  2.36E-16  7.20E-17  2.71E-17  9.88E-18  2.55E-18  9.06E-19
   376       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.01E-37  8.27E-26  9.26E-19  1.66E-16
             1.44E-15  2.53E-15  1.71E-15  8.39E-16  2.58E-16  9.74E-17  3.56E-17  9.18E-18  3.27E-18
   377       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.30E-37  1.89E-25  2.18E-18  3.99E-16
             3.49E-15  6.18E-15  4.19E-15  2.05E-15  6.32E-16  2.38E-16  8.71E-17  2.25E-17  8.00E-18
   378       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.29E-37  1.12E-25  1.84E-18  4.02E-16
             3.75E-15  6.87E-15  4.70E-15  2.32E-15  7.15E-16  2.70E-16  9.86E-17  2.55E-17  9.06E-18
   379       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.41E-48  2.40E-32  2.49E-23  8.03E-18  4.80E-16
             2.61E-15  3.62E-15  2.28E-15  1.08E-15  3.26E-16  1.22E-16  4.45E-17  1.15E-17  4.07E-18
   380       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.18E-48  1.95E-32  2.19E-23  7.08E-18  4.22E-16
             2.31E-15  3.25E-15  2.06E-15  9.77E-16  2.95E-16  1.11E-16  4.03E-17  1.04E-17  3.69E-18
   381       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.68E-50  5.96E-35  1.27E-25  4.20E-19  4.74E-17
             3.33E-16  5.29E-16  3.47E-16  1.68E-16  5.11E-17  1.92E-17  7.02E-18  1.81E-18  6.44E-19
   382       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.21E-40  1.12E-27  2.41E-20  5.42E-18
             5.19E-17  9.69E-17  6.69E-17  3.31E-17  1.02E-17  3.87E-18  1.42E-18  3.65E-19  1.30E-19
   383       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.92E-45  9.27E-31  2.67E-23  4.58E-18  2.68E-16
             1.45E-15  2.01E-15  1.27E-15  6.02E-16  1.82E-16  6.81E-17  2.48E-17  6.39E-18  2.27E-18
   384       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.29E-40  1.12E-28  1.92E-21  4.18E-19
             3.96E-18  7.35E-18  5.06E-18  2.50E-18  7.73E-19  2.92E-19  1.07E-19  2.76E-20  9.81E-21
   385       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.69E-40  3.82E-28  5.56E-21  1.10E-18
             1.01E-17  1.83E-17  1.26E-17  6.19E-18  1.91E-18  7.21E-19  2.64E-19  6.80E-20  2.42E-20
   386       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.92E-40  2.33E-28  1.06E-20  3.02E-18
             3.11E-17  5.98E-17  4.16E-17  2.06E-17  6.39E-18  2.42E-18  8.84E-19  2.28E-19  8.12E-20
   387       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.49E-41  1.75E-28  2.91E-20  9.15E-18
             9.66E-17  1.87E-16  1.31E-16  6.49E-17  2.01E-17  7.62E-18  2.79E-18  7.19E-19  2.56E-19
   388       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.35E-41  2.89E-29  4.92E-21  1.55E-18
             1.64E-17  3.18E-17  2.22E-17  1.10E-17  3.42E-18  1.29E-18  4.73E-19  1.22E-19  4.35E-20
   389       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.49E-38  1.37E-27  1.26E-20  1.99E-18
             1.64E-17  2.86E-17  1.94E-17  9.51E-18  2.93E-18  1.11E-18  4.04E-19  1.04E-19  3.71E-20
   390       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.65E-38  3.22E-27  3.10E-20  5.21E-18
             4.46E-17  7.93E-17  5.41E-17  2.66E-17  8.21E-18  3.10E-18  1.13E-18  2.93E-19  1.04E-19
   391       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.60E-38  2.49E-27  2.68E-20  5.37E-18
             5.02E-17  9.33E-17  6.44E-17  3.19E-17  9.87E-18  3.73E-18  1.36E-18  3.52E-19  1.25E-19
   392       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.29E-40  2.07E-28  2.23E-21  3.51E-19
             2.91E-18  5.11E-18  3.47E-18  1.70E-18  5.25E-19  1.98E-19  7.25E-20  1.87E-20  6.66E-21
   393       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.82E-40  4.87E-29  1.07E-21  2.74E-19
             2.80E-18  5.44E-18  3.80E-18  1.89E-18  5.87E-19  2.22E-19  8.14E-20  2.10E-20  7.48E-21
   394       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.63E-41  1.66E-29  1.35E-21  4.29E-19
             4.60E-18  9.02E-18  6.32E-18  3.14E-18  9.76E-19  3.69E-19  1.35E-19  3.49E-20  1.24E-20
   395       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.89E-44  9.07E-30  1.41E-22  8.86E-18  7.64E-16
             5.45E-15  8.87E-15  5.88E-15  2.85E-15  8.72E-16  3.28E-16  1.20E-16  3.09E-17  1.10E-17
   396       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.11E-43  2.60E-30  6.61E-23  2.99E-18  1.51E-16
             8.29E-16  1.19E-15  7.60E-16  3.62E-16  1.10E-16  4.12E-17  1.50E-17  3.87E-18  1.38E-18
   397       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.98E-45  3.06E-30  7.82E-23  3.39E-18  1.55E-16
             7.76E-16  1.04E-15  6.49E-16  3.06E-16  9.19E-17  3.44E-17  1.25E-17  3.22E-18  1.15E-18
   398       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.16E-45  1.71E-30  4.20E-23  1.60E-18  8.93E-17
             5.35E-16  8.10E-16  5.28E-16  2.54E-16  7.74E-17  2.91E-17  1.06E-17  2.74E-18  9.74E-19
   399       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.34E-41  9.37E-30  3.32E-22  9.09E-20
             9.30E-19  1.79E-18  1.24E-18  6.16E-19  1.91E-19  7.23E-20  2.64E-20  6.82E-21  2.43E-21
   400       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.96E-42  1.61E-29  7.26E-23  9.02E-18  5.33E-16
             2.75E-15  3.64E-15  2.25E-15  1.06E-15  3.17E-16  1.18E-16  4.31E-17  1.11E-17  3.94E-18
   401       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.74E-39  4.73E-28  1.08E-22  3.07E-18  1.46E-16
             7.13E-16  9.23E-16  5.68E-16  2.65E-16  7.94E-17  2.97E-17  1.08E-17  2.78E-18  9.87E-19
   402       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.11E-46  7.92E-31  2.47E-23  2.19E-18  1.05E-16
             5.01E-16  6.30E-16  3.83E-16  1.78E-16  5.29E-17  1.98E-17  7.18E-18  1.85E-18  6.56E-19
   403       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.07E-43  8.30E-31  2.41E-23  1.80E-18  8.67E-17
             4.15E-16  5.24E-16  3.18E-16  1.48E-16  4.40E-17  1.64E-17  5.97E-18  1.54E-18  5.46E-19
   404       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.12E-46  3.29E-31  9.46E-24  6.59E-19  3.20E-17
             1.54E-16  1.96E-16  1.19E-16  5.54E-17  1.65E-17  6.17E-18  2.24E-18  5.76E-19  2.05E-19
   405       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.29E-40  3.83E-28  5.85E-21  8.75E-19
             6.64E-18  1.08E-17  7.13E-18  3.45E-18  1.05E-18  3.96E-19  1.44E-19  3.73E-20  1.33E-20
   406       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.42E-40  4.05E-28  6.29E-21  9.63E-19
             7.45E-18  1.23E-17  8.14E-18  3.95E-18  1.21E-18  4.54E-19  1.66E-19  4.28E-20  1.52E-20
   407       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-40  3.75E-28  3.20E-20  1.07E-17
             1.19E-16  2.39E-16  1.69E-16  8.42E-17  2.62E-17  9.93E-18  3.64E-18  9.39E-19  3.34E-19
   408       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.00E-41  2.70E-28  4.16E-20  1.47E-17
             1.65E-16  3.34E-16  2.36E-16  1.18E-16  3.67E-17  1.39E-17  5.09E-18  1.31E-18  4.68E-19
   409       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.42E-42  2.57E-29  5.51E-21  2.00E-18
             2.27E-17  4.62E-17  3.27E-17  1.64E-17  5.10E-18  1.93E-18  7.07E-19  1.83E-19  6.50E-20
   410       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.43E-37  9.74E-27  1.15E-19  2.47E-17
             2.34E-16  4.36E-16  3.00E-16  1.48E-16  4.59E-17  1.73E-17  6.34E-18  1.64E-18  5.82E-19
   411       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.68E-37  1.07E-26  1.36E-19  3.13E-17
             3.04E-16  5.72E-16  3.95E-16  1.96E-16  6.05E-17  2.29E-17  8.37E-18  2.16E-18  7.69E-19
   412       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.35E-38  4.20E-27  8.40E-20  2.44E-17
             2.55E-16  4.96E-16  3.46E-16  1.72E-16  5.34E-17  2.02E-17  7.39E-18  1.91E-18  6.79E-19
   413       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.32E-41  1.00E-28  1.76E-21  3.22E-19
             2.85E-18  5.14E-18  3.52E-18  1.73E-18  5.35E-19  2.02E-19  7.38E-20  1.91E-20  6.78E-21
   414       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.04E-41  2.11E-28  3.97E-21  7.84E-19
             7.24E-18  1.34E-17  9.24E-18  4.57E-18  1.41E-18  5.34E-19  1.95E-19  5.04E-20  1.79E-20
   415       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.08E-41  1.80E-28  4.12E-21  9.57E-19
             9.55E-18  1.84E-17  1.28E-17  6.38E-18  1.98E-18  7.50E-19  2.74E-19  7.09E-20  2.52E-20
   416       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.40E-41  1.03E-28  3.44E-21  9.62E-19
             1.03E-17  2.04E-17  1.44E-17  7.17E-18  2.23E-18  8.45E-19  3.09E-19  7.99E-20  2.85E-20
   417       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.78E-41  9.52E-29  2.71E-21  6.71E-19
             6.76E-18  1.30E-17  9.07E-18  4.50E-18  1.40E-18  5.29E-19  1.93E-19  4.99E-20  1.78E-20
   418       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.12E-39  1.07E-26  1.89E-19  3.17E-17
             2.61E-16  4.49E-16  3.02E-16  1.47E-16  4.53E-17  1.71E-17  6.24E-18  1.61E-18  5.73E-19
   419       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.72E-41  7.37E-29  1.62E-21  3.48E-19
             3.33E-18  6.25E-18  4.33E-18  2.14E-18  6.64E-19  2.51E-19  9.18E-20  2.37E-20  8.43E-21
   420       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.18E-39  7.23E-27  1.37E-19  2.55E-17
             2.26E-16  4.06E-16  2.77E-16  1.36E-16  4.21E-17  1.59E-17  5.81E-18  1.50E-18  5.34E-19
   421       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.59E-40  7.78E-28  1.38E-20  2.31E-18
             1.90E-17  3.25E-17  2.18E-17  1.06E-17  3.27E-18  1.23E-18  4.50E-19  1.16E-19  4.13E-20
   422       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.66E-40  1.00E-27  1.90E-20  3.54E-18
             3.12E-17  5.61E-17  3.83E-17  1.88E-17  5.81E-18  2.19E-18  8.02E-19  2.07E-19  7.37E-20
   423       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.49E-39  2.34E-27  4.71E-20  9.50E-18
             8.79E-17  1.62E-16  1.12E-16  5.53E-17  1.71E-17  6.46E-18  2.36E-18  6.10E-19  2.17E-19
   424       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.28E-41  1.77E-28  5.35E-21  1.25E-18
             1.24E-17  2.37E-17  1.65E-17  8.20E-18  2.54E-18  9.63E-19  3.52E-19  9.10E-20  3.24E-20
   425       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.37E-40  3.01E-27  7.17E-20  1.29E-17
             1.09E-16  1.90E-16  1.28E-16  6.27E-17  1.93E-17  7.27E-18  2.65E-18  6.85E-19  2.44E-19
   426       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.48E-40  1.90E-27  4.55E-20  8.25E-18
             6.99E-17  1.22E-16  8.23E-17  4.02E-17  1.24E-17  4.67E-18  1.71E-18  4.40E-19  1.57E-19
   427       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.27E-40  1.26E-27  3.20E-20  6.22E-18
             5.53E-17  9.96E-17  6.80E-17  3.35E-17  1.03E-17  3.90E-18  1.43E-18  3.68E-19  1.31E-19
   428       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.20E-41  2.28E-28  6.39E-21  1.38E-18
             1.32E-17  2.47E-17  1.71E-17  8.45E-18  2.62E-18  9.90E-19  3.62E-19  9.34E-20  3.33E-20
   429       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.29E-40  2.35E-27  5.83E-20  1.11E-17
             9.71E-17  1.73E-16  1.18E-16  5.79E-17  1.78E-17  6.74E-18  2.46E-18  6.35E-19  2.26E-19
   430       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.07E-43  7.40E-31  2.05E-22  8.27E-20
             9.90E-19  2.08E-18  1.48E-18  7.47E-19  2.33E-19  8.85E-20  3.24E-20  8.38E-21  2.98E-21
   431       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.62E-40  1.41E-27  3.78E-20  7.83E-18
             7.25E-17  1.34E-16  9.22E-17  4.55E-17  1.41E-17  5.32E-18  1.95E-18  5.02E-19  1.79E-19
   432       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.08E-41  5.31E-29  1.24E-21  2.27E-19
             1.94E-18  3.40E-18  2.30E-18  1.13E-18  3.47E-19  1.31E-19  4.78E-20  1.23E-20  4.39E-21
   433       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.68E-41  2.81E-28  1.54E-20  4.87E-18
             5.44E-17  1.11E-16  7.84E-17  3.93E-17  1.22E-17  4.64E-18  1.70E-18  4.39E-19  1.56E-19
   434       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.95E-41  3.06E-28  2.25E-20  7.71E-18
             8.81E-17  1.81E-16  1.29E-16  6.46E-17  2.02E-17  7.64E-18  2.80E-18  7.23E-19  2.57E-19
   435       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.68E-41  1.44E-28  1.24E-20  4.40E-18
             5.09E-17  1.05E-16  7.48E-17  3.76E-17  1.17E-17  4.45E-18  1.63E-18  4.21E-19  1.50E-19
   436       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.41E-40  5.09E-27  2.35E-19  7.01E-17
             7.69E-16  1.55E-15  1.10E-15  5.50E-16  1.72E-16  6.50E-17  2.38E-17  6.15E-18  2.19E-18
   437       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.47E-42  2.88E-30  4.47E-22  1.75E-19
             2.08E-18  4.34E-18  3.10E-18  1.56E-18  4.87E-19  1.85E-19  6.76E-20  1.75E-20  6.22E-21
   438       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.83E-40  4.81E-27  2.70E-19  8.65E-17
             9.73E-16  1.98E-15  1.41E-15  7.07E-16  2.20E-16  8.36E-17  3.06E-17  7.90E-18  2.81E-18
   439       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.37E-38  2.11E-26  3.40E-19  6.46E-17
             5.79E-16  1.05E-15  7.20E-16  3.55E-16  1.10E-16  4.14E-17  1.51E-17  3.91E-18  1.39E-18
   440       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.94E-38  1.94E-26  3.26E-19  6.77E-17
             6.40E-16  1.20E-15  8.29E-16  4.10E-16  1.27E-16  4.81E-17  1.76E-17  4.54E-18  1.61E-18
   441       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.25E-40  3.27E-27  2.19E-19  7.43E-17
             8.51E-16  1.75E-15  1.25E-15  6.25E-16  1.95E-16  7.40E-17  2.71E-17  7.00E-18  2.49E-18
   442       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.94E-38  8.55E-27  1.74E-19  4.97E-17
             5.40E-16  1.08E-15  7.65E-16  3.82E-16  1.19E-16  4.51E-17  1.65E-17  4.26E-18  1.52E-18
   443       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.05E-42  3.36E-29  8.05E-22  1.50E-19
             1.30E-18  2.30E-18  1.56E-18  7.66E-19  2.36E-19  8.91E-20  3.25E-20  8.40E-21  2.99E-21
   444       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.04E-41  4.13E-29  1.34E-21  3.26E-19
             3.28E-18  6.32E-18  4.41E-18  2.19E-18  6.81E-19  2.58E-19  9.42E-20  2.43E-20  8.66E-21
   445       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.13E-41  3.86E-29  1.91E-21  5.76E-19
             6.30E-18  1.27E-17  8.95E-18  4.48E-18  1.39E-18  5.28E-19  1.93E-19  5.00E-20  1.78E-20
   446       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.54E-41  1.21E-28  4.54E-21  1.23E-18
             1.29E-17  2.56E-17  1.80E-17  8.97E-18  2.79E-18  1.06E-18  3.87E-19  1.00E-19  3.56E-20
   447       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.28E-41  3.38E-28  9.82E-21  2.26E-18
             2.23E-17  4.26E-17  2.97E-17  1.47E-17  4.58E-18  1.73E-18  6.33E-19  1.64E-19  5.82E-20
   448       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.23E-40  1.53E-27  5.18E-20  1.33E-17
             1.38E-16  2.71E-16  1.90E-16  9.49E-17  2.95E-17  1.12E-17  4.09E-18  1.06E-18  3.76E-19
   449       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.55E-40  1.60E-27  6.52E-20  1.87E-17
             2.03E-16  4.09E-16  2.89E-16  1.45E-16  4.51E-17  1.71E-17  6.26E-18  1.62E-18  5.76E-19
   450       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.16E-40  2.21E-27  1.07E-19  3.30E-17
             3.68E-16  7.51E-16  5.34E-16  2.68E-16  8.35E-17  3.17E-17  1.16E-17  3.00E-18  1.07E-18
   451       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.07E-39  5.45E-27  1.12E-19  2.25E-17
             2.09E-16  3.88E-16  2.68E-16  1.33E-16  4.11E-17  1.55E-17  5.69E-18  1.47E-18  5.22E-19
   452       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.75E-39  8.40E-27  1.78E-19  3.66E-17
             3.45E-16  6.47E-16  4.48E-16  2.22E-16  6.88E-17  2.60E-17  9.51E-18  2.46E-18  8.74E-19
   453       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.86E-39  1.08E-26  2.40E-19  5.14E-17
             4.94E-16  9.36E-16  6.51E-16  3.23E-16  1.00E-16  3.79E-17  1.39E-17  3.58E-18  1.27E-18
   454       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.97E-42  3.48E-29  1.27E-21  2.67E-19
