SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112584757.8   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S1             (2)0( 0.5)        0.0 
     2          2P6 3P1             (2)1( 0.5)   140455.9 
     3          2P6 3P1             (2)1( 1.5)   143187.1 
     4          2P6 3D1             (2)2( 1.5)   334114.4*
     5          2P6 3D1             (2)2( 2.5)   334541.6*

   IC RESOLVED LEVEL INDEXING           BWNR= 113584897.3   NLVL= 454
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     2    2P6 3S2             (1)0( 0.0)        0.0 
     2     1    2P6 3S1 3P1         (3)1( 0.0)   112137.2 
     3     1    2P6 3S1 3P1         (3)1( 1.0)   112952.7 
     4     1    2P6 3S1 3P1         (3)1( 2.0)   114651.7 
     5     1    2P6 3S1 3P1         (1)1( 1.0)   174219.0 
     6     2    2P6 3P2             (1)2( 2.0)   264489.4 
     7     2    2P6 3P2             (3)1( 0.0)   270375.3 
     8     2    2P6 3P2             (3)1( 1.0)   271317.0 
     9     2    2P6 3P2             (3)1( 2.0)   273121.1 
    10     2    2P6 3P2             (1)0( 0.0)   322162.9 
    11     1    2P6 3S1 3D1         (3)2( 1.0)   327424.0 
    12     1    2P6 3S1 3D1         (3)2( 2.0)   327577.8 
    13     1    2P6 3S1 3D1         (3)2( 3.0)   327809.4 
    14     1    2P6 3S1 3D1         (1)2( 2.0)   382619.3 
    15     2    2P6 3P1 3D1         (3)3( 2.0)   445925.5 
    16     2    2P6 3P1 3D1         (3)3( 3.0)   447043.5 
    17     3    2P6 3P1 3D1         (3)3( 4.0)   448398.0 
    18     2    2P6 3P1 3D1         (1)2( 2.0)   451941.8 
    19     1    2P6 3S1 4S1         (3)0( 1.0)   455504.1 
    20     1    2P6 3S1 4S1         (1)0( 0.0)   471235.6 
    21     2    2P6 3P1 3D1         (3)1( 2.0)   477192.8 
    22     2    2P6 3P1 3D1         (3)1( 1.0)   477753.9 
    23     3    2P6 3P1 3D1         (3)1( 0.0)   478382.0 
    24     2    2P6 3P1 3D1         (3)2( 1.0)   479515.8 
    25     2    2P6 3P1 3D1         (3)2( 2.0)   479959.4 
    26     2    2P6 3P1 3D1         (3)2( 3.0)   480247.9 
    27     3    2P6 3P1 3D1         (1)3( 3.0)   526396.3 
    28     3    2P6 3P1 3D1         (1)1( 1.0)   535114.4 
    29     1    2P6 3S1 4P1         (3)1( 0.0)   568648.6 
    30     1    2P6 3S1 4P1         (3)1( 1.0)   568873.7 
    31     1    2P6 3S1 4P1         (3)1( 2.0)   569350.4 
    32     1    2P6 3S1 4P1         (1)1( 1.0)   581123.9 
    33     2    2P6 3P1 4S1         (3)1( 0.0)   599963.2 
    34     2    2P6 3P1 4S1         (3)1( 1.0)   600690.6 
    35     3    2P6 3P1 4S1         (3)1( 2.0)   602693.1 
    36     3    2P6 3P1 4S1         (1)1( 1.0)   609886.1 
    37     1    2P6 3S1 4D1         (3)2( 1.0)   636810.9 
    38     1    2P6 3S1 4D1         (3)2( 2.0)   636855.9 
    39     1    2P6 3S1 4D1         (3)2( 3.0)   636926.3 
    40     1    2P6 3S1 4D1         (1)2( 2.0)   639625.1 
    41     4    2P6 3D2             (3)3( 2.0)   659566.2 
    42     4    2P6 3D2             (3)3( 3.0)   659800.1 
    43     4    2P6 3D2             (3)3( 4.0)   660107.0 
    44     1    2P6 3S1 4F1         (3)3( 2.0)   660145.3 
    45     1    2P6 3S1 4F1         (3)3( 3.0)   660166.6 
    46     1    2P6 3S1 4F1         (3)3( 4.0)   660195.0 
    47     1    2P6 3S1 4F1         (1)3( 3.0)   669693.5 
    48     4    2P6 3D2             (3)1( 0.0)   678306.1 
    49     4    2P6 3D2             (3)1( 1.0)   678390.9 
    50     4    2P6 3D2             (3)1( 2.0)   678508.4 
    51     4    2P6 3D2             (1)2( 2.0)   679703.3 
    52     4    2P6 3D2             (1)4( 4.0)   681515.2 
    53     1    2P6 3S1 5S1         (3)0( 1.0)   686734.5 
    54     1    2P6 3S1 5S1         (1)0( 0.0)   691051.3 
    55     2    2P6 3P1 4P1         (1)1( 1.0)   701120.4 
    56     2    2P6 3P1 4P1         (3)2( 1.0)   704851.0 
    57     2    2P6 3P1 4P1         (3)2( 2.0)   705652.5 
    58     3    2P6 3P1 4P1         (3)2( 3.0)   707421.2 
    59     3    2P6 3P1 4P1         (3)0( 1.0)   713329.8 
    60     2    2P6 3P1 4P1         (3)1( 0.0)   715040.7 
    61     3    2P6 3P1 4P1         (3)1( 1.0)   716643.3 
    62     3    2P6 3P1 4P1         (3)1( 2.0)   717516.7 
    63     5    2P6 3D2             (1)0( 0.0)   728640.3 
    64     3    2P6 3P1 4P1         (1)2( 2.0)   728654.0 
    65     1    2P6 3S1 5P1         (3)1( 0.0)   739387.5 
    66     1    2P6 3S1 5P1         (3)1( 1.0)   739495.2 
    67     1    2P6 3S1 5P1         (3)1( 2.0)   739740.8 
    68     1    2P6 3S1 5P1         (1)1( 1.0)   742297.9 
    69     3    2P6 3P1 4P1         (1)0( 0.0)   763875.3 
    70     1    2P6 3S1 5D1         (3)2( 1.0)   771273.2 
    71     1    2P6 3S1 5D1         (3)2( 2.0)   771297.6 
    72     1    2P6 3S1 5D1         (3)2( 3.0)   771335.9 
    73     1    2P6 3S1 5D1         (1)2( 2.0)   772779.0 
    74     2    2P6 3P1 4D1         (1)2( 2.0)   773476.9 
    75     2    2P6 3P1 4D1         (3)2( 1.0)   775317.7 
    76     2    2P6 3P1 4D1         (3)2( 2.0)   775402.0 
    77     2    2P6 3P1 4D1         (3)2( 3.0)   775891.5 
    78     3    2P6 3P1 4D1         (3)3( 2.0)   777653.8 
    79     3    2P6 3P1 4D1         (3)3( 3.0)   778362.8 
    80     3    2P6 3P1 4D1         (3)3( 4.0)   779345.8 
    81     1    2P6 3S1 5F1         (3)3( 2.0)   782565.7 
    82     1    2P6 3S1 5F1         (3)3( 3.0)   782575.7 
    83     1    2P6 3S1 5F1         (3)3( 4.0)   782589.2 
    84     3    2P6 3P1 4D1         (3)1( 2.0)   783170.9 
    85     3    2P6 3P1 4D1         (3)1( 1.0)   783811.3 
    86     3    2P6 3P1 4D1         (3)1( 0.0)   784211.9 
    87     1    2P6 3S1 5G1         (3)4( 3.0)   784814.9 
    88     1    2P6 3S1 5G1         (3)4( 4.0)   784819.9 
    89     1    2P6 3S1 5G1         (3)4( 5.0)   784826.4 
    90     1    2P6 3S1 5G1         (1)4( 4.0)   785195.5 
    91     1    2P6 3S1 5F1         (1)3( 3.0)   786302.7 
    92     3    2P6 3P1 4D1         (1)3( 3.0)   786843.8 
    93     3    2P6 3P1 4D1         (1)1( 1.0)   790555.1 
    94     4    2P6 3D1 4S1         (3)2( 1.0)   794978.8 
    95     4    2P6 3D1 4S1         (3)2( 2.0)   795140.6 
    96     5    2P6 3D1 4S1         (3)2( 3.0)   795405.9 
    97     2    2P6 3P1 4F1         (1)3( 3.0)   795609.4 
    98     1    2P6 3S1 6S1         (3)0( 1.0)   796778.9 
    99     2    2P6 3P1 4F1         (3)3( 3.0)   798590.2 
   100     2    2P6 3P1 4F1         (3)3( 4.0)   799029.1 
   101     2    2P6 3P1 4F1         (3)3( 2.0)   799035.4 
   102     1    2P6 3S1 6S1         (1)0( 0.0)   799395.4 
   103     5    2P6 3D1 4S1         (1)2( 2.0)   799953.0 
   104     3    2P6 3P1 4F1         (3)4( 3.0)   800253.0 
   105     3    2P6 3P1 4F1         (3)4( 4.0)   800907.5 
   106     3    2P6 3P1 4F1         (3)4( 5.0)   801414.2 
   107     3    2P6 3P1 4F1         (3)2( 3.0)   806585.4 
   108     3    2P6 3P1 4F1         (3)2( 2.0)   807307.0 
   109     3    2P6 3P1 4F1         (3)2( 1.0)   807846.3 
   110     3    2P6 3P1 4F1         (1)2( 2.0)   818062.1 
   111     3    2P6 3P1 4F1         (1)4( 4.0)   819199.6 
   112     1    2P6 3S1 6P1         (3)1( 0.0)   825326.6 
   113     1    2P6 3S1 6P1         (3)1( 1.0)   825385.8 
   114     1    2P6 3S1 6P1         (3)1( 2.0)   825524.0 
   115     1    2P6 3S1 6P1         (1)1( 1.0)   826703.7 
   116     2    2P6 3P1 5S1         (3)1( 0.0)   828468.5 
   117     2    2P6 3P1 5S1         (3)1( 1.0)   828944.0 
   118     3    2P6 3P1 5S1         (3)1( 2.0)   831199.6 
   119     3    2P6 3P1 5S1         (1)1( 1.0)   833189.9 
   120     1    2P6 3S1 6D1         (3)2( 1.0)   842845.2 
   121     1    2P6 3S1 6D1         (3)2( 2.0)   842859.3 
   122     1    2P6 3S1 6D1         (3)2( 3.0)   842881.8 
   123     1    2P6 3S1 6D1         (1)2( 2.0)   843535.7 
   124     1    2P6 3S1 6F1         (3)3( 2.0)   849233.8 
   125     1    2P6 3S1 6F1         (3)3( 3.0)   849239.5 
   126     1    2P6 3S1 6F1         (3)3( 4.0)   849247.2 
   127     1    2P6 3S1 6G1         (3)4( 3.0)   850572.1 
   128     1    2P6 3S1 6G1         (3)4( 4.0)   850575.0 
   129     1    2P6 3S1 6G1         (3)4( 5.0)   850578.8 
   130     1    2P6 3S1 6H1         (3)5( 4.0)   850760.4 
   131     1    2P6 3S1 6H1         (3)5( 5.0)   850761.9 
   132     1    2P6 3S1 6H1         (3)5( 6.0)   850764.7 
   133     1    2P6 3S1 6H1         (1)5( 5.0)   850772.1 
