1  9.996E-1 
2  1.807 4.000 
3  3.963E-1 5.559 9.003 
4  6.852E-1 1.338 1.131E+1 1.600E+1 
5  6.099E-1 1.849 2.788 1.907E+1 2.500E+1 
6  8.276E-1 1.792 3.520 4.740 2.882E+1 3.601E+1 
7  1.068 2.176 3.487 5.694 7.195 4.058E+1 4.903E+1 
8  1.001 2.581 4.038 5.689 8.371 1.015E+1 5.434E+1 6.405E+1 
9  1.280 2.570 4.609 6.405 8.393 1.155E+1 1.361E+1 7.011E+1 8.107E+1 
10  1.585 3.010 4.664 7.138 9.275 1.161E+1 1.524E+1 1.757E+1 8.790E+1 1.001E+2
11  3.777E-1 3.476 5.264 7.270 1.017E+1 1.266E+1 1.532E+1 1.942E+1 2.204E+1 1.077E+2 1.212E+2 
12  5.620E-1 1.105 5.890 8.033 1.039E+1 1.371E+1 1.653E+1 1.955E+1 2.412E+1 2.701E+1 1.295E+2 1.443E+2 
13  4.400E-1 1.384 2.091 8.820 1.130E+1 1.400E+1 1.774E+1 2.092E+1 2.426E+1 2.935E+1 3.249E+1 1.533E+2 1.693E+2 
14  5.991E-1 1.202 2.461 3.318 1.226E+1 1.507E+1 1.812E+1 2.228E+1 2.580E+1 2.950E+1 3.499E+1 3.848E+1 1.792E+2 1.965E+2 
15  7.710E-1 1.450 2.220 3.781 4.780 1.620E+1 1.934E+1 2.274E+1 2.732E+1 3.120E+1 3.525E+1 4.119E+1 4.497E+1 2.070E+2 2.256E+2 
16  7.614E-1 1.715 2.560 3.477 5.342 6.471 2.065E+1 2.412E+1 2.786E+1 3.286E+1 3.710E+1 4.150E+1 4.790E+1 5.198E+1 2.370E+2 2.568E+2 
17  9.533E-1 1.750 2.911 3.930 4.985 7.131 8.393 2.560E+1 2.941E+1 3.349E+1 3.890E+1 4.351E+1 4.827E+1 5.511E+1 5.949E+1 2.689E+2 2.900E+2 
18  1.158 2.031 2.994 4.396 5.514 6.689 9.136 1.055E+1 3.105E+1 3.518E+1 3.961E+1 4.544E+1 5.043E+1 5.555E+1 6.283E+1 6.747E+1 3.029E+2 3.253E+2 
19  3.191E-1 2.325 3.367 4.477 6.075 7.309 8.643 1.137E+1 1.292E+1 3.703E+1 4.150E+1 4.627E+1 5.253E+1 5.782E+1 6.329E+1 7.115E+1 7.607E+1 3.389E+2 3.626E+2 
20  4.493E-1 8.724E-1 3.742 4.944 6.211 7.996 9.349 1.082E+1 1.384E+1 1.553E+1 4.350E+1 4.830E+1 5.341E+1 6.010E+1 6.575E+1 7.162E+1 7.989E+1 8.504E+1 3.770E+2 4.020E+2
21  5.396E-1 9.408E-1 1.820 5.401 6.752 8.136 1.014E+1 1.162E+1 1.323E+1 1.654E+1 1.836E+1 5.052E+1 5.562E+1 6.106E+1 6.817E+1 7.416E+1 8.041E+1 8.915E+1 9.466E+1 4.171E+2 4.435E+2 
22  5.012E-1 9.981E-1 2.020 3.180 7.298 8.783 1.035E+1 1.252E+1 1.412E+1 1.587E+1 1.948E+1 2.142E+1 5.790E+1 6.344E+1 6.923E+1 7.673E+1 8.313E+1 8.974E+1 9.893E+1 1.047E+2 4.593E+2 4.870E+2 
23  4.954E-1 1.077 2.154 3.433 4.798 9.415 1.107E+1 1.275E+1 1.513E+1 1.694E+1 1.879E+1 2.264E+1 2.472E+1 6.585E+1 7.172E+1 7.791E+1 8.584E+1 9.261E+1 9.959E+1 1.093E+2 1.154E+2 5.036E+2 5.326E+2 
24  4.974E-1 1.213 2.275 3.613 5.105 6.662 1.177E+1 1.357E+1 1.538E+1 1.796E+1 1.990E+1 2.191E+1 2.608E+1 2.824E+1 7.431E+1 8.063E+1 8.709E+1 9.547E+1 1.026E+2 1.100E+2 1.201E+2 1.265E+2 5.499E+2 5.803E+2 
25  5.464E-1 1.149 2.475 3.763 5.321 7.037 8.768 1.430E+1 1.630E+1 1.825E+1 2.102E+1 2.311E+1 2.525E+1 2.962E+1 3.199E+1 8.327E+1 8.996E+1 9.680E+1 1.056E+2 1.131E+2 1.208E+2 1.314E+2 1.382E+2 5.983E+2 6.300E+2 
