SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496278.1   NPRNTI= 5   NPRNTF= 5
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.1 

   LS RESOLVED TERM INDEXING            BWNR=  63582352.7   NTRM= 821
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    85     1    3S2 3P1 6H1         (3)6(19.0)    83030.6 
    86     1    3S2 3P1 6H1         (1)6( 6.0)    83030.6 
    87     1    3S2 3P1 6G1         (3)5(16.0)    83033.7 
    88     1    3S2 3P1 6H1         (3)4(13.0)    83033.8 
    89     1    3S2 3P1 6H1         (1)4( 4.0)    83033.8 
    90     1    3S2 3P1 6G1         (1)5( 5.0)    83033.9 
    91     1    3S2 3P1 6G1         (1)3( 3.0)    83041.0 
    92     1    3S2 3P1 6G1         (3)3(10.0)    83041.0 
    93     1    3S2 3P1 6F1         (1)4( 4.0)    83042.0 
    94     1    3S2 3P1 6F1         (3)2( 7.0)    83053.3 
    95     1    3S2 3P1 6F1         (1)2( 2.0)    83064.2 
    96     1    3S2 3P1 7D1         (3)1( 4.0)    83113.1 
    97     1    3S2 3P1 7D1         (3)2( 7.0)    83127.8 
    98     1    3S2 3P1 8S1         (3)1( 4.0)    83142.6 
    99     1    3S1 3P3             (1)1( 1.0)    83185.8 
   100     1    3S2 3P1 7D1         (1)2( 2.0)    83225.5 
   101     1    3S2 3P1 7D1         (1)3( 3.0)    83235.7 
   102     1    3S2 3P1 8P1         (1)1( 1.0)    83497.4 
   103     1    3S2 3P1 8P1         (3)2( 7.0)    83545.9 
   104     1    3S2 3P1 8P1         (3)1( 4.0)    83582.5 
   105     1    3S2 3P1 8P1         (3)0( 1.0)    83608.9 
   106     1    3S2 3P1 7D1         (3)3(10.0)    83652.1 
   107     1    3S2 3P1 8P1         (1)2( 2.0)    83668.1 
   108     1    3S2 3P1 7D1         (1)1( 1.0)    83755.8 
   109     1    3S2 3P1 7F1         (1)3( 3.0)    83799.5 
   110     1    3S2 3P1 8P1         (1)0( 0.0)    83802.0 
   111     1    3S2 3P1 7F1         (3)3(10.0)    83802.0 
   112     1    3S2 3P1 7G1         (1)4( 4.0)    83822.0 
   113     1    3S2 3P1 7G1         (3)4(13.0)    83822.0 
   114     1    3S2 3P1 7H1         (1)5( 5.0)    83828.0 
   115     1    3S2 3P1 7H1         (3)5(16.0)    83828.0 
   116     1    3S2 3P1 7I1         (1)6( 6.0)    83830.8 
   117     1    3S2 3P1 7I1         (3)6(19.0)    83830.8 
   118     1    3S2 3P1 7F1         (3)4(13.0)    83834.8 
   119     1    3S2 3P1 7I1         (3)7(22.0)    83836.7 
