SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85995131.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    96     3    3P1 4F1             (3)2( 3.0)   517309.0 
    97     3    3P1 4F1             (3)2( 2.0)   517595.7 
    98     3    3P1 4F1             (3)2( 1.0)   517789.1 
    99     1    3S1 7D1             (3)2( 1.0)   523875.0 
   100     1    3S1 7D1             (3)2( 2.0)   523876.3 
   101     1    3S1 7D1             (3)2( 3.0)   523878.3 
   102     1    3S1 7D1             (1)2( 2.0)   524316.3 
   103     1    3S1 7F1             (3)3( 2.0)   526078.6 
   104     1    3S1 7F1             (3)3( 3.0)   526079.2 
   105     1    3S1 7F1             (3)3( 4.0)   526080.0 
   106     1    3S1 7G1             (3)4( 3.0)   526531.8 
   107     1    3S1 7G1             (3)4( 4.0)   526532.1 
   108     1    3S1 7G1             (3)4( 5.0)   526532.4 
   109     1    3S1 7H1             (3)5( 4.0)   526595.1 
   110     1    3S1 7H1             (3)5( 5.0)   526595.3 
   111     1    3S1 7H1             (3)5( 6.0)   526595.5 
   112     1    3S1 7I1             (3)6( 5.0)   526598.6 
   113     1    3S1 7I1             (3)6( 6.0)   526598.7 
   114     1    3S1 7I1             (3)6( 7.0)   526598.9 
   115     1    3S1 7I1             (1)6( 6.0)   526599.0 
   116     1    3S1 7H1             (1)5( 5.0)   526599.3 
   117     1    3S1 7G1             (1)4( 4.0)   526713.3 
   118     1    3S1 7F1             (1)3( 3.0)   527010.9 
   119     3    3P1 4F1             (1)2( 2.0)   528164.0 
   120     1    3S1 8S1             (3)0( 1.0)   529834.0 
   121     5    3D2                 (1)0( 0.0)   530424.7 
   122     1    3S1 8S1             (1)0( 0.0)   530550.3 
   123     3    3P1 4F1             (1)4( 4.0)   532266.5 
   124     2    3P1 5S1             (3)1( 0.0)   532542.9 
   125     2    3P1 5S1             (3)1( 1.0)   532767.0 
   126     1    3S1 8P1             (3)1( 0.0)   533166.3 
   127     1    3S1 8P1             (3)1( 1.0)   533175.0 
   128     1    3S1 8P1             (3)1( 2.0)   533193.9 
   129     3    3P1 5S1             (3)1( 2.0)   533503.7 
   130     1    3S1 8P1             (1)1( 1.0)   533519.0 
   131     3    3P1 5S1             (1)1( 1.0)   534995.7 
   132     1    3S1 8D1             (3)2( 1.0)   537903.1 
   133     1    3S1 8D1             (3)2( 2.0)   537903.9 
   134     1    3S1 8D1             (3)2( 3.0)   537905.3 
   135     1    3S1 8D1             (1)2( 2.0)   538163.8 
   136     1    3S1 8F1             (3)3( 2.0)   539362.9 
   137     1    3S1 8F1             (3)3( 3.0)   539363.2 
   138     1    3S1 8F1             (3)3( 4.0)   539363.8 
   139     1    3S1 8G1             (3)4( 3.0)   539671.4 
   140     1    3S1 8G1             (3)4( 4.0)   539671.6 
   141     1    3S1 8G1             (3)4( 5.0)   539671.9 
   142     1    3S1 8H1             (3)5( 4.0)   539718.1 
   143     1    3S1 8H1             (3)5( 5.0)   539718.2 
   144     1    3S1 8H1             (3)5( 6.0)   539718.4 
   145     1    3S1 8I1             (3)6( 5.0)   539721.1 
   146     1    3S1 8I1             (3)6( 6.0)   539721.1 
   147     1    3S1 8I1             (3)6( 7.0)   539721.3 
   148     1    3S1 8I1             (1)6( 6.0)   539721.4 
   149     1    3S1 8J1             (3)7( 6.0)   539721.4 
   150     1    3S1 8J1             (3)7( 7.0)   539721.4 
   151     1    3S1 8J1             (3)7( 8.0)   539721.5 
   152     1    3S1 8J1             (1)7( 7.0)   539721.5 
   153     1    3S1 8H1             (1)5( 5.0)   539721.9 
   154     1    3S1 8G1             (1)4( 4.0)   539784.4 
   155     1    3S1 8F1             (1)3( 3.0)   539954.7 
   156     2    3P1 5P1             (1)1( 1.0)   546172.2 
   157     2    3P1 5P1             (3)2( 1.0)   547376.0 
   158     2    3P1 5P1             (3)2( 2.0)   547611.0 
   159     3    3P1 5P1             (3)2( 3.0)   548223.0 
   160     2    3P1 5P1             (3)1( 0.0)   548619.4 
   161     3    3P1 5P1             (3)1( 1.0)   548812.5 
   162     3    3P1 5P1             (3)1( 2.0)   549213.6 
   163     3    3P1 5P1             (3)0( 1.0)   550283.6 
   164     3    3P1 5P1             (1)2( 2.0)   552053.8 
   165     3    3P1 5P1             (1)0( 0.0)   557304.6 
   166     4    3D1 4S1             (3)2( 1.0)   560224.7 
   167     4    3D1 4S1             (3)2( 2.0)   560247.5 
   168     5    3D1 4S1             (3)2( 3.0)   560282.2 
   169     5    3D1 4S1             (1)2( 2.0)   564001.0 
   170     2    3P1 5D1             (1)2( 2.0)   568796.0 
   171     2    3P1 5D1             (3)2( 2.0)   569334.7 
   172     2    3P1 5D1             (3)2( 1.0)   569337.3 
   173     2    3P1 5D1             (3)2( 3.0)   569489.4 
   174     3    3P1 5D1             (3)3( 2.0)   570080.6 
   175     3    3P1 5D1             (3)3( 3.0)   570298.9 
   176     3    3P1 5D1             (3)3( 4.0)   570607.4 
   177     3    3P1 5D1             (3)1( 2.0)   571669.4 
   178     3    3P1 5D1             (3)1( 1.0)   571903.6 
   179     3    3P1 5D1             (3)1( 0.0)   572049.0 
   180     3    3P1 5D1             (1)3( 3.0)   572718.8 
   181     3    3P1 5D1             (1)1( 1.0)   573799.4 
   182     2    3P1 5F1             (1)3( 3.0)   574800.2 
   183     2    3P1 5F1             (3)4( 3.0)   575654.0 
   184     2    3P1 5F1             (3)3( 4.0)   575809.2 
   185     2    3P1 5F1             (3)3( 2.0)   575878.7 
   186     3    3P1 5F1             (3)3( 3.0)   576248.9 
   187     3    3P1 5F1             (3)4( 4.0)   576457.0 
   188     3    3P1 5F1             (3)4( 5.0)   576566.4 
