SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85995587.8   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   104925.8 
     3          3P1                 (2)1( 1.5)   105886.2 
     4          3D1                 (2)2( 1.5)   246131.8*
     5          3D1                 (2)2( 2.5)   246189.3*

   IC RESOLVED LEVEL INDEXING           BWNR=  86268068.1   NLVL= 424
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    82     1    3S1 7S1             (3)0( 1.0)   201377.1 
    83     2    3P1 4F1             (3)3( 2.0)   202475.6 
    84     2    3P1 4F1             (3)3( 3.0)   202476.7 
    85     2    3P1 4F1             (3)3( 4.0)   202589.7 
    86     1    3S1 7S1             (1)0( 0.0)   202767.6 
    87     3    3P1 4F1             (3)4( 3.0)   203430.8 
    88     3    3P1 4F1             (3)4( 4.0)   203711.4 
    89     3    3P1 4F1             (3)4( 5.0)   204028.3 
    90     1    3S1 7P1             (3)1( 0.0)   206898.0 
    91     1    3S1 7P1             (3)1( 1.0)   206905.7 
    92     1    3S1 7P1             (3)1( 2.0)   206923.7 
    93     1    3S1 7P1             (1)1( 1.0)   208425.2 
    94     3    3P1 4F1             (3)2( 3.0)   209212.6 
    95     3    3P1 4F1             (3)2( 2.0)   209492.2 
    96     3    3P1 4F1             (3)2( 1.0)   209700.6 
    97     1    3S1 7G1             (1)4( 4.0)   212609.1 
    98     3    3P1 4F1             (1)4( 4.0)   213213.7 
    99     1    3S1 7D1             (1)2( 2.0)   213658.8 
   100     3    3P1 4F1             (1)2( 2.0)   213888.6 
   101     1    3S1 7D1             (3)2( 3.0)   215067.5 
   102     1    3S1 7D1             (3)2( 2.0)   215172.1 
   103     1    3S1 7D1             (3)2( 1.0)   215257.3 
   104     1    3S1 7F1             (3)3( 2.0)   216116.3 
   105     1    3S1 7F1             (3)3( 3.0)   216117.5 
   106     1    3S1 7F1             (3)3( 4.0)   216119.2 
   107     1    3S1 7H1             (3)5( 4.0)   216490.3 
   108     1    3S1 7H1             (3)5( 5.0)   216490.4 
   109     1    3S1 7H1             (3)5( 6.0)   216490.7 
   110     1    3S1 7I1             (3)6( 5.0)   216491.1 
   111     1    3S1 7I1             (3)6( 6.0)   216491.1 
   112     1    3S1 7I1             (3)6( 7.0)   216491.4 
   113     1    3S1 7I1             (1)6( 6.0)   216491.5 
   114     1    3S1 7H1             (1)5( 5.0)   216491.7 
   115     1    3S1 7F1             (1)3( 3.0)   216803.5 
   116     1    3S1 7G1             (3)4( 3.0)   217677.1 
   117     1    3S1 7G1             (3)4( 4.0)   217707.4 
   118     1    3S1 7G1             (3)4( 5.0)   217748.3 
   119     1    3S1 8S1             (3)0( 1.0)   219743.7 
   120     1    3S1 8S1             (1)0( 0.0)   220495.5 
   121     2    3P1 5S1             (3)1( 0.0)   222368.2 
   122     2    3P1 5S1             (3)1( 1.0)   222606.6 
   123     1    3S1 8P1             (3)1( 0.0)   223147.4 
   124     1    3S1 8P1             (3)1( 1.0)   223156.0 
   125     1    3S1 8P1             (3)1( 2.0)   223174.6 
   126     3    3P1 5S1             (3)1( 2.0)   223323.4 
   127     1    3S1 8P1             (1)1( 1.0)   223644.7 
   128     3    3P1 5S1             (1)1( 1.0)   225143.7 
   129     1    3S1 8D1             (1)2( 2.0)   227875.9 
   130     1    3S1 8D1             (3)2( 3.0)   227942.1 
   131     1    3S1 8D1             (3)2( 2.0)   227942.6 
   132     1    3S1 8D1             (3)2( 1.0)   227942.6 
   133     1    3S1 8F1             (3)3( 2.0)   229336.2 
   134     1    3S1 8F1             (3)3( 3.0)   229336.9 
