SEQ='O '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  27265597.8   NPRNTI= 5   NPRNTF= 9
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    81     3    2S2 2P3 3D1         (1)3( 3.0)   421554.9 
    82     1    2S2 2P3 4D1         (5)2( 0.0)   422414.2 
    83     1    2S2 2P3 4D1         (5)2( 1.0)   422414.6 
    84     1    2S2 2P3 4D1         (5)2( 2.0)   422415.5 
    85     1    2S2 2P3 4D1         (5)2( 3.0)   422416.8 
    86     1    2S2 2P3 4D1         (5)2( 4.0)   422418.5 
    87     1    2S2 2P3 4D1         (3)2( 1.0)   424273.4 
    88     1    2S2 2P3 4D1         (3)2( 2.0)   424277.5 
    89     1    2S2 2P3 4D1         (3)2( 3.0)   424285.1 
    90     1    2S2 2P3 4F1         (5)3( 1.0)   425020.9 
    91     1    2S2 2P3 4F1         (5)3( 2.0)   425021.1 
    92     1    2S2 2P3 4F1         (5)3( 3.0)   425021.5 
    93     1    2S2 2P3 4F1         (5)3( 4.0)   425021.9 
    94     1    2S2 2P3 4F1         (5)3( 5.0)   425022.6 
    95     1    2S2 2P3 4F1         (3)3( 4.0)   425058.8 
    96     1    2S2 2P3 4F1         (3)3( 3.0)   425059.2 
    97     1    2S2 2P3 4F1         (3)3( 2.0)   425059.4 
    98     1    2S2 2P3 5S1         (5)0( 2.0)   432297.0 
    99     1    2S2 2P3 5S1         (3)0( 1.0)   433477.9 
   100     5    2S2 2P3 3D1         (3)3( 4.0)   434822.9 
   101     4    2S2 2P3 3D1         (3)3( 3.0)   434885.1 
   102     4    2S2 2P3 3D1         (3)3( 2.0)   434927.6 
   103     5    2S2 2P3 3D1         (3)1( 0.0)   435425.9 
   104     4    2S2 2P3 3D1         (3)1( 1.0)   435481.0 
   105     4    2S2 2P3 3D1         (3)1( 2.0)   435588.8 
   106     5    2S2 2P3 3D1         (1)2( 2.0)   435902.9 
   107     5    2S2 2P3 3D1         (3)2( 1.0)   436134.2 
   108     5    2S2 2P3 3D1         (3)2( 3.0)   436202.3 
   109     5    2S2 2P3 3D1         (3)2( 2.0)   436204.1 
   110     5    2S2 2P3 3D1         (1)3( 3.0)   437201.4 
   111     1    2S2 2P3 5P1         (5)1( 1.0)   438267.9 
   112     1    2S2 2P3 5P1         (5)1( 2.0)   438272.3 
   113     1    2S2 2P3 5P1         (5)1( 3.0)   438278.9 
   114     2    2S2 2P3 4S1         (3)2( 1.0)   438552.8 
   115     2    2S2 2P3 4S1         (3)2( 2.0)   438563.8 
   116     3    2S2 2P3 4S1         (3)2( 3.0)   438583.5 
   117     3    2S2 2P3 4S1         (1)2( 2.0)   439895.6 
   118     1    2S2 2P3 5P1         (3)1( 0.0)   440053.1 
   119     1    2S2 2P3 5P1         (3)1( 1.0)   440055.1 
   120     1    2S2 2P3 5P1         (3)1( 2.0)   440061.8 
   121     5    2S2 2P3 3D1         (1)1( 1.0)   440238.8 
   122     1    2S2 2P3 5D1         (5)2( 0.0)   445833.5 
   123     1    2S2 2P3 5D1         (5)2( 1.0)   445833.7 
   124     1    2S2 2P3 5D1         (5)2( 2.0)   445834.2 
   125     1    2S2 2P3 5D1         (5)2( 3.0)   445834.8 
   126     1    2S2 2P3 5D1         (5)2( 4.0)   445835.7 
   127     1    2S2 2P3 5D1         (3)2( 1.0)   446847.9 
   128     1    2S2 2P3 5D1         (3)2( 2.0)   446850.2 
   129     1    2S2 2P3 5D1         (3)2( 3.0)   446854.3 
   130     1    2S2 2P3 5F1         (5)3( 1.0)   447253.9 
   131     1    2S2 2P3 5F1         (5)3( 2.0)   447254.0 
   132     1    2S2 2P3 5F1         (5)3( 3.0)   447254.2 
   133     1    2S2 2P3 5F1         (5)3( 4.0)   447254.4 
   134     1    2S2 2P3 5F1         (5)3( 5.0)   447254.7 
   135     1    2S2 2P3 5F1         (3)3( 4.0)   447283.3 
   136     1    2S2 2P3 5F1         (3)3( 3.0)   447283.4 
   137     1    2S2 2P3 5F1         (3)3( 2.0)   447283.5 
   138     1    2S2 2P3 5G1         (5)4( 2.0)   447293.6 
   139     1    2S2 2P3 5G1         (5)4( 3.0)   447293.7 
   140     1    2S2 2P3 5G1         (5)4( 4.0)   447293.7 
   141     1    2S2 2P3 5G1         (5)4( 5.0)   447293.8 
   142     1    2S2 2P3 5G1         (5)4( 6.0)   447294.1 
   143     1    2S2 2P3 5G1         (3)4( 5.0)   447294.3 
   144     1    2S2 2P3 5G1         (3)4( 4.0)   447294.3 
   145     1    2S2 2P3 5G1         (3)4( 3.0)   447294.4 
   146     2    2S2 2P3 4P1         (3)2( 1.0)   450900.1 
   147     2    2S2 2P3 4P1         (3)2( 2.0)   450962.0 
   148     2    2S2 2P3 4P1         (3)2( 3.0)   451005.6 
   149     1    2S2 2P3 6S1         (5)0( 2.0)   451090.6 
   150     2    2S2 2P3 4P1         (1)1( 1.0)   451095.6 
   151     2    2S2 2P3 4P1         (3)3( 2.0)   451309.7 
   152     3    2S2 2P3 4P1         (3)3( 3.0)   451331.1 
   153     3    2S2 2P3 4P1         (3)3( 4.0)   451358.6 
   154     1    2S2 2P3 6S1         (3)0( 1.0)   451717.2 
   155     3    2S2 2P3 4P1         (1)3( 3.0)   451771.1 
   156     1    2S2 2P3 6P1         (5)1( 1.0)   454318.0 
   157     1    2S2 2P3 6P1         (5)1( 2.0)   454320.5 
   158     1    2S2 2P3 6P1         (5)1( 3.0)   454324.2 
   159     2    2S2 2P3 4P1         (3)1( 0.0)   454456.6 
   160     3    2S2 2P3 4P1         (3)1( 1.0)   454470.9 
   161     3    2S2 2P3 4P1         (3)1( 2.0)   454508.5 
   162     1    2S2 2P3 6P1         (3)1( 0.0)   455308.1 
   163     1    2S2 2P3 6P1         (3)1( 1.0)   455309.2 
   164     1    2S2 2P3 6P1         (3)1( 2.0)   455312.9 
   165     4    2S2 2P3 4S1         (3)1( 0.0)   456535.7 
   166     4    2S2 2P3 4S1         (3)1( 1.0)   456539.8 
   167     5    2S2 2P3 4S1         (3)1( 2.0)   456548.8 
   168     3    2S2 2P3 4P1         (1)2( 2.0)   457792.7 
   169     5    2S2 2P3 4S1         (1)1( 1.0)   458099.2 
   170     1    2S2 2P3 6D1         (5)2( 0.0)   458492.2 
   171     1    2S2 2P3 6D1         (5)2( 1.0)   458492.3 
   172     1    2S2 2P3 6D1         (5)2( 2.0)   458492.6 
   173     1    2S2 2P3 6D1         (5)2( 3.0)   458493.0 
   174     1    2S2 2P3 6D1         (5)2( 4.0)   458493.5 
   175     1    2S2 2P3 6D1         (3)2( 1.0)   459095.7 
   176     1    2S2 2P3 6D1         (3)2( 2.0)   459097.0 
   177     1    2S2 2P3 6D1         (3)2( 3.0)   459099.5 
   178     1    2S2 2P3 6F1         (5)3( 1.0)   459337.5 
   179     1    2S2 2P3 6F1         (5)3( 2.0)   459337.5 
   180     1    2S2 2P3 6F1         (5)3( 3.0)   459337.6 
   181     1    2S2 2P3 6F1         (5)3( 4.0)   459337.8 
   182     1    2S2 2P3 6F1         (5)3( 5.0)   459338.0 
   183     1    2S2 2P3 6F1         (3)3( 4.0)   459357.7 
   184     1    2S2 2P3 6F1         (3)3( 3.0)   459357.8 
   185     1    2S2 2P3 6F1         (3)3( 2.0)   459357.8 
   186     1    2S2 2P3 6G1         (5)4( 2.0)   459364.9 
   187     1    2S2 2P3 6G1         (5)4( 3.0)   459364.9 
   188     1    2S2 2P3 6G1         (5)4( 4.0)   459365.0 
   189     1    2S2 2P3 6G1         (5)4( 5.0)   459365.0 
   190     1    2S2 2P3 6G1         (5)4( 6.0)   459365.2 
   191     1    2S2 2P3 6G1         (3)4( 5.0)   459365.4 
   192     1    2S2 2P3 6G1         (3)4( 4.0)   459365.4 
   193     1    2S2 2P3 6H1         (5)5( 3.0)   459365.4 
   194     1    2S2 2P3 6H1         (5)5( 4.0)   459365.4 
   195     1    2S2 2P3 6H1         (5)5( 5.0)   459365.5 
   196     1    2S2 2P3 6H1         (3)5( 6.0)   459365.5 
   197     1    2S2 2P3 6G1         (3)4( 3.0)   459365.5 
   198     1    2S2 2P3 6H1         (5)5( 7.0)   459365.6 
   199     1    2S2 2P3 6H1         (5)5( 6.0)   459365.6 
   200     1    2S2 2P3 6H1         (3)5( 5.0)   459365.6 
   201     1    2S2 2P3 6H1         (3)5( 4.0)   459365.6 
   202     1    2S2 2P3 7S1         (5)0( 2.0)   461599.1 
   203     1    2S2 2P3 7S1         (3)0( 1.0)   461971.1 
   204     1    2S2 2P3 7P1         (5)1( 1.0)   463537.3 
   205     1    2S2 2P3 7P1         (5)1( 2.0)   463538.8 
   206     1    2S2 2P3 7P1         (5)1( 3.0)   463541.1 
   207     1    2S2 2P3 7P1         (3)1( 0.0)   464141.2 
   208     1    2S2 2P3 7P1         (3)1( 1.0)   464141.8 
   209     1    2S2 2P3 7P1         (3)1( 2.0)   464144.1 
   210     1    2S2 2P3 7D1         (5)2( 0.0)   466084.4 
   211     1    2S2 2P3 7D1         (5)2( 1.0)   466084.4 
   212     1    2S2 2P3 7D1         (5)2( 2.0)   466084.6 
   213     1    2S2 2P3 7D1         (5)2( 3.0)   466084.9 
   214     1    2S2 2P3 7D1         (5)2( 4.0)   466085.2 
   215     1    2S2 2P3 7D1         (3)2( 1.0)   466469.8 
   216     1    2S2 2P3 7D1         (3)2( 2.0)   466470.7 
   217     1    2S2 2P3 7D1         (3)2( 3.0)   466472.2 
   218     1    2S2 2P3 7F1         (5)3( 1.0)   466624.6 
   219     1    2S2 2P3 7F1         (5)3( 2.0)   466624.6 
   220     1    2S2 2P3 7F1         (5)3( 3.0)   466624.7 
   221     1    2S2 2P3 7F1         (5)3( 4.0)   466624.8 
   222     1    2S2 2P3 7F1         (5)3( 5.0)   466624.9 
   223     1    2S2 2P3 7F1         (3)3( 4.0)   466638.6 
   224     1    2S2 2P3 7F1         (3)3( 3.0)   466638.6 
   225     1    2S2 2P3 7F1         (3)3( 2.0)   466638.6 
   226     1    2S2 2P3 7G1         (5)4( 2.0)   466643.6 
   227     1    2S2 2P3 7G1         (5)4( 3.0)   466643.6 
   228     1    2S2 2P3 7G1         (5)4( 4.0)   466643.6 
   229     1    2S2 2P3 7G1         (5)4( 5.0)   466643.7 
   230     1    2S2 2P3 7G1         (5)4( 6.0)   466643.8 
   231     1    2S2 2P3 7G1         (3)4( 5.0)   466643.9 
   232     1    2S2 2P3 7G1         (3)4( 4.0)   466644.0 
   233     1    2S2 2P3 7G1         (3)4( 3.0)   466644.0 
   234     1    2S2 2P3 7H1         (5)5( 3.0)   466644.0 
   235     1    2S2 2P3 7H1         (5)5( 4.0)   466644.0 
   236     1    2S2 2P3 7H1         (5)5( 5.0)   466644.0 
   237     1    2S2 2P3 7H1         (3)5( 6.0)   466644.0 
   238     1    2S2 2P3 7I1         (5)6( 6.0)   466644.1 
   239     1    2S2 2P3 7I1         (5)6( 5.0)   466644.1 
   240     1    2S2 2P3 7I1         (3)6( 7.0)   466644.1 
   241     1    2S2 2P3 7I1         (5)6( 4.0)   466644.1 
   242     1    2S2 2P3 7H1         (5)5( 7.0)   466644.1 
   243     1    2S2 2P3 7H1         (5)5( 6.0)   466644.1 
   244     1    2S2 2P3 7H1         (3)5( 5.0)   466644.1 
   245     1    2S2 2P3 7H1         (3)5( 4.0)   466644.1 
   246     1    2S2 2P3 7I1         (5)6( 7.0)   466644.2 
   247     1    2S2 2P3 7I1         (3)6( 6.0)   466644.2 
   248     1    2S2 2P3 7I1         (5)6( 8.0)   466644.2 
   249     1    2S2 2P3 7I1         (3)6( 5.0)   466644.2 
   250     2    2S2 2P3 4D1         (1)0( 0.0)   466906.5 
   251     2    2S2 2P3 4D1         (3)3( 2.0)   466908.0 
   252     2    2S2 2P3 4D1         (3)3( 3.0)   466941.9 
   253     2    2S2 2P3 4D1         (3)3( 4.0)   466986.6 
   254     2    2S2 2P3 4D1         (3)4( 3.0)   467162.6 
   255     3    2S2 2P3 4D1         (3)4( 4.0)   467176.4 
   256     3    2S2 2P3 4D1         (3)4( 5.0)   467193.7 
   257     3    2S2 2P3 4D1         (1)4( 4.0)   467361.8 
   258     3    2S2 2P3 4D1         (3)2( 3.0)   467549.7 
