SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113539305.5   NPRNTI= 4   NPRNTF=18
   ---------------------
   INDP         CODE                 S L   WI        WNP
    68     2    2P6 3S1 3P1 4P1     (4)2( 1.5)   486387.0 
    69     3    2P6 3S1 3P1 4P1     (4)2( 2.5)   487255.9 
    70     3    2P6 3S1 3P1 4P1     (2)1( 0.5)   487723.0 
    71     6    2P6 3P2 3D1         (2)2( 2.5)   487986.6 
    72     3    2P6 3S1 3P1 4P1     (2)1( 1.5)   488079.9 
    73     6    2P6 3P2 3D1         (2)2( 1.5)   488141.8 
    74     4    2P6 3S1 3P1 4P1     (4)2( 3.5)   488397.5 
    75     3    2P6 3S1 3P1 4P1     (4)1( 0.5)   490948.5 
    76     3    2P6 3S1 3P1 4P1     (4)1( 1.5)   491343.1 
    77     4    2P6 3S1 3P1 4P1     (4)1( 2.5)   492223.2 
    78     6    2P6 3P2 3D1         (4)1( 2.5)   493342.3 
    79     6    2P6 3P2 3D1         (4)1( 1.5)   493708.6 
    80     6    2P6 3P2 3D1         (4)1( 0.5)   493930.9 
    81     4    2P6 3S1 3P1 4P1     (4)0( 1.5)   494068.5 
    82     1    2P6 3S2 5S1         (2)0( 0.5)   495728.8 
    83     4    2P6 3S1 3P1 4P1     (2)2( 1.5)   498975.0 
    84     4    2P6 3S1 3P1 4P1     (2)2( 2.5)   500243.3 
    85     5    2P6 3S1 3P1 4S1     (2)1( 0.5)   505682.0 
    86     5    2P6 3S1 3P1 4S1     (2)1( 1.5)   505816.8 
    87     6    2P6 3P2 3D1         (2)1( 0.5)   509200.0 
    88     6    2P6 3P2 3D1         (2)0( 0.5)   509727.4 
    89     6    2P6 3P2 3D1         (2)1( 1.5)   509863.3 
    90     4    2P6 3S1 3P1 4P1     (2)0( 0.5)   510243.9 
    91     6    2P6 3P2 3D1         (2)2( 1.5)   516854.7 
    92     1    2P6 3S2 5P1         (2)1( 0.5)   516944.0 
    93     1    2P6 3S2 5P1         (2)1( 1.5)   517198.4 
    94     6    2P6 3P2 3D1         (2)2( 2.5)   518361.1 
    95     6    2P6 3P2 3D1         (2)3( 2.5)   525663.5 
