 65     5 2s.2p(3P).3p    4  2 D  3.5  8          0.000       0.000000    2064389.250      18.812099     J1 
 66     7 2p2(3P).3d      4  3 F  3.5  8          0.000       0.000000    2406297.750      21.927799     J2 
 67     7 2p2(3P).3d      4  2 D  3.5  8          0.000       0.000000    2421035.500      22.062099     J3 
 68     7 2p2(3P).3d      2  3 F  3.5  8          0.000       0.000000    2433150.500      22.172501     J4 
 69     7 2p2(1D).3d      2  4 G  3.5  8          0.000       0.000000    2475761.500      22.560801     J5 
 70     7 2p2(1D).3d      2  3 F  3.5  8          0.000       0.000000    2497709.000      22.760799     J6 
 71     7 2p2(3P).3d      4  3 F  4.5 10          0.000       0.000000    2408953.500      21.952000     K1 
 72     7 2p2(1D).3d      2  4 G  4.5 10          0.000       0.000000    2476255.250      22.565300     K2 
 73     9 2s2(1S).3p      2  1 P  0.5  2          0.000       0.000000    1891498.125      17.236601     L1 
 74    10 2s.2p(3P).3s    4  1 P  0.5  2    1992830.000      18.160004    1981943.625      18.060801     L2 
 75    10 2s.2p(3P).3s    2  1 P  0.5  2    2031060.000      18.508381    2021185.750      18.418400     L3 
 76    11 2s.2p(3P).3d    4  2 D  0.5  2    2150900.000      19.600445    2140766.500      19.508101     L4 
 77    11 2s.2p(3P).3d    4  1 P  0.5  2          0.000       0.000000    2151926.750      19.609800     L5 
 78    10 2s.2p(1P).3s    2  1 P  0.5  2          0.000       0.000000    2158620.750      19.670799     L6 
 79    11 2s.2p(3P).3d    2  1 P  0.5  2    2201790.000      20.064186    2193275.750      19.986601     L7 
 80    11 2s.2p(1P).3d    2  1 P  0.5  2          0.000       0.000000    2328625.750      21.219999     L8 
 81    12 2p2(3P).3p      2  0 S  0.5  2          0.000       0.000000    2331062.000      21.242201     L9 
 82    12 2p2(3P).3p      4  2 D  0.5  2          0.000       0.000000    2341465.000      21.337000     L10
 83    12 2p2(3P).3p      4  1 P  0.5  2          0.000       0.000000    2353305.750      21.444901     L11
 84    12 2p2(3P).3p      2  1 P  0.5  2          0.000       0.000000    2385513.500      21.738400     L12
 85    12 2p2(1D).3p      2  1 P  0.5  2          0.000       0.000000    2453858.000      22.361200     L13
 86    12 2p2(1S).3p      2  1 P  0.5  2          0.000       0.000000    2539519.000      23.141800     L14
 87     9 2s2(1S).3p      2  1 P  1.5  4          0.000       0.000000    1893495.375      17.254801     M1 
 88    10 2s.2p(3P).3s    4  1 P  1.5  4    1995140.000      18.181053    1984248.125      18.081800     M2 
 89    10 2s.2p(3P).3s    2  1 P  1.5  4    2035860.000      18.552122    2025915.375      18.461500     M3 
 90    11 2s.2p(3P).3d    4  3 F  1.5  4          0.000       0.000000    2122473.250      19.341400     M4 
 91    11 2s.2p(3P).3d    4  2 D  1.5  4          0.000       0.000000    2140931.000      19.509600     M5 
 92    11 2s.2p(3P).3d    2  2 D  1.5  4    2153700.000      19.625959    2143312.250      19.531300     M6 
 93    11 2s.2p(3P).3d    4  1 P  1.5  4    2162100.000      19.702505    2151136.750      19.602600     M7 
 94    10 2s.2p(1P).3s    2  1 P  1.5  4    2158330.000      19.668152    2158686.500      19.671400     M8 
 95    11 2s.2p(3P).3d    2  1 P  1.5  4    2199210.000      20.040676    2190883.500      19.964800     M9 
 96    11 2s.2p(1P).3d    2  2 D  1.5  4    2310530.000      21.055099    2313679.500      21.083799     M10
 97    11 2s.2p(1P).3d    2  1 P  1.5  4          0.000       0.000000    2329130.500      21.224600     M11
 98    12 2p2(3P).3p      4  2 D  1.5  4          0.000       0.000000    2343001.250      21.351000     M12
 99    12 2p2(3P).3p      4  1 P  1.5  4          0.000       0.000000    2354205.500      21.453100     M13
100    12 2p2(3P).3p      2  2 D  1.5  4          0.000       0.000000    2364422.000      21.546200     M14
101    12 2p2(3P).3p      4  0 S  1.5  4          0.000       0.000000    2381003.500      21.697300     M15
102    12 2p2(3P).3p      2  1 P  1.5  4          0.000       0.000000    2385052.750      21.734200     M16
103    12 2p2(1D).3p      2  2 D  1.5  4          0.000       0.000000    2434588.000      22.185600     M17
104    12 2p2(1D).3p      2  1 P  1.5  4          0.000       0.000000    2456634.250      22.386499     M18
105    12 2p2(1S).3p      2  1 P  1.5  4          0.000       0.000000    2540265.250      23.148600     M19
106    10 2s.2p(3P).3s    4  1 P  2.5  6    1999580.000      18.221514    1988538.875      18.120899     N1 
107    11 2s.2p(3P).3d    4  3 F  2.5  6          0.000       0.000000    2123899.750      19.354401     N2 
108    11 2s.2p(3P).3d    4  2 D  2.5  6    2151360.000      19.604635    2141304.250      19.513000     N3 
109    11 2s.2p(3P).3d    2  2 D  2.5  6    2154480.000      19.633066    2144157.250      19.539000     N4 
110    11 2s.2p(3P).3d    4  1 P  2.5  6    2160920.000      19.691753    2150006.250      19.592300     N5 
111    11 2s.2p(3P).3d    2  3 F  2.5  6    2188590.000      19.943899    2184025.000      19.902300     N6 
112    11 2s.2p(1P).3d    2  3 F  2.5  6    2299900.000      20.958233    2306579.500      21.019100     N7 
113    11 2s.2p(1P).3d    2  2 D  2.5  6    2311390.000      21.062937    2314360.000      21.090000     N8 
114    12 2p2(3P).3p      4  2 D  2.5  6          0.000       0.000000    2345569.250      21.374399     N9 
115    12 2p2(3P).3p      4  1 P  2.5  6          0.000       0.000000    2356422.250      21.473301     N10
116    12 2p2(3P).3p      2  2 D  2.5  6          0.000       0.000000    2369261.500      21.590300     N11
