SEQ='B '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15009114.0   NPRNTI= 4   NPRNTF= 9
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    76     5    1S2 2S1 2P1 3P1     (2)1( 0.5)   550876.5 
    77     5    1S2 2S1 2P1 3P1     (2)1( 1.5)   550980.4 
    78     1    1S2 2S2 6S1         (2)0( 0.5)   551924.7 
    79     2    1S2 2S1 2P1 4S1     (4)1( 0.5)   553223.9 
    80     3    1S2 2S1 2P1 4S1     (4)1( 1.5)   553423.2 
    81     4    1S2 2S1 2P1 4S1     (4)1( 2.5)   553765.4 
    82     5    1S2 2S1 2P1 3P1     (2)0( 0.5)   554779.6 
    83     1    1S2 2S2 6P1         (2)1( 0.5)   555287.6 
    84     1    1S2 2S2 6P1         (2)1( 1.5)   555302.4 
    85     1    1S2 2S2 6D1         (2)2( 1.5)   558054.1 
    86     1    1S2 2S2 6D1         (2)2( 2.5)   558057.1 
    87     3    1S2 2S1 2P1 4S1     (2)1( 0.5)   558688.2 
    88     1    1S2 2S2 6F1         (2)3( 2.5)   558976.9 
    89     1    1S2 2S2 6F1         (2)3( 3.5)   558978.1 
    90     1    1S2 2S2 6G1         (2)4( 3.5)   559062.8 
    91     1    1S2 2S2 6G1         (2)4( 4.5)   559063.5 
    92     1    1S2 2S2 6H1         (2)5( 4.5)   559065.9 
    93     1    1S2 2S2 6H1         (2)5( 5.5)   559066.3 
    94     4    1S2 2S1 2P1 4S1     (2)1( 1.5)   559085.5 
    95     6    1S2 2P2 3S1         (4)1( 0.5)   560986.4 
    96     7    1S2 2P2 3S1         (4)1( 1.5)   561189.4 
    97     8    1S2 2P2 3S1         (4)1( 2.5)   561526.1 
    98     2    1S2 2S1 2P1 4P1     (4)2( 0.5)   564334.4 
    99     2    1S2 2S1 2P1 4P1     (4)2( 1.5)   564446.4 
   100     3    1S2 2S1 2P1 4P1     (4)2( 2.5)   564632.5 
   101     4    1S2 2S1 2P1 4P1     (4)2( 3.5)   564896.2 
   102     3    1S2 2S1 2P1 4P1     (2)1( 0.5)   565901.8 
   103     3    1S2 2S1 2P1 4P1     (2)1( 1.5)   566034.9 
   104     3    1S2 2S1 2P1 4P1     (4)0( 1.5)   566448.9 
   105     1    1S2 2S2 7S1         (2)0( 0.5)   567589.0 
   106     3    1S2 2S1 2P1 4P1     (4)1( 0.5)   568178.6 
   107     4    1S2 2S1 2P1 4P1     (4)1( 1.5)   568315.5 
   108     4    1S2 2S1 2P1 4P1     (4)1( 2.5)   568475.7 
   109     1    1S2 2S2 7P1         (2)1( 0.5)   569656.0 
   110     1    1S2 2S2 7P1         (2)1( 1.5)   569665.1 
   111     4    1S2 2S1 2P1 4P1     (2)2( 1.5)   570838.1 
   112     4    1S2 2S1 2P1 4P1     (2)2( 2.5)   571174.1 
   113     1    1S2 2S2 7D1         (2)2( 1.5)   571362.5 
   114     1    1S2 2S2 7D1         (2)2( 2.5)   571364.4 
   115     1    1S2 2S2 7F1         (2)3( 2.5)   571944.8 
   116     1    1S2 2S2 7F1         (2)3( 3.5)   571945.5 
   117     1    1S2 2S2 7G1         (2)4( 3.5)   572003.1 
   118     1    1S2 2S2 7G1         (2)4( 4.5)   572003.6 
   119     1    1S2 2S2 7H1         (2)5( 4.5)   572005.6 
   120     1    1S2 2S2 7H1         (2)5( 5.5)   572005.9 
   121     7    1S2 2P2 3S1         (2)1( 0.5)   572340.2 
   122     8    1S2 2P2 3S1         (2)1( 1.5)   572743.4 
   123     5    1S2 2S1 2P1 3D1     (2)3( 3.5)   573796.3 
   124     5    1S2 2S1 2P1 3D1     (2)3( 2.5)   573803.3 
   125     2    1S2 2S1 2P1 4D1     (4)3( 1.5)   573872.7 
   126     5    1S2 2S1 2P1 3D1     (2)2( 1.5)   573922.7 
   127     5    1S2 2S1 2P1 3D1     (2)2( 2.5)   573957.7 
   128     2    1S2 2S1 2P1 4D1     (4)3( 2.5)   573982.7 
   129     3    1S2 2S1 2P1 4D1     (4)3( 3.5)   574143.4 
   130     4    1S2 2S1 2P1 4D1     (4)3( 4.5)   574363.7 
   131     4    1S2 2S1 2P1 4P1     (2)0( 0.5)   574956.6 
   132     3    1S2 2S1 2P1 4D1     (4)2( 0.5)   576227.3 
   133     3    1S2 2S1 2P1 4D1     (4)2( 1.5)   576241.9 
   134     3    1S2 2S1 2P1 4D1     (4)2( 2.5)   576280.3 
   135     4    1S2 2S1 2P1 4D1     (4)2( 3.5)   576428.4 
   136     3    1S2 2S1 2P1 4D1     (4)1( 2.5)   577016.2 
   137     3    1S2 2S1 2P1 4D1     (4)1( 1.5)   577168.6 
   138     4    1S2 2S1 2P1 4D1     (4)1( 0.5)   577247.4 
   139     4    1S2 2S1 2P1 4D1     (2)2( 1.5)   577417.1 
