SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63496462.9   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    80     2    3S2 3P1 6P1         (3)2( 3.0)    81124.3 
    81     2    3S2 3P1 6P1         (3)1( 2.0)    81190.8 
    82     2    3S2 3P1 5D1         (3)3( 4.0)    81196.0 
    83     2    3S2 3P1 6P1         (3)0( 1.0)    81288.4 
    84     2    3S2 3P1 6P1         (1)2( 2.0)    81415.1 
    85     2    3S2 3P1 4D1         (1)1( 1.0)    81483.1 
    86     2    3S2 3P1 5D1         (3)1( 2.0)    81512.4 
    87     1    3S2 3P1 5D1         (3)2( 1.0)    81515.8 
    88     2    3S2 3P1 4D1         (1)3( 3.0)    81548.4 
    89     1    3S2 3P1 5G1         (1)*( 3.0)    81617.9 
    90     1    3S2 3P1 5G1         (1)*( 4.0)    81617.9 
    91     1    3S2 3P1 5G1         (1)*( 4.0)    81617.9 
    92     1    3S2 3P1 5G1         (1)*( 5.0)    81617.9 
    93     1    3S2 3P1 5F1         (1)3( 3.0)    81663.4 
    94     2    3S2 3P1 5D1         (3)2( 3.0)    81667.7 
    95     1    3S2 3P1 5F1         (3)4( 3.0)    81668.2 
    96     1    3S2 3P1 5F1         (3)3( 2.0)    81668.6 
    97     1    3S2 3P1 5F1         (3)4( 4.0)    81675.4 
    98     2    3S2 3P1 5D1         (3)2( 2.0)    81708.5 
    99     2    3S2 3P1 5D1         (3)1( 0.0)    81714.7 
   100     2    3S2 3P1 5D1         (3)1( 1.0)    81716.3 
   101     2    3S2 3P1 6P1         (1)0( 0.0)    81825.4 
   102     2    3S2 3P1 5G1         (1)*( 2.0)    81896.4 
   103     2    3S2 3P1 5G1         (1)*( 3.0)    81896.4 
   104     2    3S2 3P1 5G1         (1)*( 4.0)    81896.4 
   105     2    3S2 3P1 5G1         (1)*( 5.0)    81896.4 
   106     2    3S2 3P1 5G1         (1)*( 3.0)    81896.4 
   107     2    3S2 3P1 5G1         (1)*( 4.0)    81896.4 
   108     2    3S2 3P1 5G1         (1)*( 5.0)    81896.4 
   109     2    3S2 3P1 5G1         (1)*( 6.0)    81896.4 
   110     1    3S2 3P1 7S1         (3)1( 0.0)    81908.9 
   111     2    3S2 3P1 5F1         (3)3( 3.0)    81912.9 
   112     2    3S2 3P1 5F1         (3)3( 4.0)    81918.8 
   113     1    3S2 3P1 7S1         (3)1( 1.0)    81942.9 
   114     2    3S2 3P1 5F1         (3)2( 3.0)    81960.5 
   115     2    3S2 3P1 5F1         (1)2( 2.0)    81966.6 
   116     2    3S2 3P1 5F1         (3)4( 5.0)    81976.8 
   117     2    3S2 3P1 5F1         (1)4( 4.0)    81992.0 
   118     2    3S2 3P1 5F1         (3)2( 1.0)    82019.9 
   119     2    3S2 3P1 5F1         (3)2( 2.0)    82026.2 
   120     2    3S2 3P1 7S1         (3)1( 2.0)    82187.4 
   121     2    3S2 3P1 7S1         (1)1( 1.0)    82295.0 
   122     2    3S2 3P1 5D1         (1)3( 3.0)    82496.4 
   123     2    3S2 3P1 5D1         (1)1( 1.0)    82497.3 
   124     1    3S2 3P1 7P1         (3)2( 1.0)    82535.5 
   125     1    3S2 3P1 7P1         (3)1( 1.0)    82594.1 
   126     1    3S2 3P1 6D1         (3)3( 2.0)    82595.1 
   127     1    3S2 3P1 7P1         (3)2( 2.0)    82608.8 
   128     1    3S2 3P1 7P1         (3)1( 0.0)    82662.5 
   129     1    3S2 3P1 6D1         (3)3( 3.0)    82704.7 
   130     1    3S2 3P1 6D1         (1)2( 2.0)    82740.1 
   131     2    3S2 3P1 7P1         (1)1( 1.0)    82810.8 
   132     2    3S2 3P1 7P1         (3)2( 3.0)    82837.8 
   133     2    3S2 3P1 6D1         (3)3( 4.0)    82871.5 
   134     2    3S2 3P1 7P1         (3)1( 2.0)    82872.8 
   135     1    3S2 3P1 6D1         (3)2( 1.0)    82907.1 
   136     2    3S2 3P1 7P1         (3)0( 1.0)    82921.3 
   137     2    3S2 3P1 6D1         (3)1( 2.0)    82962.5 
   138     2    3S2 3P1 7P1         (1)2( 2.0)    82984.7 
   139     1    3S2 3P1 6G1         (1)*( 3.0)    82988.2 
   140     1    3S2 3P1 6G1         (1)*( 4.0)    82988.2 
   141     1    3S2 3P1 6G1         (1)*( 4.0)    82988.2 
   142     1    3S2 3P1 6G1         (1)*( 5.0)    82988.2 
   143     1    3S2 3P1 6H1         (1)*( 4.0)    83007.5 
   144     1    3S2 3P1 6H1         (1)*( 5.0)    83007.5 
   145     1    3S2 3P1 6H1         (1)*( 5.0)    83007.5 
   146     1    3S2 3P1 6H1         (1)*( 6.0)    83007.5 
   147     1    3S2 3P1 6F1         (3)4( 3.0)    83016.7 
   148     1    3S2 3P1 6F1         (3)3( 3.0)    83018.8 
   149     1    3S2 3P1 6F1         (3)3( 2.0)    83021.7 
   150     1    3S2 3P1 6F1         (3)4( 4.0)    83023.3 
   151     2    3S2 3P1 6D1         (3)2( 3.0)    83078.5 
   152     2    3S2 3P1 6D1         (3)2( 2.0)    83117.7 
   153     2    3S2 3P1 6D1         (3)1( 1.0)    83126.6 
   154     2    3S2 3P1 6D1         (3)1( 0.0)    83127.8 
   155     1    3S2 3P1 8S1         (3)1( 0.0)    83159.6 
   156     1    3S2 3P1 8S1         (3)1( 1.0)    83181.9 
   157     2    3S2 3P1 7P1         (1)0( 0.0)    83193.2 
   158     2    3S2 3P1 6G1         (1)*( 2.0)    83266.7 
   159     2    3S2 3P1 6G1         (1)*( 3.0)    83266.7 
   160     2    3S2 3P1 6G1         (1)*( 4.0)    83266.7 
   161     2    3S2 3P1 6G1         (1)*( 5.0)    83266.7 
   162     2    3S2 3P1 6G1         (1)*( 3.0)    83266.7 
   163     2    3S2 3P1 6G1         (1)*( 4.0)    83266.7 
   164     2    3S2 3P1 6G1         (1)*( 5.0)    83266.7 
   165     2    3S2 3P1 6G1         (1)*( 6.0)    83266.7 
   166     2    3S2 3P1 6F1         (1)3( 3.0)    83273.3 
   167     2    3S2 3P1 6F1         (3)3( 4.0)    83277.1 
   168     2    3S2 3P1 6H1         (1)*( 3.0)    83286.0 
   169     2    3S2 3P1 6H1         (1)*( 4.0)    83286.0 
   170     2    3S2 3P1 6H1         (1)*( 5.0)    83286.0 
   171     2    3S2 3P1 6H1         (1)*( 6.0)    83286.0 
   172     2    3S2 3P1 6H1         (1)*( 4.0)    83286.0 
   173     2    3S2 3P1 6H1         (1)*( 5.0)    83286.0 
   174     2    3S2 3P1 6H1         (1)*( 6.0)    83286.0 
   175     2    3S2 3P1 6H1         (1)*( 7.0)    83286.0 
   176     2    3S2 3P1 6F1         (3)2( 3.0)    83299.1 
   177     2    3S2 3P1 6F1         (1)2( 2.0)    83303.0 
   178     2    3S2 3P1 6F1         (3)4( 5.0)    83311.5 
   179     2    3S2 3P1 6F1         (1)4( 4.0)    83322.0 
   180     2    3S2 3P1 6F1         (3)2( 1.0)    83337.3 
   181     2    3S2 3P1 6F1         (3)2( 2.0)    83341.7 
   182     2    3S2 3P1 8S1         (3)1( 2.0)    83438.2 
   183     2    3S2 3P1 6D1         (1)3( 3.0)    83481.6 
   184     2    3S2 3P1 6D1         (1)1( 1.0)    83491.1 
   185     2    3S2 3P1 8S1         (1)1( 1.0)    83496.9 
   186     1    3S2 3P1 8P1         (3)2( 1.0)    83536.3 
   187     1    3S2 3P1 7D1         (3)3( 2.0)    83568.6 
   188     1    3S2 3P1 8P1         (3)1( 1.0)    83572.3 
   189     1    3S2 3P1 8P1         (3)2( 2.0)    83582.5 
   190     1    3S2 3P1 8P1         (3)1( 0.0)    83620.9 
   191     1    3S2 3P1 7D1         (3)3( 3.0)    83655.4 
   192     1    3S2 3P1 7D1         (3)1( 2.0)    83668.4 
   193     1    3S2 3P1 7D1         (3)2( 1.0)    83757.3 
   194  9999    3S1 3P3             (1)1( 1.0)    83758.4 
   195     2    3S2 3P1 8P1         (1)1( 1.0)    83807.5 
   196     1    3S2 3P1 7G1         (1)*( 3.0)    83811.6 
   197     1    3S2 3P1 7G1         (1)*( 4.0)    83811.6 
   198     1    3S2 3P1 7G1         (1)*( 4.0)    83811.6 
   199     1    3S2 3P1 7G1         (1)*( 5.0)    83811.6 
   200     1    3S2 3P1 7H1         (1)*( 4.0)    83823.8 
   201     1    3S2 3P1 7H1         (1)*( 5.0)    83823.8 
   202     1    3S2 3P1 7H1         (1)*( 5.0)    83823.8 
   203     1    3S2 3P1 7H1         (1)*( 6.0)    83823.8 
   204     2    3S2 3P1 8P1         (3)2( 3.0)    83827.1 
   205     1    3S2 3P1 7I1         (1)*( 5.0)    83829.2 
   206     1    3S2 3P1 7I1         (1)*( 6.0)    83829.2 
   207     1    3S2 3P1 7I1         (1)*( 6.0)    83829.2 
   208     1    3S2 3P1 7I1         (1)*( 7.0)    83829.2 
   209     1    3S2 3P1 7F1         (3)4( 3.0)    83829.8 
   210     1    3S2 3P1 7F1         (3)3( 3.0)    83831.7 
   211     1    3S2 3P1 7F1         (3)3( 2.0)    83834.1 
   212     1    3S2 3P1 7F1         (3)4( 4.0)    83834.3 
   213     2    3S2 3P1 7D1         (3)3( 4.0)    83845.3 
   214     2    3S2 3P1 8P1         (3)1( 2.0)    83847.8 
   215     2    3S2 3P1 8P1         (3)0( 1.0)    83875.8 
   216     2    3S2 3P1 7D1         (1)2( 2.0)    83877.2 
   217     2    3S2 3P1 8P1         (1)2( 2.0)    83911.5 
   218     2    3S2 3P1 7D1         (3)2( 3.0)    83952.4 
   219     2    3S2 3P1 7D1         (3)2( 2.0)    83983.7 
   220     2    3S2 3P1 7D1         (3)1( 1.0)    83990.6 
   221     2    3S2 3P1 7D1         (3)1( 0.0)    83992.0 
   222     2    3S2 3P1 8P1         (1)0( 0.0)    84029.5 
