SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63070713.4   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)    69579.9 
     3          3P1                 (2)1( 1.5)    69898.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63336716.2   NLVL= 440
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    97     1    3S1 7F1             (3)3( 2.0)   245778.1 
    98     1    3S1 7F1             (3)3( 3.0)   245778.3 
    99     1    3S1 7F1             (3)3( 4.0)   245778.7 
   100     1    3S1 7G1             (3)4( 3.0)   245835.6 
   101     1    3S1 7G1             (3)4( 4.0)   245835.7 
   102     1    3S1 7G1             (3)4( 5.0)   245835.7 
   103     1    3S1 7G1             (1)4( 4.0)   245839.0 
   104     1    3S1 7H1             (3)5( 4.0)   245846.5 
   105     1    3S1 7H1             (3)5( 5.0)   245846.5 
   106     1    3S1 7H1             (3)5( 6.0)   245846.5 
   107     1    3S1 7H1             (1)5( 5.0)   245846.9 
   108     1    3S1 7I1             (3)6( 5.0)   245846.9 
   109     1    3S1 7I1             (3)6( 6.0)   245846.9 
   110     1    3S1 7I1             (1)6( 6.0)   245846.9 
   111     1    3S1 7I1             (3)6( 7.0)   245846.9 
   112     1    3S1 8S1             (1)0( 0.0)   246082.5 
   113     1    3S1 8P1             (1)1( 1.0)   247141.4 
   114     1    3S1 8P1             (3)1( 0.0)   247406.6 
   115     1    3S1 8P1             (3)1( 1.0)   247408.9 
   116     1    3S1 8P1             (3)1( 2.0)   247413.4 
   117     3    3P1 4P1             (1)2( 2.0)   248640.3 
   118     1    3S1 7F1             (1)3( 3.0)   249502.8 
   119     1    3S1 8D1             (3)2( 1.0)   249915.5 
   120     1    3S1 8D1             (3)2( 2.0)   249915.6 
   121     1    3S1 8D1             (3)2( 3.0)   249915.8 
   122     3    3P1 3D1             (1)1( 1.0)   250205.0 
   123     1    3S1 8D1             (1)2( 2.0)   250217.0 
   124     1    3S1 8F1             (3)3( 2.0)   250514.9 
   125     1    3S1 8F1             (3)3( 3.0)   250515.1 
   126     1    3S1 8F1             (3)3( 4.0)   250515.3 
   127     1    3S1 8G1             (3)4( 3.0)   250562.4 
   128     1    3S1 8G1             (3)4( 4.0)   250562.4 
   129     1    3S1 8G1             (3)4( 5.0)   250562.5 
   130     1    3S1 8G1             (1)4( 4.0)   250564.3 
   131     1    3S1 8H1             (3)5( 4.0)   250570.5 
   132     1    3S1 8H1             (3)5( 5.0)   250570.5 
   133     1    3S1 8H1             (3)5( 6.0)   250570.6 
   134     1    3S1 8I1             (3)6( 5.0)   250570.9 
   135     1    3S1 8I1             (3)6( 6.0)   250570.9 
   136     1    3S1 8H1             (1)5( 5.0)   250571.0 
   137     1    3S1 8I1             (1)6( 6.0)   250571.0 
   138     1    3S1 8I1             (3)6( 7.0)   250571.0 
   139     1    3S1 8J1             (3)7( 6.0)   250571.0 
   140     1    3S1 8J1             (3)7( 7.0)   250571.0 
   141     1    3S1 8J1             (1)7( 7.0)   250571.0 
   142     1    3S1 8J1             (3)7( 8.0)   250571.0 
   143     1    3S1 8F1             (1)3( 3.0)   252280.4 
   144     3    3P1 4P1             (1)0( 0.0)   255365.3 
   145     2    3P1 4D1             (1)2( 2.0)   266058.8*     1.52E+12
   146     2    3P1 4D1             (3)3( 2.0)   266894.4*     1.03E+14
   147     2    3P1 4D1             (3)3( 3.0)   266984.8*     1.05E+14
   148     3    3P1 4D1             (3)3( 4.0)   267136.9*     1.05E+14  0.00E+00
   149     2    3P1 4D1             (3)2( 1.0)   268083.2*     4.42E+10
   150     3    3P1 4D1             (3)2( 2.0)   268122.7*     5.33E+11  0.00E+00
   151     3    3P1 4D1             (3)2( 3.0)   268187.2*     9.57E+11  0.00E+00
   152     3    3P1 4D1             (3)1( 2.0)   269612.4*     2.56E+12  0.00E+00
   153     3    3P1 4D1             (3)1( 1.0)   269709.1*     2.57E+12  0.00E+00
   154     3    3P1 4D1             (3)1( 0.0)   269756.8*     2.57E+12  0.00E+00
   155     2    3P1 4F1             (3)3( 2.0)   270620.7*     2.49E+10
   156     2    3P1 4F1             (3)3( 3.0)   270644.3*     5.33E+11
   157     2    3P1 4F1             (3)3( 4.0)   270664.9*     1.22E+13
   158     3    3P1 4F1             (1)4( 4.0)   271139.4*     2.96E+14  0.00E+00
   159     2    3P1 4F1             (1)3( 3.0)   271373.7*     1.71E+12
   160     2    3P1 5S1             (3)1( 0.0)   272969.0*     4.66E+13
   161     2    3P1 5S1             (3)1( 1.0)   273057.4*     5.21E+13
   162     3    3P1 4F1             (3)4( 3.0)   273108.0*     4.23E+14  0.00E+00
   163     3    3P1 4F1             (3)4( 4.0)   273214.3*     4.23E+14  0.00E+00
   164     3    3P1 5S1             (3)1( 2.0)   273287.2*     4.62E+13  0.00E+00
   165     3    3P1 4F1             (3)4( 5.0)   273338.0*     4.23E+14  0.00E+00
   166     3    3P1 5S1             (1)1( 1.0)   274349.3*     4.45E+14  0.00E+00
   167     3    3P1 4F1             (1)2( 2.0)   275104.3*     2.48E+13  0.00E+00
   168     3    3P1 4F1             (3)2( 3.0)   275110.3*     3.02E+13  0.00E+00
   169     3    3P1 4F1             (3)2( 2.0)   275272.6*     2.72E+13  0.00E+00
   170     3    3P1 4F1             (3)2( 1.0)   275279.8*     3.01E+13  0.00E+00
   171     3    3P1 4D1             (1)3( 3.0)   275953.5*     1.93E+15  0.00E+00
   172     3    3P1 4D1             (1)1( 1.0)   278983.2*     1.78E+14  0.00E+00
   173     2    3P1 5P1             (1)1( 1.0)   280088.0*     2.25E+12
   174     2    3P1 5P1             (3)2( 1.0)   280880.3*     1.23E+14
   175     2    3P1 5P1             (3)2( 2.0)   280975.0*     1.25E+14
   176     3    3P1 5P1             (3)2( 3.0)   281162.6*     1.25E+14  0.00E+00
   177     2    3P1 5P1             (3)1( 0.0)   281740.3*     2.37E+11
   178     3    3P1 5P1             (3)1( 1.0)   281793.8*     1.52E+12  0.00E+00
   179     3    3P1 5P1             (3)1( 2.0)   281925.3*     1.85E+12  0.00E+00
   180     3    3P1 5P1             (3)0( 1.0)   282434.4*     3.01E+13  0.00E+00
   181     3    3P1 5P1             (1)2( 2.0)   283724.0*     4.84E+14  0.00E+00
   182     3    3P1 5P1             (1)0( 0.0)   286468.6*     1.82E+14  0.00E+00
   183     2    3P1 5F1             (1)4( 4.0)   290701.0*     1.87E+13
   184     2    3P1 5D1             (1)2( 2.0)   292387.0*     2.53E+12
   185     2    3P1 5D1             (3)3( 2.0)   292801.6*     4.15E+13
   186     2    3P1 5D1             (3)3( 3.0)   292872.1*     4.41E+13
   187     3    3P1 5D1             (3)3( 4.0)   293049.0*     4.69E+13  0.00E+00
   188     2    3P1 5D1             (3)2( 1.0)   293121.8*     1.52E+11
   189     3    3P1 5D1             (3)2( 2.0)   293179.3*     2.77E+12  0.00E+00
   190     3    3P1 5D1             (3)2( 3.0)   293252.2*     3.96E+12  0.00E+00
   191     3    3P1 5D1             (3)1( 2.0)   294009.8*     4.68E+12  0.00E+00
   192     3    3P1 5D1             (3)1( 1.0)   294098.9*     4.77E+12  0.00E+00
   193     3    3P1 5D1             (3)1( 0.0)   294144.2*     4.78E+12  0.00E+00
   194     2    3P1 5F1             (1)2( 2.0)   294153.3*     9.44E+13
   195     2    3P1 5F1             (1)3( 3.0)   294884.9*     4.99E+12
   196     2    3P1 5F1             (3)4( 3.0)   295551.0*     1.93E+14
   197     3    3P1 5F1             (3)4( 4.0)   295641.9*     1.97E+14  0.00E+00
