 Fe II levels
  n      E(n)       g    label
      16      12    28738.5  0.0000E+00       0.304
      16      13    30846.3  0.0000E+00       0.236
      16      14    32419.7  0.0000E+00       0.169
      16      15   261640.3  0.0000E+00       2.227
      17       1     3976.2  0.0000E+00       0.236
      17       2     4046.4  0.0000E+00       0.184
      17       3     4096.6  0.0000E+00       0.131
      17       4     4129.4  0.0000E+00       0.079
      17       5     4145.6  0.0000E+00       0.026
      17       6    17424.1  0.0000E+00       0.131
      17       7    19636.0  0.0000E+00       0.341
      17       8    20648.7  0.0000E+00       0.289
      17       9    21451.1  0.0000E+00       0.236
      17      10    22445.6  0.0000E+00       0.079
      17      11    25413.1  0.0000E+00       0.026
      17      12    27165.0  0.0000E+00       0.236
      17      13    29040.7  0.0000E+00       0.184
      17      14    30431.2  0.0000E+00       0.131
      17      15   171303.5  0.0000E+00       1.732
      17      16   496142.7  0.0000E+00       1.417
      18       1     3322.5  0.0000E+00       0.236
      18       2     3371.4  0.0000E+00       0.184
      18       3     3406.2  0.0000E+00       0.131
      18       4     3428.8  0.0000E+00       0.079
      18       5     3440.0  0.0000E+00       0.026
      18       6     9357.2  0.0000E+00       0.131
      18       7     9959.7  0.0000E+00       0.341
      18       8    10213.8  0.0000E+00       0.289
      18       9    10406.3  0.0000E+00       0.236
      18      10    10634.9  0.0000E+00       0.079
      18      11    11257.8  0.0000E+00       0.026
      18      12    11588.9  0.0000E+00       0.236
      18      13    11917.3  0.0000E+00       0.184
      18      14    12145.0  0.0000E+00       0.131
      18      15    18078.2  0.0000E+00       0.289
      18      16    19420.1  0.0000E+00       0.236
      18      17    20211.2  0.0000E+00       0.184
      19       1     3293.3  0.0000E+00       0.439
      19       2     3341.3  0.0000E+00       0.341
      19       3     3375.4  0.0000E+00       0.244
      19       4     3397.6  0.0000E+00       0.146
      19       5     3408.6  0.0000E+00       0.049
      19       6     9128.7  0.0000E+00       0.244
      19       7     9701.3  8.9000E-02       0.001
      19       8     9942.2  5.8000E-02       0.001
      19       9    10124.5  0.0000E+00       0.439
      19      10    10340.8  0.0000E+00       0.146
      19      11    10928.7  0.0000E+00       0.049
      19      12    11240.5  0.0000E+00       0.439
      19      13    11549.1  0.0000E+00       0.341
      19      14    11762.9  0.0000E+00       0.244
      19      15    17244.4  0.0000E+00       0.536
      19      16    18461.2  0.0000E+00       0.439
      19      17    19174.6  0.0000E+00       0.341
      19      18   373869.7  0.0000E+00       2.047
      20       1     3254.7  0.0000E+00       0.169
      20       2     3301.6  2.7000E-02       0.001
      20       3     3334.9  1.1000E-01       0.094
      20       4     3356.6  9.5000E-02       0.001
      20       5     3367.3  0.0000E+00       0.019
      20       6     8838.2  6.6000E-02       0.001
      20       7     9373.8  0.0000E+00       0.244
      20       8     9598.5  0.0000E+00       0.206
      20       9     9768.4  0.0000E+00       0.169
      20      10     9969.5  0.0000E+00       0.056
      20      11    10514.9  0.0000E+00       0.019
      20      12    10803.2  0.0000E+00       0.169
      20      13    11088.0  0.0000E+00       0.131
      20      14    11284.9  0.0000E+00       0.094
      20      15    16236.2  0.0000E+00       0.206
      20      16    17310.4  0.0000E+00       0.169
      20      17    17936.2  0.0000E+00       0.131
      20      18   159344.5  0.0000E+00       0.787
      20      19   277702.1  0.0000E+00       1.462
      21       1     3253.7  0.0000E+00       0.101
      21       2     3300.5  0.0000E+00       0.079
      21       3     3333.8  0.0000E+00       0.056
      21       4     3355.5  1.5000E-01       0.034
      21       5     3366.2  1.3000E-01       0.011
      21       6     8830.7  1.9000E-02       0.001
      21       7     9365.4  0.0000E+00       0.146
      21       8     9589.7  0.0000E+00       0.124
      21       9     9759.2  0.0000E+00       0.101
      21      10     9960.0  8.5000E-02       0.001
      21      11    10504.3  2.3000E-02       0.001
      21      12    10792.0  0.0000E+00       0.101
      21      13    11076.2  0.0000E+00       0.079
      21      14    11272.7  0.0000E+00       0.056
      21      15    16210.9  0.0000E+00       0.124
      21      16    17281.7  0.0000E+00       0.101
      21      17    17905.3  0.0000E+00       0.079
      21      18   156943.1  0.0000E+00       0.472
      21      19   270489.0  0.0000E+00       0.877
      21      20 10413828.3  0.0000E+00       0.337
      22       1     3239.7  2.3000E-01       0.236
      22       2     3286.2  4.7000E-02       0.001
      22       3     3319.2  4.4000E-02       0.001
      22       4     3340.7  0.0000E+00       0.079
      22       5     3351.3  0.0000E+00       0.026
      22       6     8728.9  6.3000E-02       0.001
      22       7     9251.0  0.0000E+00       0.341
      22       8     9469.8  0.0000E+00       0.289
      22       9     9635.1  0.0000E+00       0.236
      22      10     9830.7  0.0000E+00       0.079
      22      11    10360.6  0.0000E+00       0.026
      22      12    10640.4  0.0000E+00       0.236
      22      13    10916.5  0.0000E+00       0.184
      22      14    11107.3  0.0000E+00       0.131
      22      15    15871.2  0.0000E+00       0.289
      22      16    16896.1  0.0000E+00       0.236
      22      17    17491.8  0.0000E+00       0.184
      22      18   130003.6  0.0000E+00       1.102
      22      19   199307.7  0.0000E+00       2.047
      22      20   706022.3  0.0000E+00       0.787
      22      21   757369.3  0.0000E+00       0.472
      23       1     3236.7  0.0000E+00       0.304
      23       2     3283.1  0.0000E+00       0.236
      23       3     3316.1  0.0000E+00       0.169
      23       4     3337.5  0.0000E+00       0.101
      23       5     3348.1  0.0000E+00       0.034
      23       6     8707.2  0.0000E+00       0.169
      23       7     9226.6  0.0000E+00       0.439
      23       8     9444.2  2.0000E-01       0.371
      23       9     9608.6  8.1000E-02       0.001
      23      10     9803.2  0.0000E+00       0.101
      23      11    10330.0  0.0000E+00       0.034
      23      12    10608.1  2.3000E-01       0.304
      23      13    10882.6  1.2000E-01       0.236
      23      14    11072.1  0.0000E+00       0.169
      23      15    15799.5  0.0000E+00       0.371
      23      16    16814.9  0.0000E+00       0.304
      23      17    17404.7  0.0000E+00       0.236
      23      18   125342.0  0.0000E+00       1.417
      23      19   188556.7  0.0000E+00       2.632
      23      20   587384.0  0.0000E+00       1.012
      23      21   622495.3  0.0000E+00       0.607
      23      22  3495550.8  0.0000E+00       1.417
      24       1     2871.7  0.0000E+00       0.034
      24       2     2908.1  0.0000E+00       0.026
      24       3     2934.0  0.0000E+00       0.019
      24       4     2950.7  0.0000E+00       0.011
      24       5     2959.0  0.0000E+00       0.004
      24       6     6488.5  0.0000E+00       0.019
      24       7     6772.6  0.0000E+00       0.049
      24       8     6889.1  0.0000E+00       0.041
      24       9     6976.2  0.0000E+00       0.034
      24      10     7078.2  1.5000E+00       0.001
      24      11     7348.8  0.0000E+00       0.004
      24      12     7488.5  0.0000E+00       0.034
      24      13     7624.2  0.0000E+00       0.026
      24      14     7716.8  0.0000E+00       0.019
      24      15     9750.0  0.0000E+00       0.041
      24      16    10127.4  0.0000E+00       0.034
      24      17    10338.4  0.0000E+00       0.026
      24      18    21164.5  0.0000E+00       0.026
      24      19    22434.5  0.0000E+00       0.049
      24      20    24406.2  0.0000E+00       0.019
      24      21    24463.5  0.0000E+00       0.011
      24      22    25280.1  0.0000E+00       0.026
      24      23    25464.3  0.0000E+00       0.034
      25       1     2792.2  0.0000E+00       0.169
      25       2     2826.6  0.0000E+00       0.131
      25       3     2851.0  0.0000E+00       0.094
      25       4     2866.8  0.0000E+00       0.056
      25       5     2874.7  0.0000E+00       0.019
      25       6     6096.3  9.6000E-01       0.001
      25       7     6346.4  0.0000E+00       0.244
      25       8     6448.6  0.0000E+00       0.206
      25       9     6524.8  0.0000E+00       0.169
      25      10     6614.0  3.3000E-02       0.001
      25      11     6849.7  0.0000E+00       0.019
      25      12     6970.8  0.0000E+00       0.169
      25      13     7088.3  2.2000E-01       0.131
      25      14     7168.3  1.2000E-01       0.094
      25      15     8890.5  0.0000E+00       0.206
      25      16     9203.2  0.0000E+00       0.169
      25      17     9377.1  0.0000E+00       0.131
      25      18    17493.3  0.0000E+00       0.131
      25      19    18352.0  0.0000E+00       0.244
      25      20    19650.7  0.0000E+00       0.094
      25      21    19687.8  0.0000E+00       0.056
      25      22    20213.3  0.0000E+00       0.131
      25      23    20330.8  0.0000E+00       0.169
      25      24   100850.1  0.0000E+00       0.112
      26       1     2438.3  0.0000E+00       0.169
      26       2     2464.5  0.0000E+00       0.131
      26       3     2483.0  0.0000E+00       0.094
      26       4     2495.0  0.0000E+00       0.056
      26       5     2501.0  0.0000E+00       0.019
      26       6     4629.4  0.0000E+00       0.094
      26       7     4772.2  0.0000E+00       0.244
      26       8     4829.8  0.0000E+00       0.206
      26       9     4872.4  0.0000E+00       0.169
      26      10     4921.9  0.0000E+00       0.056
      26      11     5051.3  0.0000E+00       0.019
      26      12     5116.9  0.0000E+00       0.169
      26      13     5179.9  0.0000E+00       0.131
      26      14     5222.5  0.0000E+00       0.094
      26      15     6080.6  0.0000E+00       0.206
      26      16     6225.3  0.0000E+00       0.169
      26      17     6304.4  0.0000E+00       0.131
      26      18     9162.5  0.0000E+00       0.131
      26      19     9392.7  0.0000E+00       0.244
      26      20     9721.5  0.0000E+00       0.094
      26      21     9730.5  0.0000E+00       0.056
      26      22     9857.2  0.0000E+00       0.131
      26      23     9885.1  0.0000E+00       0.169
      26      24    16157.2  0.0000E+00       0.019
      26      25    19239.6  0.0000E+00       0.094
      27       1     2330.5  0.0000E+00       0.236
      27       2     2354.4  0.0000E+00       0.184
      27       3     2371.3  0.0000E+00       0.131
      27       4     2382.2  0.0000E+00       0.079
      27       5     2387.6  0.0000E+00       0.026
      27       6     4255.6  0.0000E+00       0.131
      27       7     4375.9  0.0000E+00       0.341
      27       8     4424.3  0.0000E+00       0.289
      27       9     4460.0  0.0000E+00       0.236
      27      10     4501.5  0.0000E+00       0.079
      27      11     4609.5  0.0000E+00       0.026
      27      12     4664.0  0.0000E+00       0.236
      27      13     4716.3  0.0000E+00       0.184
      27      14     4751.6  0.0000E+00       0.131
      27      15     5451.6  0.0000E+00       0.289
      27      16     5567.6  9.8000E-02       0.001
      27      17     5630.8  5.0000E-02       0.184
      27      18     7805.4  0.0000E+00       0.184
      27      19     7971.8  0.0000E+00       0.341
      27      20     8207.5  3.4000E-02       0.001
      27      21     8213.9  0.0000E+00       0.079
      27      22     8304.0  6.1000E-02       0.001
      27      23     8323.8  0.0000E+00       0.236
      27      24    12366.0  0.0000E+00       0.026
      27      25    14094.2  0.0000E+00       0.131
      27      26    52700.4  0.0000E+00       0.131
      28       1     2034.0  0.0000E+00       0.034
      28       2     2052.2  0.0000E+00       0.026
      28       3     2065.1  0.0000E+00       0.019
      28       4     2073.4  0.0000E+00       0.011
      28       5     2077.4  0.0000E+00       0.004
      28       6     3361.1  0.0000E+00       0.019
      28       7     3435.8  0.0000E+00       0.049
