SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114452481.1   NPRNTI= 5   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
    79     2    3S2 3P1 5P1         (3)1( 2.0)   167642.6 
    80     2    3S2 3P1 5P1         (3)0( 1.0)   168902.5 
    81    10    3S1 3P2 4P1         (1)3( 3.0)   170714.9 
    82     2    3S2 3P1 5P1         (1)2( 2.0)   173450.5 
    83     2    3S2 3P1 5P1         (1)0( 0.0)   174629.4 
    84    10    3S1 3P2 4P1         (1)2( 2.0)   174743.4 
    85     1    3S2 3P1 5D1         (1)2( 2.0)   183723.8 
    86     1    3S2 3P1 5D1         (3)2( 1.0)   183893.6 
    87     1    3S2 3P1 5D1         (3)2( 2.0)   183919.9 
    88     1    3S2 3P1 5D1         (3)2( 3.0)   184089.0 
    89     2    3S2 3P1 5D1         (3)3( 2.0)   185456.9*     0.00E+00
    90     2    3S2 3P1 5D1         (3)3( 3.0)   185618.2*     0.00E+00
    91     2    3S2 3P1 5D1         (3)3( 4.0)   186194.4*     0.00E+00
    92     2    3S2 3P1 5D1         (3)1( 2.0)   186296.6*     0.00E+00
    93     2    3S2 3P1 5D1         (3)1( 1.0)   186533.9*     0.00E+00
    94     2    3S2 3P1 5D1         (1)3( 3.0)   186639.0*     0.00E+00
    95     2    3S2 3P1 5D1         (3)1( 0.0)   186790.1*     0.00E+00
    96     2    3S2 3P1 5D1         (1)1( 1.0)   187459.8*     0.00E+00
    97     1    3S2 3P1 5F1         (1)3( 3.0)   194961.3*
    98     1    3S2 3P1 5F1         (3)3( 3.0)   195297.9*
    99     1    3S2 3P1 5F1         (3)3( 4.0)   195505.9*
   100     1    3S2 3P1 5F1         (3)3( 2.0)   195540.8*
   101     1    3S2 3P1 5G1         (1)4( 4.0)   196056.1*
   102     1    3S2 3P1 5G1         (3)4( 3.0)   196092.7*
   103     1    3S2 3P1 5G1         (3)4( 4.0)   196198.6*
   104     1    3S2 3P1 5G1         (3)4( 5.0)   196254.7*
   105     2    3S2 3P1 5F1         (3)4( 3.0)   196704.5*     0.00E+00
   106     2    3S2 3P1 5F1         (3)4( 4.0)   196927.6*     0.00E+00
   107     2    3S2 3P1 5F1         (3)4( 5.0)   197173.8*     0.00E+00
   108     2    3S2 3P1 5F1         (3)2( 3.0)   197644.9*     0.00E+00
   109     2    3S2 3P1 5F1         (3)2( 2.0)   197929.0*     0.00E+00
   110     2    3S2 3P1 5G1         (3)5( 4.0)   198023.2*     0.00E+00
   111     2    3S2 3P1 5G1         (3)5( 5.0)   198113.0*     0.00E+00
   112     2    3S2 3P1 5F1         (3)2( 1.0)   198227.3*     0.00E+00
   113     2    3S2 3P1 5G1         (3)3( 4.0)   198609.5*     0.00E+00
   114     2    3S2 3P1 5G1         (3)3( 3.0)   198697.9*     0.00E+00
   115     1    3S2 3P1 6S1         (3)1( 0.0)   198807.9*
   116     2    3S2 3P1 5G1         (3)5( 6.0)   198864.3*     0.00E+00
   117     2    3S2 3P1 5G1         (1)5( 5.0)   199047.7*     0.00E+00
   118     1    3S2 3P1 6S1         (3)1( 1.0)   199048.9*
   119     2    3S2 3P1 5G1         (3)3( 2.0)   199304.4*     0.00E+00
   120     2    3S2 3P1 5G1         (1)3( 3.0)   199408.2*     0.00E+00
   121     2    3S2 3P1 5F1         (1)4( 4.0)   199415.0*     0.00E+00
   122     2    3S2 3P1 5F1         (1)2( 2.0)   199632.7*     0.00E+00
   123     2    3S2 3P1 6S1         (3)1( 2.0)   200691.3*     0.00E+00
   124     2    3S2 3P1 6S1         (1)1( 1.0)   201475.2*     0.00E+00
   125     1    3S2 3P1 6P1         (3)2( 1.0)   207666.7*
   126     1    3S2 3P1 6P1         (3)2( 2.0)   208286.3*
   127     1    3S2 3P1 6P1         (1)1( 1.0)   208877.3*
   128     2    3S2 3P1 6P1         (3)2( 3.0)   209487.3*     0.00E+00
   129     1    3S2 3P1 6P1         (3)1( 0.0)   209732.5*
   130     2    3S2 3P1 6P1         (3)1( 1.0)   210329.4*     0.00E+00
   131     2    3S2 3P1 6P1         (3)1( 2.0)   210846.0*     0.00E+00
   132     2    3S2 3P1 6P1         (3)0( 1.0)   211292.0*     0.00E+00
   133     2    3S2 3P1 6P1         (1)2( 2.0)   211882.0*     0.00E+00
   134     2    3S2 3P1 6P1         (1)0( 0.0)   214880.2*     0.00E+00
   135     1    3S2 3P1 6D1         (3)2( 2.0)   222035.6*
   136     1    3S2 3P1 6D1         (3)2( 1.0)   222050.1*
   137     1    3S2 3P1 6D1         (3)3( 3.0)   222138.7*
   138     1    3S2 3P1 6D1         (3)3( 2.0)   222572.9*
   139     2    3S2 3P1 6D1         (3)2( 3.0)   223695.8*     0.00E+00
   140     2    3S2 3P1 6D1         (1)2( 2.0)   223882.3*     0.00E+00
   141     2    3S2 3P1 6D1         (3)3( 4.0)   224166.1*     0.00E+00
   142     2    3S2 3P1 6D1         (1)3( 3.0)   224363.5*     0.00E+00
   143     2    3S2 3P1 6D1         (3)1( 2.0)   224408.6*     0.00E+00
   144     2    3S2 3P1 6D1         (3)1( 1.0)   224469.8*     0.00E+00
   145     2    3S2 3P1 6D1         (3)1( 0.0)   224796.3*     0.00E+00
   146     2    3S2 3P1 6D1         (1)1( 1.0)   224965.0*     0.00E+00
   147     1    3S2 3P1 6F1         (3)4( 3.0)   228498.9*
   148     1    3S2 3P1 6F1         (3)3( 3.0)   228890.0*
   149     1    3S2 3P1 6F1         (3)4( 4.0)   229015.8*
   150     1    3S2 3P1 6F1         (3)3( 2.0)   229191.7*
   151     1    3S2 3P1 6G1         (1)4( 4.0)   229929.8*
   152     1    3S2 3P1 6G1         (3)4( 3.0)   229973.2*
   153     1    3S2 3P1 6G1         (3)4( 4.0)   229995.7*
   154     1    3S2 3P1 6G1         (3)4( 5.0)   230069.6*
   155     2    3S2 3P1 6F1         (1)3( 3.0)   230273.9*     0.00E+00
   156     2    3S2 3P1 6F1         (3)3( 4.0)   230481.5*     0.00E+00
   157     2    3S2 3P1 6F1         (3)4( 5.0)   230575.2*     0.00E+00
   158     1    3S2 3P1 6H1         (3)5( 5.0)   230636.8*
   159     1    3S2 3P1 6H1         (3)5( 4.0)   230638.1*
   160     1    3S2 3P1 6H1         (3)6( 5.0)   230650.0*
   161     1    3S2 3P1 6H1         (3)6( 6.0)   230653.2*
   162     2    3S2 3P1 6F1         (3)2( 3.0)   231115.9*     0.00E+00
   163     2    3S2 3P1 6F1         (3)2( 2.0)   231374.2*     0.00E+00
   164     1    3S2 3P1 7S1         (3)1( 0.0)   231634.0*
   165     2    3S2 3P1 6F1         (3)2( 1.0)   231639.6*     0.00E+00
   166     2    3S2 3P1 6G1         (3)5( 4.0)   231663.5*     0.00E+00
   167     2    3S2 3P1 6G1         (3)5( 5.0)   231731.9*     0.00E+00
   168     1    3S2 3P1 7S1         (3)1( 1.0)   231851.9*
   169     2    3S2 3P1 6G1         (3)3( 4.0)   231994.3*     0.00E+00
   170     2    3S2 3P1 6G1         (3)3( 3.0)   232063.3*     0.00E+00
   171     2    3S2 3P1 6G1         (3)5( 6.0)   232237.5*     0.00E+00
   172     2    3S2 3P1 6H1         (1)5( 5.0)   232382.3*     0.00E+00
   173     2    3S2 3P1 6H1         (3)5( 6.0)   232384.8*     0.00E+00
   174     2    3S2 3P1 6G1         (1)5( 5.0)   232439.3*     0.00E+00
   175     2    3S2 3P1 6H1         (3)4( 5.0)   232499.2*     0.00E+00
   176     2    3S2 3P1 6H1         (1)4( 4.0)   232501.0*     0.00E+00
   177     2    3S2 3P1 6G1         (3)3( 2.0)   232506.9*     0.00E+00
   178     2    3S2 3P1 6F1         (1)4( 4.0)   232560.2*     0.00E+00
   179     2    3S2 3P1 6G1         (1)3( 3.0)   232594.8*     0.00E+00
   180     2    3S2 3P1 6H1         (3)6( 7.0)   232699.4*     0.00E+00
   181     2    3S2 3P1 6H1         (1)6( 6.0)   232702.5*     0.00E+00
   182     2    3S2 3P1 6H1         (3)4( 3.0)   232799.9*     0.00E+00
   183     2    3S2 3P1 6H1         (3)4( 4.0)   232804.5*     0.00E+00
   184     2    3S2 3P1 6F1         (1)2( 2.0)   233003.9*     0.00E+00
   185     2    3S2 3P1 7S1         (3)1( 2.0)   233523.8*     0.00E+00
   186     2    3S2 3P1 7S1         (1)1( 1.0)   233952.9*     0.00E+00
   187     3    3S1 3P2 5S1         (5)1( 1.0)   234812.1*     0.00E+00  0.00E+00
   188     4    3S1 3P2 5S1         (5)1( 2.0)   235474.6*     0.00E+00  0.00E+00  0.00E+00
   189     5    3S1 3P2 5S1         (5)1( 3.0)   236445.3*     0.00E+00  0.00E+00  0.00E+00  0.00E+00
   190     1    3S2 3P1 7P1         (1)1( 1.0)   237096.8*
   191     1    3S2 3P1 7P1         (3)2( 1.0)   237418.3*
   192     1    3S2 3P1 7P1         (3)1( 0.0)   237533.9*
   193     1    3S2 3P1 7P1         (3)2( 2.0)   237676.1*
   194     2    3S2 3P1 7P1         (3)1( 1.0)   238835.6*     0.00E+00
   195     2    3S2 3P1 7P1         (3)1( 2.0)   239069.4*     0.00E+00
   196     2    3S2 3P1 7P1         (3)0( 1.0)   239256.9*     0.00E+00
   197     2    3S2 3P1 7P1         (3)2( 3.0)   239300.4*     0.00E+00
   198     2    3S2 3P1 7P1         (1)2( 2.0)   240179.5*     0.00E+00
   199     2    3S2 3P1 7P1         (1)0( 0.0)   241061.1*     0.00E+00
   200     1    3S2 3P1 7D1         (3)2( 2.0)   245293.4*
   201     1    3S2 3P1 7D1         (3)2( 1.0)   245323.5*
   202     1    3S2 3P1 7D1         (3)3( 2.0)   245377.5*
   203     1    3S2 3P1 7D1         (3)3( 3.0)   245400.5*
   204     2    3S2 3P1 7D1         (1)2( 2.0)   246964.6*     0.00E+00
   205     2    3S2 3P1 7D1         (3)2( 3.0)   246990.6*     0.00E+00
   206     2    3S2 3P1 7D1         (3)1( 2.0)   247380.1*     0.00E+00
   207     2    3S2 3P1 7D1         (1)1( 1.0)   247438.0*     0.00E+00
   208     2    3S2 3P1 7D1         (1)3( 3.0)   247441.3*     0.00E+00
   209     2    3S2 3P1 7D1         (3)3( 4.0)   247455.2*     0.00E+00
   210     3    3S1 3P2 5S1         (3)1( 0.0)   247551.1*     0.00E+00  0.00E+00
   211     2    3S2 3P1 7D1         (3)1( 0.0)   247742.4*     0.00E+00
   212     2    3S2 3P1 7D1         (3)1( 1.0)   247806.0*     0.00E+00
   213     4    3S1 3P2 5S1         (3)1( 1.0)   247877.2*     0.00E+00  0.00E+00  0.00E+00
   214     5    3S1 3P2 5S1         (3)1( 2.0)   248536.7*     0.00E+00  0.00E+00  0.00E+00  0.00E+00
   215     1    3S2 3P1 7F1         (3)4( 3.0)   249511.3*
   216     1    3S2 3P1 7F1         (3)3( 3.0)   249786.5*
   217     1    3S2 3P1 7F1         (3)4( 4.0)   249893.5*
   218     1    3S2 3P1 7F1         (3)3( 2.0)   250023.7*
   219     1    3S2 3P1 7G1         (3)5( 4.0)   250275.1*
   220     1    3S2 3P1 7G1         (3)4( 4.0)   250305.6*
   221     1    3S2 3P1 7G1         (3)4( 3.0)   250337.4*
   222     1    3S2 3P1 7G1         (3)5( 5.0)   250377.1*
   223     1    3S2 3P1 7H1         (3)4( 5.0)   250881.5*
   224     1    3S2 3P1 7H1         (1)4( 4.0)   250883.6*
   225     1    3S2 3P1 7H1         (3)6( 5.0)   250884.7*
   226     1    3S2 3P1 7H1         (3)6( 6.0)   250888.1*
   227     1    3S2 3P1 7I1         (1)5( 5.0)   250892.5*
   228     1    3S2 3P1 7I1         (3)5( 6.0)   250892.9*
   229     1    3S2 3P1 7I1         (3)7( 6.0)   250894.5*
   230     1    3S2 3P1 7I1         (3)7( 7.0)   250895.0*
   231     2    3S2 3P1 7F1         (1)3( 3.0)   251302.2*     0.00E+00
   232     2    3S2 3P1 7F1         (3)3( 4.0)   251449.1*     0.00E+00
   233     2    3S2 3P1 7F1         (3)4( 5.0)   251496.6*     0.00E+00
   234     1    3S2 3P1 8S1         (3)1( 0.0)   251513.6*
   235     1    3S2 3P1 8S1         (3)1( 1.0)   251608.3*
   236     2    3S2 3P1 7F1         (3)2( 3.0)   251773.5*     0.00E+00
   237     2    3S2 3P1 7F1         (3)2( 2.0)   251938.6*     0.00E+00
