    1   14        910.487      5.192e-01      1.040e+09            3s2.3p3 4S1.5 -       3s2.3p2(3P)4s 4P1.5
    2   14       1052.870      2.548e-04      3.830e+05            3s2.3p3 2D1.5 -       3s2.3p2(3P)4s 4P1.5
    3   14       1053.223      1.054e-03      1.590e+06            3s2.3p3 2D2.5 -       3s2.3p2(3P)4s 4P1.5
    4   14       1172.242      4.794e-05      5.820e+04            3s2.3p3 2P0.5 -       3s2.3p2(3P)4s 4P1.5
    5   14       1172.884      1.068e-03      1.290e+06            3s2.3p3 2P1.5 -       3s2.3p2(3P)4s 4P1.5
    1   15        906.878      7.912e-01      1.070e+09            3s2.3p3 4S1.5 -       3s2.3p2(3P)4s 4P2.5
    2   15       1048.048      5.212e-05      5.270e+04            3s2.3p3 2D1.5 -       3s2.3p2(3P)4s 4P2.5
    3   15       1048.397      6.096e-04      6.160e+05            3s2.3p3 2D2.5 -       3s2.3p2(3P)4s 4P2.5
    5   15       1166.903      5.032e-08      4.110e+01            3s2.3p3 2P1.5 -       3s2.3p2(3P)4s 4P2.5
    1   16        907.632      3.013e-09      6.100e+00            3s2.3p3 4S1.5 -       3s2.3p2(3P)3d 4F1.5
    2   16       1049.055      1.195e-04      1.810e+05            3s2.3p3 2D1.5 -       3s2.3p2(3P)3d 4F1.5
    3   16       1049.405      1.147e-05      1.740e+04            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 4F1.5
    4   16       1167.515      3.494e-05      4.270e+04            3s2.3p3 2P0.5 -       3s2.3p2(3P)3d 4F1.5
    5   16       1168.152      1.064e-05      1.300e+04            3s2.3p3 2P1.5 -       3s2.3p2(3P)3d 4F1.5
    1   17        906.510      3.030e-08      4.100e+01            3s2.3p3 4S1.5 -       3s2.3p2(3P)3d 4F2.5
    2   17       1047.556      1.147e-05      1.160e+04            3s2.3p3 2D1.5 -       3s2.3p2(3P)3d 4F2.5
    3   17       1047.905      5.612e-05      5.680e+04            3s2.3p3 2D2.5 -       3s2.3p2(3P)3d 4F2.5
