    1   44         1.7295      2.225e-03      1.240e+12                 3s 2S0.5 -      1s.2s22p6.3s3p 4P1.5       
    1   46         1.7282      5.170e-02      5.770e+13                 3s 2S0.5 -      1s.2s22p6.3s3p 2P0.5       
    1   47         1.7277      1.177e-01      6.570e+13                 3s 2S0.5 -      1s.2s22p6.3s3p 2P1.5       
    1   48         1.7249      1.990e-02      2.230e+13                 3s 2S0.5 -      1s.2s22p6.3s3p 2P0.5       
    1   49         1.7248      2.410e-02      1.350e+13                 3s 2S0.5 -      1s.2s22p6.3s3p 2P1.5       
    2   42         1.7442      4.837e-04      5.300e+11                 3p 2P0.5 -       1s.2s22p6.3s2 2S0.5       
    3   42         1.7448      8.320e-04      9.110e+11                 3p 2P1.5 -       1s.2s22p6.3s2 2S0.5       
   22   42         1.9284      4.652e-01      4.170e+14            2p5.3s2 2P1.5 -       1s.2s22p6.3s2 2S0.5       
   23   42         1.9322      2.318e-01      2.070e+14            2p5.3s2 2P0.5 -       1s.2s22p6.3s2 2S0.5       
   24   43         1.9284      2.376e-01      2.130e+14           2p5.3s3p 4S1.5 -      1s.2s22p6.3s3p 4P0.5       
   24   44         1.9281      1.499e-01      6.720e+13           2p5.3s3p 4S1.5 -      1s.2s22p6.3s3p 4P1.5       
   24   45         1.9276      5.685e-02      1.700e+13           2p5.3s3p 4S1.5 -      1s.2s22p6.3s3p 4P2.5       
   24   46         1.9264      2.906e-03      2.610e+12           2p5.3s3p 4S1.5 -      1s.2s22p6.3s3p 2P0.5       
   24   47         1.9258      1.024e-02      4.600e+12           2p5.3s3p 4S1.5 -      1s.2s22p6.3s3p 2P1.5       
   24   48         1.9223      0.000e+00      1.700e+10           2p5.3s3p 4S1.5 -      1s.2s22p6.3s3p 2P0.5       
   24   49         1.9223      0.000e+00      5.960e+09           2p5.3s3p 4S1.5 -      1s.2s22p6.3s3p 2P1.5       
   25   44         1.9291      6.565e-01      2.940e+14           2p5.3s3p 4D2.5 -      1s.2s22p6.3s3p 4P1.5       
   25   45         1.9286      3.147e-03      9.400e+11           2p5.3s3p 4D2.5 -      1s.2s22p6.3s3p 4P2.5       
   25   47         1.9268      3.831e-02      1.720e+13           2p5.3s3p 4D2.5 -      1s.2s22p6.3s3p 2P1.5       
   25   49         1.9233      0.000e+00      4.060e+10           2p5.3s3p 4D2.5 -      1s.2s22p6.3s3p 2P1.5       
   26   45         1.9288      9.375e-01      2.800e+14           2p5.3s3p 4D3.5 -      1s.2s22p6.3s3p 4P2.5       
   27   43         1.9296      1.497e-01      1.340e+14           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 4P0.5       
   27   44         1.9293      1.195e-01      5.350e+13           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 4P1.5       
   27   45         1.9288      9.542e-03      2.850e+12           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 4P2.5       
   27   46         1.9276      1.839e-01      1.650e+14           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P0.5       
   27   47         1.9271      4.969e-03      2.230e+12           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P1.5       
   27   48         1.9235      0.000e+00      4.200e+08           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P0.5       
   27   49         1.9235      1.465e-04      6.600e+10           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P1.5       
   28   43         1.9301      9.611e-02      8.600e+13           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 4P0.5       
   28   44         1.9298      1.680e-02      7.520e+12           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 4P1.5       
   28   46         1.9281      1.059e-01      9.500e+13           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P0.5       
   28   47         1.9275      1.052e-02      4.720e+12           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P1.5       
   28   48         1.9240      1.035e-03      9.320e+11           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P0.5       
   28   49         1.9240      1.348e-03      6.070e+11           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P1.5       
   29   44         1.9302      2.504e-02      1.120e+13           2p5.3s3p 4P2.5 -      1s.2s22p6.3s3p 4P1.5       
   29   45         1.9297      4.256e-01      1.270e+14           2p5.3s3p 4P2.5 -      1s.2s22p6.3s3p 4P2.5       
   29   47         1.9279      2.431e-01      1.090e+14           2p5.3s3p 4P2.5 -      1s.2s22p6.3s3p 2P1.5       
   29   49         1.9243      5.443e-04      2.450e+11           2p5.3s3p 4P2.5 -      1s.2s22p6.3s3p 2P1.5       
   30   43         1.9305      3.063e-02      2.740e+13           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 4P0.5       
   30   44         1.9302      5.052e-03      2.260e+12           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 4P1.5       
   30   45         1.9297      9.886e-02      2.950e+13           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 4P2.5       
   30   46         1.9285      6.806e-02      6.100e+13           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P0.5       
   30   47         1.9280      2.609e-01      1.170e+14           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P1.5       
   30   48         1.9244      4.511e-04      4.060e+11           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P0.5       
   30   49         1.9244      0.000e+00      2.640e+10           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P1.5       
   31   43         1.9313      0.000e+00      8.680e+09           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 4P0.5       
   31   44         1.9310      6.354e-02      2.840e+13           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 4P1.5       
   31   46         1.9293      1.062e-03      9.510e+11           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P0.5       
   31   47         1.9287      1.120e-01      5.020e+13           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P1.5       
   31   48         1.9252      3.035e-02      2.730e+13           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P0.5       
   31   49         1.9252      2.135e-02      9.600e+12           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P1.5       
   32   43         1.9330      1.188e-01      1.060e+14           2p5.3s3p 4D0.5 -      1s.2s22p6.3s3p 4P0.5       
   32   44         1.9327      5.625e-02      2.510e+13           2p5.3s3p 4D0.5 -      1s.2s22p6.3s3p 4P1.5       
   32   46         1.9310      3.703e-02      3.310e+13           2p5.3s3p 4D0.5 -      1s.2s22p6.3s3p 2P0.5       
   32   47         1.9304      1.968e-02      8.800e+12           2p5.3s3p 4D0.5 -      1s.2s22p6.3s3p 2P1.5       
   32   48         1.9269      1.007e-03      9.040e+11           2p5.3s3p 4D0.5 -      1s.2s22p6.3s3p 2P0.5       
   32   49         1.9269      1.900e-04      8.530e+10           2p5.3s3p 4D0.5 -      1s.2s22p6.3s3p 2P1.5       
   33   43         1.9334      3.017e-02      2.690e+13           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 4P0.5       
   33   44         1.9331      1.872e-01      8.350e+13           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 4P1.5       
   33   45         1.9326      4.572e-02      1.360e+13           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 4P2.5       
   33   46         1.9314      1.936e-01      1.730e+14           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P0.5       
   33   47         1.9308      7.739e-03      3.460e+12           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P1.5       
   33   48         1.9273      7.845e-04      7.040e+11           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P0.5       
   33   49         1.9273      1.012e-03      4.540e+11           2p5.3s3p 4D1.5 -      1s.2s22p6.3s3p 2P1.5       
   34   43         1.9334      1.592e-02      1.420e+13           2p5.3s3p 4P0.5 -      1s.2s22p6.3s3p 4P0.5       
   34   44         1.9331      8.072e-02      3.600e+13           2p5.3s3p 4P0.5 -      1s.2s22p6.3s3p 4P1.5       
   34   46         1.9314      3.805e-02      3.400e+13           2p5.3s3p 4P0.5 -      1s.2s22p6.3s3p 2P0.5       
   34   47         1.9308      4.093e-04      1.830e+11           2p5.3s3p 4P0.5 -      1s.2s22p6.3s3p 2P1.5       
   34   48         1.9273      6.218e-02      5.580e+13           2p5.3s3p 4P0.5 -      1s.2s22p6.3s3p 2P0.5       
   34   49         1.9273      3.053e-02      1.370e+13           2p5.3s3p 4P0.5 -      1s.2s22p6.3s3p 2P1.5       
   35   43         1.9338      1.436e-02      1.280e+13           2p5.3s3p 4P1.5 -      1s.2s22p6.3s3p 4P0.5       
   35   44         1.9336      7.896e-02      3.520e+13           2p5.3s3p 4P1.5 -      1s.2s22p6.3s3p 4P1.5       
   35   45         1.9330      2.455e-01      7.300e+13           2p5.3s3p 4P1.5 -      1s.2s22p6.3s3p 4P2.5       
   35   46         1.9318      1.735e-02      1.550e+13           2p5.3s3p 4P1.5 -      1s.2s22p6.3s3p 2P0.5       
   35   47         1.9313      1.770e-01      7.910e+13           2p5.3s3p 4P1.5 -      1s.2s22p6.3s3p 2P1.5       
   35   48         1.9277      3.735e-03      3.350e+12           2p5.3s3p 4P1.5 -      1s.2s22p6.3s3p 2P0.5       
   35   49         1.9277      2.074e-03      9.300e+11           2p5.3s3p 4P1.5 -      1s.2s22p6.3s3p 2P1.5       
   36   44         1.9338      1.454e-02      6.480e+12           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 4P1.5       
   36   45         1.9333      2.506e-01      7.450e+13           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 4P2.5       
   36   47         1.9315      4.051e-01      1.810e+14           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 2P1.5       
   36   49         1.9280      2.609e-02      1.170e+13           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 2P1.5       
   37   44         1.9343      7.969e-04      3.550e+11           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 4P1.5       
   37   45         1.9338      1.373e-02      4.080e+12           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 4P2.5       
   37   47         1.9321      1.299e-02      5.800e+12           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 2P1.5       
   37   49         1.9285      6.739e-01      3.020e+14           2p5.3s3p 2D2.5 -      1s.2s22p6.3s3p 2P1.5       
   38   43         1.9352      4.325e-04      3.850e+11           2p5.3s3p 2P1.5 -      1s.2s22p6.3s3p 4P0.5       
   38   44         1.9350      2.988e-04      1.330e+11           2p5.3s3p 2P1.5 -      1s.2s22p6.3s3p 4P1.5       
   38   45         1.9345      1.135e-03      3.370e+11           2p5.3s3p 2P1.5 -      1s.2s22p6.3s3p 4P2.5       
   38   46         1.9333      1.906e-03      1.700e+12           2p5.3s3p 2P1.5 -      1s.2s22p6.3s3p 2P0.5       
   38   47         1.9327      3.989e-03      1.780e+12           2p5.3s3p 2P1.5 -      1s.2s22p6.3s3p 2P1.5       
   38   48         1.9291      2.992e-01      2.680e+14           2p5.3s3p 2P1.5 -      1s.2s22p6.3s3p 2P0.5       
   38   49         1.9291      1.567e-01      7.020e+13           2p5.3s3p 2P1.5 -      1s.2s22p6.3s3p 2P1.5       
   39   43         1.9378      7.683e-04      6.820e+11           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 4P0.5       
   39   44         1.9375      6.036e-03      2.680e+12           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 4P1.5       
   39   46         1.9358      1.349e-02      1.200e+13           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P0.5       
   39   47         1.9352      2.449e-02      1.090e+13           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P1.5       
   39   48         1.9317      1.332e-01      1.190e+14           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P0.5       
   39   49         1.9317      4.881e-02      2.180e+13           2p5.3s3p 2P0.5 -      1s.2s22p6.3s3p 2P1.5       
   40   43         1.9385      0.000e+00      6.290e+09           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 4P0.5       
   40   44         1.9383      0.000e+00      3.240e+08           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 4P1.5       
   40   45         1.9378      0.000e+00      6.610e+09           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 4P2.5       
   40   46         1.9365      2.520e-04      2.240e+11           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P0.5       
   40   47         1.9360      0.000e+00      4.360e+10           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P1.5       
   40   48         1.9324      1.613e-01      1.440e+14           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P0.5       
   40   49         1.9324      3.025e-01      1.350e+14           2p5.3s3p 2D1.5 -      1s.2s22p6.3s3p 2P1.5       
   41   43         1.9404      1.231e-03      1.090e+12           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 4P0.5       
   41   44         1.9402      6.347e-03      2.810e+12           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 4P1.5       
   41   46         1.9384      3.190e-02      2.830e+13           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P0.5       
   41   47         1.9378      5.497e-02      2.440e+13           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P1.5       
   41   48         1.9343      3.480e-04      3.100e+11           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P0.5       
   41   49         1.9343      1.235e-01      5.500e+13           2p5.3s3p 2S0.5 -      1s.2s22p6.3s3p 2P1.5       
    1   42         0.0000      0.000e+00      9.200e+14                 3s 2S0.5 -       1s.2s22p6.3s2 2S0.5 auto
    1   43         0.0000      0.000e+00      9.140e+14                 3s 2S0.5 -      1s.2s22p6.3s3p 4P0.5 auto
    1   44         0.0000      0.000e+00      9.150e+14                 3s 2S0.5 -      1s.2s22p6.3s3p 4P1.5 auto
