    2   13        283.205      4.724e-03      7.857e+07    3s2.3p2 3P1 -   3s.3p3 1D2
    3   13        290.833      6.948e-03      1.096e+08    3s2.3p2 3P2 -   3s.3p3 1D2
    4   13        318.128      4.212e-01      5.551e+09    3s2.3p2 1D2 -   3s.3p3 1D2
    1   14        240.696      1.806e-01      6.929e+09    3s2.3p2 3P0 -   3s.3p3 3S1
    2   14        246.211      4.653e-01      1.706e+10    3s2.3p2 3P1 -   3s.3p3 3S1
    3   14        251.956      9.610e-01      3.366e+10    3s2.3p2 3P2 -   3s.3p3 3S1
    4   14        272.187      2.172e-02      6.519e+08    3s2.3p2 1D2 -   3s.3p3 3S1
    5   14        308.686      1.832e-02      4.274e+08    3s2.3p2 1S0 -   3s.3p3 3S1
    2   15        236.164      4.983e-03      1.192e+08    3s2.3p2 3P1 - 3s2.3p3d 3F2
    3   15        241.444      6.954e-03      1.591e+08    3s2.3p2 3P2 - 3s2.3p3d 3F2
    4   15        259.961      1.838e-02      3.628e+08    3s2.3p2 1D2 - 3s2.3p3d 3F2
    3   16        237.613      2.037e-02      3.438e+08    3s2.3p2 3P2 - 3s2.3p3d 3F3
    4   16        255.524      1.449e-03      2.115e+07    3s2.3p2 1D2 - 3s2.3p3d 3F3
    1   17        228.284      2.190e-02      9.342e+08    3s2.3p2 3P0 -   3s.3p3 1P1
    2   17        233.239      1.314e-01      5.371e+09    3s2.3p2 3P1 -   3s.3p3 1P1
    3   17        238.389      2.624e-02      1.027e+09    3s2.3p2 3P2 -   3s.3p3 1P1
    4   17        256.422      8.908e-01      3.012e+10    3s2.3p2 1D2 -   3s.3p3 1P1
    5   17        288.565      1.628e-01      4.346e+09    3s2.3p2 1S0 -   3s.3p3 1P1
    3   18        232.541      0.000e+00      2.583e+01    3s2.3p2 3P2 - 3s2.3p3d 3F4
    4   18        249.669      0.000e+00      2.222e+01    3s2.3p2 1D2 - 3s2.3p3d 3F4
