SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
             1.78E-22  3.23E-19  2.20E-18  3.42E-18  2.10E-18  9.98E-19  4.09E-19  1.13E-19  4.12E-20
    13       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.79E-41  1.47E-28
             1.40E-22  2.54E-19  1.74E-18  2.70E-18  1.66E-18  7.88E-19  3.23E-19  8.93E-20  3.25E-20
    14       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.52E-41  1.17E-28
             1.11E-22  2.03E-19  1.39E-18  2.16E-18  1.33E-18  6.32E-19  2.59E-19  7.17E-20  2.61E-20
    15       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.60E-41  9.37E-29
             9.00E-23  1.65E-19  1.13E-18  1.76E-18  1.08E-18  5.14E-19  2.11E-19  5.83E-20  2.12E-20
    16       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.91E-41  7.66E-29
             7.39E-23  1.36E-19  9.30E-19  1.45E-18  8.91E-19  4.24E-19  1.74E-19  4.80E-20  1.75E-20
    17       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.99E-41  5.30E-29
             5.15E-23  9.51E-20  6.52E-19  1.02E-18  6.25E-19  2.97E-19  1.22E-19  3.37E-20  1.23E-20
    18       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.42E-41  3.82E-29
             3.73E-23  6.91E-20  4.74E-19  7.39E-19  4.55E-19  2.16E-19  8.88E-20  2.45E-20  8.94E-21
    19       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.05E-41  2.85E-29
             2.79E-23  5.18E-20  3.56E-19  5.54E-19  3.41E-19  1.62E-19  6.66E-20  1.84E-20  6.71E-21
    20       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.04E-42  1.92E-29
             1.89E-23  3.51E-20  2.42E-19  3.77E-19  2.32E-19  1.10E-19  4.53E-20  1.25E-20  4.56E-21
    21       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.43E-42  1.22E-29
             1.20E-23  2.24E-20  1.54E-19  2.40E-19  1.48E-19  7.05E-20  2.89E-20  8.00E-21  2.91E-21
    22       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.47E-42  6.84E-30
             6.77E-24  1.26E-20  8.70E-20  1.36E-19  8.37E-20  3.98E-20  1.63E-20  4.51E-21  1.64E-21
    23       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.77E-42  4.91E-30
             4.87E-24  9.09E-21  6.26E-20  9.77E-20  6.02E-20  2.86E-20  1.17E-20  3.25E-21  1.18E-21
    24       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.14E-42  3.18E-30
             3.16E-24  5.90E-21  4.06E-20  6.34E-20  3.91E-20  1.86E-20  7.63E-21  2.11E-21  7.69E-22
    25       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.83E-43  2.46E-30
             2.44E-24  4.57E-21  3.14E-20  4.91E-20  3.03E-20  1.44E-20  5.90E-21  1.63E-21  5.95E-22
    26       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.22E-43  1.73E-30
             1.72E-24  3.22E-21  2.22E-20  3.46E-20  2.14E-20  1.02E-20  4.17E-21  1.15E-21  4.20E-22
    27       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.53E-43  1.26E-30
             1.26E-24  2.35E-21  1.62E-20  2.53E-20  1.56E-20  7.42E-21  3.04E-21  8.42E-22  3.07E-22
    28       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.01E-43  8.41E-31
             8.36E-25  1.57E-21  1.08E-20  1.68E-20  1.04E-20  4.94E-21  2.03E-21  5.60E-22  2.04E-22
    29       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.94E-43  5.42E-31
             5.39E-25  1.01E-21  6.96E-21  1.09E-20  6.70E-21  3.19E-21  1.31E-21  3.61E-22  1.32E-22
    30       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-43  2.87E-31
             2.86E-25  5.36E-22  3.69E-21  5.76E-21  3.55E-21  1.69E-21  6.93E-22  1.92E-22  6.98E-23
    31       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.75E-44  1.89E-31
             1.88E-25  3.52E-22  2.42E-21  3.78E-21  2.33E-21  1.11E-21  4.55E-22  1.26E-22  4.59E-23
    32       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.73E-44  1.04E-31
             1.04E-25  1.95E-22  1.34E-21  2.10E-21  1.29E-21  6.15E-22  2.52E-22  6.97E-23  2.54E-23
    33       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.41E-44  6.74E-32
             6.70E-26  1.26E-22  8.66E-22  1.35E-21  8.33E-22  3.96E-22  1.63E-22  4.50E-23  1.64E-23
    34       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.28E-44  3.58E-32
             3.56E-26  6.67E-23  4.60E-22  7.18E-22  4.42E-22  2.11E-22  8.64E-23  2.39E-23  8.70E-24
    35       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.87E-45  2.20E-32
             2.19E-26  4.11E-23  2.83E-22  4.42E-22  2.73E-22  1.30E-22  5.32E-23  1.47E-23  5.36E-24
    36       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.78E-45  1.06E-32
             1.05E-26  1.97E-23  1.36E-22  2.12E-22  1.31E-22  6.23E-23  2.56E-23  7.07E-24  2.57E-24
    37       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.32E-45  6.49E-33
             6.46E-27  1.21E-23  8.35E-23  1.30E-22  8.04E-23  3.82E-23  1.57E-23  4.34E-24  1.58E-24
    38       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.12E-45  3.13E-33
             3.12E-27  5.84E-24  4.03E-23  6.29E-23  3.88E-23  1.84E-23  7.57E-24  2.09E-24  7.62E-25
    39       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.65E-46  1.86E-33
             1.85E-27  3.48E-24  2.40E-23  3.74E-23  2.31E-23  1.10E-23  4.50E-24  1.24E-24  4.53E-25
    40       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.97E-46  8.32E-34
             8.28E-28  1.55E-24  1.07E-23  1.67E-23  1.03E-23  4.90E-24  2.01E-24  5.56E-25  2.02E-25
    41       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.91E-46  5.35E-34
             5.32E-28  9.98E-25  6.88E-24  1.07E-23  6.62E-24  3.15E-24  1.29E-24  3.57E-25  1.30E-25
    42       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.02E-46  2.86E-34
             2.85E-28  5.34E-25  3.68E-24  5.74E-24  3.54E-24  1.68E-24  6.91E-25  1.91E-25  6.96E-26

                                                                                     --------------------------
                                                                                     PRTF= 5  LVLPRT= (1P  1.0)
   ILREP
   -----
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.56E-33  1.96E-23
             8.69E-19  2.52E-16  9.32E-16  1.07E-15  5.46E-16  2.44E-16  9.71E-17  2.63E-17  9.54E-18
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.82E-38  2.25E-26
             8.29E-21  8.57E-18  4.84E-17  6.85E-17  3.98E-17  1.86E-17  7.54E-18  2.07E-18  7.53E-19
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.18E-37  9.99E-26
             4.02E-20  4.38E-17  2.52E-16  3.60E-16  2.10E-16  9.81E-17  3.99E-17  1.10E-17  3.99E-18
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.56E-39  4.91E-27
             2.21E-21  2.58E-18  1.52E-17  2.19E-17  1.29E-17  6.03E-18  2.45E-18  6.75E-19  2.46E-19
     7       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.55E-39  2.84E-27
             1.78E-21  2.52E-18  1.59E-17  2.36E-17  1.42E-17  6.68E-18  2.73E-18  7.53E-19  2.74E-19
     8       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.41E-39  9.98E-27
             6.46E-21  9.36E-18  5.92E-17  8.85E-17  5.32E-17  2.51E-17  1.03E-17  2.83E-18  1.03E-18
     9       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.56E-40  9.72E-28
             6.56E-22  9.74E-19  6.21E-18  9.33E-18  5.62E-18  2.65E-18  1.08E-18  2.99E-19  1.09E-19
    10       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.75E-42  6.20E-30
             4.22E-24  6.29E-21  4.02E-20  6.04E-20  3.64E-20  1.72E-20  7.03E-21  1.94E-21  7.06E-22

   INREP
   -----
     2       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.56E-33  1.96E-23
             8.69E-19  2.52E-16  9.32E-16  1.07E-15  5.46E-16  2.44E-16  9.71E-17  2.63E-17  9.54E-18
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.85E-37  1.27E-25
             5.07E-20  5.50E-17  3.16E-16  4.50E-16  2.63E-16  1.23E-16  4.99E-17  1.37E-17  4.99E-18
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.17E-38  1.38E-26
             8.90E-21  1.29E-17  8.13E-17  1.22E-16  7.30E-17  3.45E-17  1.41E-17  3.88E-18  1.41E-18

                                                                                     --------------------------
                                                                                     PRTF= 6  LVLPRT= (3P  0.0)
   ILREP
   -----
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.17E-33  1.20E-23
             5.29E-19  1.53E-16  5.67E-16  6.49E-16  3.32E-16  1.49E-16  5.91E-17  1.60E-17  5.81E-18
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.10E-40  1.13E-28
             2.51E-23  1.92E-20  9.80E-20  1.32E-19  7.43E-20  3.43E-20  1.39E-20  3.80E-21  1.38E-21
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.11E-39  2.31E-28
             6.76E-23  6.30E-20  3.46E-19  4.84E-19  2.79E-19  1.30E-19  5.27E-20  1.45E-20  5.26E-21
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.82E-41  6.14E-30
             1.75E-24  1.58E-21  8.56E-21  1.19E-20  6.81E-21  3.16E-21  1.28E-21  3.52E-22  1.28E-22

   INREP
   -----
     2       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.17E-33  1.20E-23
             5.29E-19  1.53E-16  5.67E-16  6.49E-16  3.32E-16  1.49E-16  5.91E-17  1.60E-17  5.81E-18
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.95E-39  3.50E-28
             9.45E-23  8.38E-20  4.53E-19  6.27E-19  3.60E-19  1.67E-19  6.78E-20  1.86E-20  6.77E-21

                                                                                     --------------------------
                                                                                     PRTF= 7  LVLPRT= (3P  1.0)
   ILREP
   -----
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.07E-37  7.34E-26
             1.66E-20  1.29E-17  6.61E-17  8.90E-17  5.03E-17  2.32E-17  9.39E-18  2.57E-18  9.34E-19
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.78E-37  1.19E-25
             2.96E-20  2.43E-17  1.27E-16  1.73E-16  9.84E-17  4.55E-17  1.84E-17  5.05E-18  1.84E-18
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.45E-40  1.19E-28
             3.90E-23  3.89E-20  2.18E-19  3.08E-19  1.79E-19  8.34E-20  3.39E-20  9.31E-21  3.39E-21

   INREP
   -----
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.19E-36  1.92E-25
             4.63E-20  3.72E-17  1.94E-16  2.63E-16  1.49E-16  6.89E-17  2.78E-17  7.64E-18  2.77E-18

                                                                                     --------------------------
                                                                                     PRTF= 8  LVLPRT= (3P  2.0)
   ILREP
   -----
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.99E-37  1.45E-25
             3.29E-20  2.55E-17  1.31E-16  1.76E-16  9.95E-17  4.60E-17  1.86E-17  5.10E-18  1.85E-18
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.66E-36  2.95E-25
             7.41E-20  6.09E-17  3.19E-16  4.35E-16  2.47E-16  1.14E-16  4.63E-17  1.27E-17  4.61E-18
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.87E-38  7.16E-27
             2.15E-21  1.96E-18  1.07E-17  1.48E-17  8.50E-18  3.95E-18  1.60E-18  4.40E-19  1.60E-19

   INREP
   -----
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.69E-36  4.47E-25
             1.09E-19  8.84E-17  4.61E-16  6.26E-16  3.55E-16  1.64E-16  6.64E-17  1.82E-17  6.62E-18

                                                                                     --------------------------
                                                                                     PRTF= 9  LVLPRT= (1D  2.0)
   ILREP
   -----
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.87E-33  1.11E-23
             5.24E-19  1.62E-16  6.17E-16  7.18E-16  3.72E-16  1.67E-16  6.65E-17  1.81E-17  6.55E-18
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.29E-38  1.89E-27
             4.33E-22  3.38E-19  1.74E-18  2.35E-18  1.33E-18  6.14E-19  2.48E-19  6.81E-20  2.47E-20
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.58E-36  1.29E-24
             3.39E-19  2.88E-16  1.52E-15  2.09E-15  1.19E-15  5.51E-16  2.23E-16  6.12E-17  2.22E-17
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.33E-37  2.07E-25
             6.17E-20  5.62E-17  3.05E-16  4.22E-16  2.42E-16  1.12E-16  4.56E-17  1.25E-17  4.55E-18

   INREP
   -----
     2       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.87E-33  1.11E-23
             5.24E-19  1.62E-16  6.17E-16  7.18E-16  3.72E-16  1.67E-16  6.65E-17  1.81E-17  6.55E-18
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.43E-36  1.49E-24
             4.02E-19  3.44E-16  1.83E-15  2.51E-15  1.43E-15  6.64E-16  2.69E-16  7.38E-17  2.68E-17

                                                                                     --------------------------
                                                                                     PRTF=10  LVLPRT= (1S  0.0)
   ILREP
   -----
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.32E-40  9.96E-29
             2.49E-23  2.11E-20  1.12E-19  1.54E-19  8.81E-20  4.09E-20  1.66E-20  4.54E-21  1.65E-21
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.57E-37  7.25E-26
             2.00E-20  1.78E-17  9.57E-17  1.32E-16  7.59E-17  3.52E-17  1.43E-17  3.92E-18  1.42E-18
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.73E-38  1.48E-26
             4.63E-21  4.42E-18  2.44E-17  3.42E-17  1.97E-17  9.19E-18  3.73E-18  1.02E-18  3.72E-19

   INREP
   -----
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.15E-37  8.75E-26
             2.47E-20  2.22E-17  1.20E-16  1.67E-16  9.57E-17  4.45E-17  1.80E-17  4.95E-18  1.80E-18



 --------------------------
 PRTI= 2  LVLPRT= (3P  0.0)

   INDX TE=  3.60E+02  7.20E+02  1.80E+03  3.60E+03  7.20E+03  1.80E+04  3.60E+04  7.20E+04  1.80E+05  3.60E+05
   ---- ---  7.20E+05  1.80E+06  3.60E+06  7.20E+06  1.80E+07  3.60E+07  7.20E+07  1.80E+08  3.60E+08
     1       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.05E-32  3.76E-23
             1.35E-18  3.45E-16  1.23E-15  1.38E-15  7.01E-16  3.12E-16  1.24E-16  3.36E-17  1.22E-17
     2       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.38E-33  2.38E-23
             8.72E-19  2.30E-16  8.29E-16  9.39E-16  4.78E-16  2.13E-16  8.48E-17  2.30E-17  8.33E-18
     3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.54E-32  7.73E-23
             3.46E-18  1.12E-15  4.48E-15  5.39E-15  2.86E-15  1.29E-15  5.17E-16  1.41E-16  5.11E-17
     4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.49E-32  4.28E-22
             1.92E-17  6.20E-15  2.48E-14  2.98E-14  1.58E-14  7.15E-15  2.86E-15  7.80E-16  2.83E-16
     5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.22E-32  2.23E-22
             1.01E-17  3.18E-15  1.24E-14  1.47E-14  7.72E-15  3.48E-15  1.39E-15  3.78E-16  1.37E-16
     6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.03E-32  2.11E-22
             1.06E-17  3.35E-15  1.28E-14  1.49E-14  7.74E-15  3.47E-15  1.38E-15  3.76E-16  1.36E-16
     7       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.62E-32  1.86E-22
             9.39E-18  2.96E-15  1.13E-14  1.32E-14  6.81E-15  3.06E-15  1.22E-15  3.31E-16  1.20E-16
     8       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.47E-33  5.89E-23
             3.12E-18  1.01E-15  3.91E-15  4.57E-15  2.37E-15  1.07E-15  4.25E-16  1.15E-16  4.18E-17
     9       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.50E-33  1.09E-23
             5.75E-19  2.00E-16  8.12E-16  9.79E-16  5.19E-16  2.35E-16  9.39E-17  2.56E-17  9.28E-18
    10       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.75E-33  1.31E-23
             6.94E-19  2.38E-16  9.52E-16  1.14E-15  6.01E-16  2.71E-16  1.08E-16  2.95E-17  1.07E-17
    11       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.93E-33  9.10E-24
             3.28E-19  8.81E-17  3.21E-16  3.64E-16  1.86E-16  8.30E-17  3.30E-17  8.95E-18  3.24E-18
    12       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.61E-34  1.46E-24
             6.02E-20  1.77E-17  6.65E-17  7.69E-17  3.96E-17  1.78E-17  7.08E-18  1.92E-18  6.96E-19
    13       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.20E-34  4.55E-25
             1.76E-20  4.92E-18  1.83E-17  2.11E-17  1.09E-17  4.87E-18  1.94E-18  5.27E-19  1.91E-19
    14       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.23E-35  4.26E-25
             2.07E-20  7.20E-18  2.92E-17  3.53E-17  1.87E-17  8.47E-18  3.39E-18  9.24E-19  3.35E-19
    15       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.49E-35  4.24E-25
             2.19E-20  7.82E-18  3.19E-17  3.86E-17  2.05E-17  9.26E-18  3.70E-18  1.01E-18  3.66E-19
    16       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.09E-35  1.14E-24
             2.19E-19  1.53E-16  7.60E-16  1.01E-15  5.63E-16  2.59E-16  1.05E-16  2.86E-17  1.04E-17
    17       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.09E-36  3.88E-25
             8.17E-20  6.03E-17  3.05E-16  4.08E-16  2.29E-16  1.06E-16  4.27E-17  1.17E-17  4.24E-18
    18       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.49E-36  1.88E-25
             3.96E-20  2.93E-17  1.48E-16  1.98E-16  1.11E-16  5.14E-17  2.07E-17  5.68E-18  2.06E-18
    19       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.22E-37  1.75E-26
             3.95E-21  3.04E-18  1.56E-17  2.10E-17  1.18E-17  5.47E-18  2.21E-18  6.06E-19  2.20E-19
    20       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.19E-38  6.17E-27
             1.41E-21  1.09E-18  5.61E-18  7.56E-18  4.27E-18  1.97E-18  7.97E-19  2.19E-19  7.94E-20
    21       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.19E-36  4.69E-25
             1.07E-19  8.31E-17  4.27E-16  5.75E-16  3.25E-16  1.50E-16  6.06E-17  1.66E-17  6.04E-18
    22       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.16E-36  3.23E-25
             7.45E-20  5.81E-17  2.99E-16  4.04E-16  2.28E-16  1.05E-16  4.26E-17  1.17E-17  4.24E-18
    23       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.94E-36  2.90E-25
             6.70E-20  5.24E-17  2.70E-16  3.64E-16  2.06E-16  9.51E-17  3.84E-17  1.05E-17  3.83E-18
    24       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.51E-36  1.04E-24
             2.47E-19  1.97E-16  1.02E-15  1.38E-15  7.80E-16  3.61E-16  1.46E-16  4.00E-17  1.45E-17
    25       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.61E-36  8.92E-25
             2.12E-19  1.68E-16  8.72E-16  1.18E-15  6.68E-16  3.09E-16  1.25E-16  3.43E-17  1.24E-17
    26       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.64E-36  1.35E-24
             3.38E-19  2.77E-16  1.45E-15  1.97E-15  1.12E-15  5.17E-16  2.09E-16  5.74E-17  2.08E-17
    27       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.27E-35  2.23E-24
             5.54E-19  4.52E-16  2.36E-15  3.21E-15  1.82E-15  8.44E-16  3.41E-16  9.36E-17  3.40E-17
    28       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.13E-35  1.95E-24
             4.83E-19  3.94E-16  2.06E-15  2.79E-15  1.59E-15  7.34E-16  2.97E-16  8.14E-17  2.96E-17
    29       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.29E-36  1.35E-24
             3.48E-19  2.91E-16  1.53E-15  2.09E-15  1.19E-15  5.51E-16  2.23E-16  6.11E-17  2.22E-17
    30       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.26E-35  2.22E-24
             5.56E-19  4.55E-16  2.38E-15  3.23E-15  1.83E-15  8.49E-16  3.43E-16  9.42E-17  3.42E-17
    31       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.08E-35  1.94E-24
             4.88E-19  4.01E-16  2.10E-15  2.86E-15  1.62E-15  7.51E-16  3.04E-16  8.33E-17  3.03E-17
    32       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.11E-36  1.27E-24
