SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    74     8    1S2 2P2 3S1         (2)1( 1.5)  1027018.0 
    75     5    1S2 2S1 2P1 3D1     (2)3( 3.5)  1032343.0 
    76     5    1S2 2S1 2P1 3D1     (2)3( 2.5)  1032375.6 
    77     5    1S2 2S1 2P1 3D1     (2)2( 1.5)  1033166.7 
    78     5    1S2 2S1 2P1 3D1     (2)2( 2.5)  1033308.7 
    79     6    1S2 2P2 3P1         (2)0( 0.5)  1040865.3 
    80     5    1S2 2S1 2P1 3D1     (2)1( 0.5)  1043229.8 
    81     5    1S2 2S1 2P1 3D1     (2)1( 1.5)  1043326.4 
    82     7    1S2 2P2 3P1         (4)2( 0.5)  1046975.9 
    83     6    1S2 2P2 3P1         (4)2( 1.5)  1047352.4 
    84     7    1S2 2P2 3P1         (4)2( 2.5)  1047984.7 
    85     8    1S2 2P2 3P1         (4)2( 3.5)  1048877.8 
    86     9    1S2 2P2 3S1         (2)2( 2.5)  1051346.7 
    87     9    1S2 2P2 3S1         (2)2( 1.5)  1051356.7 
    88     7    1S2 2P2 3P1         (4)1( 0.5)  1052369.1 
    89     7    1S2 2P2 3P1         (4)1( 1.5)  1052700.0 
    90     8    1S2 2P2 3P1         (4)1( 2.5)  1053313.5 
    91     7    1S2 2P2 3P1         (2)2( 1.5)  1061751.2 
    92     8    1S2 2P2 3P1         (2)2( 2.5)  1062913.7 
    93     8    1S2 2P2 3P1         (2)1( 1.5)  1072298.6 
    94     8    1S2 2P2 3P1         (2)1( 0.5)  1072402.6 
    95     8    1S2 2P2 3P1         (4)0( 1.5)  1075245.5 
    96     1    1S2 2S2 5S1         (2)0( 0.5)  1083159.6 
    97     2    1S2 2S1 2P1 4S1     (4)1( 0.5)  1083168.9 
    98     3    1S2 2S1 2P1 4S1     (4)1( 1.5)  1083759.7 
    99     4    1S2 2S1 2P1 4S1     (4)1( 2.5)  1084805.8 
   100     6    1S2 2P2 3D1         (4)3( 1.5)  1086071.7 
   101     6    1S2 2P2 3D1         (4)3( 2.5)  1086421.2 
   102     7    1S2 2P2 3D1         (4)3( 3.5)  1086924.2 
   103     8    1S2 2P2 3D1         (4)3( 4.5)  1087595.4 
   104     9    1S2 2P2 3P1         (2)3( 2.5)  1089399.1 
   105     9    1S2 2P2 3P1         (2)3( 3.5)  1089736.9 
   106     3    1S2 2S1 2P1 4S1     (2)1( 0.5)  1091082.2 
   107     4    1S2 2S1 2P1 4S1     (2)1( 1.5)  1092286.2 
   108     1    1S2 2S2 5P1         (2)1( 0.5)  1092509.8 
   109     1    1S2 2S2 5P1         (2)1( 1.5)  1092599.8 
   110     7    1S2 2P2 3D1         (2)1( 1.5)  1093002.1 
   111     7    1S2 2P2 3D1         (4)2( 0.5)  1093225.0 
   112     7    1S2 2P2 3D1         (4)2( 2.5)  1093788.5 
   113     7    1S2 2P2 3D1         (4)2( 1.5)  1093853.8 
   114     8    1S2 2P2 3D1         (4)2( 3.5)  1094085.2 
   115     8    1S2 2P2 3D1         (2)1( 0.5)  1094534.5 
