  1     1        2s2.2p5  2  1 P  1.5  4          0.000       0.000000          0.000       0.000000  
  2     1        2s2.2p5  2  1 P  0.5  2     102579.000       0.934769     102477.932       0.933848  
  3     2         2s.2p6  2  0 S  0.5  2    1064702.000       9.702279    1075211.183       9.798046  
  4     3 2s2.2p4(3P).3s  4  1 P  2.5  6    6220453.000      56.684940    6212565.767      56.613068  
  5     3 2s2.2p4(3P).3s  2  1 P  1.5  4    6247267.000      56.929287    6241056.287      56.872692  
  6     3 2s2.2p4(3P).3s  4  1 P  0.5  2    6300006.000      57.409882    6290527.645      57.323509  
  7     3 2s2.2p4(3P).3s  4  1 P  1.5  4    6317119.000      57.565826    6309561.528      57.496958  
  8     3 2s2.2p4(3P).3s  2  1 P  0.5  2    6340994.000      57.783390    6335867.816      57.736679  
  9     3 2s2.2p4(1D).3s  2  2 D  2.5  6    6399181.000      58.313629    6392733.663      58.254878  
 10     3 2s2.2p4(1D).3s  2  2 D  1.5  4    6402484.000      58.343727    6396798.885      58.291923  
 11     4 2s2.2p4(3P).3p  4  1 P  1.5  4          0.000       0.000000    6458510.705      58.854283  
 12     4 2s2.2p4(3P).3p  4  1 P  2.5  6          0.000       0.000000    6462137.308      58.887331  
 13     4 2s2.2p4(3P).3p  2  1 P  0.5  2          0.000       0.000000    6490177.395      59.142851  
 14     4 2s2.2p4(3P).3p  4  2 D  3.5  8          0.000       0.000000    6495967.555      59.195615  
 15     4 2s2.2p4(3P).3p  2  2 D  2.5  6    6505334.000      59.280968    6497176.094      59.206628  
 16     3 2s2.2p4(1S).3s  2  0 S  0.5  2    6547954.000      59.669350    6544894.946      59.641474  
 17     4 2s2.2p4(3P).3p  4  2 D  0.5  2          0.000       0.000000    6546874.884      59.659517  
 18     4 2s2.2p4(3P).3p  4  2 D  1.5  4          0.000       0.000000    6550013.148      59.688115  
 19     4 2s2.2p4(3P).3p  4  1 P  0.5  2          0.000       0.000000    6550737.780      59.694718  
 20     4 2s2.2p4(3P).3p  2  1 P  1.5  4          0.000       0.000000    6565854.616      59.832473  
 21     4 2s2.2p4(3P).3p  4  2 D  2.5  6          0.000       0.000000    6582255.310      59.981927  
 22     4 2s2.2p4(3P).3p  4  0 S  1.5  4          0.000       0.000000    6585203.063      60.008789  
 23     4 2s2.2p4(3P).3p  2  0 S  0.5  2          0.000       0.000000    6602164.953      60.163357  
 24     4 2s2.2p4(3P).3p  2  2 D  1.5  4          0.000       0.000000    6608068.337      60.217152  
 25     4 2s2.2p4(1D).3p  2  3 F  2.5  6          0.000       0.000000    6641595.341      60.522673  
 26     4 2s2.2p4(1D).3p  2  3 F  3.5  8          0.000       0.000000    6662464.431      60.712846  
 27     4 2s2.2p4(1D).3p  2  2 D  1.5  4          0.000       0.000000    6678336.420      60.857482  
 28     4 2s2.2p4(1D).3p  2  2 D  2.5  6          0.000       0.000000    6690525.194      60.968555  
 29     4 2s2.2p4(1D).3p  2  1 P  1.5  4    6749292.000      61.504074    6744800.188      61.463145  
