SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114332270.4   NPRNTI=10   NPRNTF=55
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    82  9999    3S1 3P2 3D1         (3)1( 2.0)   373306.0 
    83  9999    3S1 3P2 3D1         (3)0( 1.0)   376525.4 
    84  9999    3S1 3P2 3D1         (3)2( 1.0)   382115.2 
    85  9999    3S1 3P2 3D1         (3)2( 2.0)   382488.1 
    86  9999    3S1 3P2 3D1         (3)2( 3.0)   383199.9 
    87     2    3S2 3P1 4P1         (1)0( 0.0)   385362.2 
    88  9999    3S1 3P2 3D1         (3)3( 2.0)   388337.4 
    89  9999    3S1 3P2 3D1         (3)3( 3.0)   388535.3 
    90  9999    3S1 3P2 3D1         (3)3( 4.0)   388794.6 
    91  9999    3S1 3P2 3D1         (1)2( 2.0)   390607.5 
    92  9999    3S1 3P2 3D1         (3)2( 3.0)   403441.3 
    93  9999    3S1 3P2 3D1         (3)2( 2.0)   403917.1 
    94  9999    3S1 3P2 3D1         (3)2( 1.0)   404237.5 
    95  9999    3S1 3P2 3D1         (1)2( 2.0)   406622.0 
    96  9999    3S1 3P2 3D1         (1)0( 0.0)   409736.5 
    97     3    3S1 3P2 4S1         (5)1( 1.0)   412791.4 
    98     4    3S1 3P2 4S1         (5)1( 2.0)   413425.1 
    99     5    3S1 3P2 4S1         (5)1( 3.0)   414344.6 
   100     1    3S2 3P1 4D1         (1)2( 2.0)   418677.2 
   101     1    3S2 3P1 4D1         (3)2( 1.0)   420278.5 
   102     1    3S2 3P1 4D1         (3)2( 2.0)   420308.9 
   103     1    3S2 3P1 4D1         (3)2( 3.0)   420612.3 
   104  9999    3S1 3P2 3D1         (1)1( 1.0)   421743.3 
   105     2    3S2 3P1 4D1         (3)3( 2.0)   421744.3 
   106  9999    3S1 3P2 3D1         (3)1( 2.0)   422026.8 
   107     2    3S2 3P1 4D1         (3)3( 3.0)   422216.2 
   108  9999    3S1 3P2 3D1         (3)1( 0.0)   422734.1 
   109     2    3S2 3P1 4D1         (3)3( 4.0)   422837.7 
   110  9999    3S1 3P2 3D1         (3)1( 1.0)   422947.6 
   111     2    3S2 3P1 4D1         (3)1( 2.0)   425341.7 
   112     2    3S2 3P1 4D1         (3)1( 1.0)   425788.1 
   113     2    3S2 3P1 4D1         (3)1( 0.0)   426062.2 
   114     2    3S2 3P1 4D1         (1)3( 3.0)   427494.5 
   115     3    3S1 3P2 4S1         (3)1( 0.0)   428447.9 
   116     4    3S1 3P2 4S1         (3)1( 1.0)   428970.3 
   117     2    3S2 3P1 4D1         (1)1( 1.0)   429856.0 
   118     5    3S1 3P2 4S1         (3)1( 2.0)   429969.2 
   119  9999    3S1 3P2 3D1         (1)3( 3.0)   437848.2 
   120  9999    3P3 3D1             (1)0( 0.0)   445077.6 
   121     1    3S2 3P1 4F1         (1)3( 3.0)   445357.2 
   122     1    3S2 3P1 4F1         (3)3( 3.0)   446836.8 
   123     1    3S2 3P1 4F1         (3)3( 2.0)   446877.8 
   124     1    3S2 3P1 4F1         (3)3( 4.0)   447065.4 
   125     2    3S2 3P1 4F1         (3)4( 3.0)   448373.7 
   126     2    3S2 3P1 4F1         (3)4( 4.0)   448817.1 
   127     2    3S2 3P1 4F1         (3)4( 5.0)   449375.3 
   128     6    3S1 3P2 4S1         (3)2( 1.0)   450016.5 
   129     6    3S1 3P2 4S1         (3)2( 2.0)   450042.4 
   130     7    3S1 3P2 4S1         (3)2( 3.0)   450073.5 
   131  9999    3P3 3D1             (3)3( 2.0)   451834.9 
   132     2    3S2 3P1 4F1         (3)2( 3.0)   451908.9 
   133  9999    3P3 3D1             (3)3( 3.0)   452133.5 
   134     2    3S2 3P1 4F1         (3)2( 2.0)   452371.5 
   135  9999    3P3 3D1             (3)3( 4.0)   452557.1 
   136     2    3S2 3P1 4F1         (3)2( 1.0)   452757.6 
   137  9999    3S1 3P2 3D1         (1)2( 2.0)   453084.8 
   138     3    3S1 3P2 4P1         (3)0( 1.0)   453157.1 
   139  9999    3P3 3D1             (3)2( 3.0)   453896.2 
   140  9999    3P3 3D1             (3)2( 2.0)   453916.6 
   141  9999    3P3 3D1             (3)2( 1.0)   453974.3 
   142     1    3S2 3P1 5S1         (3)1( 0.0)   454571.1 
   143     3    3S1 3P2 4P1         (5)2( 0.0)   454628.0 
   144     3    3S1 3P2 4P1         (5)2( 1.0)   454829.9 
   145     1    3S2 3P1 5S1         (3)1( 1.0)   454912.2 
   146     3    3S1 3P2 4P1         (5)2( 2.0)   455231.0 
   147     2    3S2 3P1 4F1         (1)4( 4.0)   455485.3 
   148     4    3S1 3P2 4P1         (5)2( 3.0)   455838.1 
   149     2    3S2 3P1 4F1         (1)2( 2.0)   456151.4 
   150  9999    3P3 3D1             (5)2( 0.0)   456218.9 
   151  9999    3P3 3D1             (5)2( 1.0)   456239.8 
   152  9999    3P3 3D1             (5)2( 2.0)   456282.4 
   153  9999    3P3 3D1             (5)2( 3.0)   456345.3 
   154     2    3S2 3P1 5S1         (3)1( 2.0)   456377.6 
   155  9999    3P3 3D1             (5)2( 4.0)   456418.2 
   156     5    3S1 3P2 4P1         (5)2( 4.0)   456649.3 
   157     2    3S2 3P1 5S1         (1)1( 1.0)   457951.6 
   158     4    3S1 3P2 4P1         (5)1( 1.0)   459508.5 
   159     4    3S1 3P2 4P1         (5)1( 2.0)   459676.0 
   160     5    3S1 3P2 4P1         (5)1( 3.0)   460433.1 
   161     7    3S1 3P2 4S1         (1)2( 2.0)   460904.2 
   162     4    3S1 3P2 4P1         (5)0( 2.0)   460908.7 
   163  9999    3S2 3D2             (3)3( 2.0)   461931.8 
   164  9999    3S2 3D2             (3)3( 3.0)   461992.0 
   165  9999    3S2 3D2             (3)3( 4.0)   462078.2 
