SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114332270.4   NPRNTI=10   NPRNTF=55
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
             3.83E-17  1.00E-17  3.59E-18  1.28E-18  3.25E-19  1.15E-19  4.06E-20  1.03E-20  3.64E-21
  1347       6.55E-33  4.67E-33  3.02E-33  2.22E-33  1.69E-33  1.30E-33  1.20E-33  1.19E-33  1.13E-33  9.31E-34
             6.33E-34  2.90E-34  1.36E-34  5.82E-35  1.70E-35  6.34E-36  2.31E-36  5.96E-37  2.12E-37
  1348       1.02E-33  7.27E-34  4.71E-34  3.46E-34  2.63E-34  2.03E-34  1.87E-34  1.86E-34  1.77E-34  1.45E-34
             9.87E-35  4.52E-35  2.13E-35  9.08E-36  2.65E-36  9.90E-37  3.61E-37  9.31E-38  3.31E-38
  1357       1.04E-21  7.40E-22  4.73E-22  3.41E-22  2.50E-22  1.71E-22  1.32E-22  1.02E-22  6.61E-23  4.20E-23
             2.35E-23  8.99E-24  3.87E-24  1.55E-24  4.27E-25  1.56E-25  5.63E-26  1.44E-26  5.11E-27
  1358       4.83E-15  3.41E-15  2.15E-15  1.51E-15  1.06E-15  6.51E-16  4.38E-16  2.83E-16  1.43E-16  7.74E-17
             3.81E-17  1.30E-17  5.32E-18  2.06E-18  5.55E-19  2.01E-19  7.21E-20  1.84E-20  6.52E-21
  1359       5.44E-33  3.86E-33  2.46E-33  1.77E-33  1.29E-33  8.76E-34  6.67E-34  5.02E-34  3.12E-34  1.92E-34
             1.03E-34  3.79E-35  1.59E-35  6.29E-36  1.73E-36  6.30E-37  2.27E-37  5.79E-38  2.06E-38
  1360       1.27E-20  9.04E-21  5.85E-21  4.30E-21  3.28E-21  2.55E-21  2.39E-21  2.49E-21  2.72E-21  2.63E-21
             2.19E-21  1.33E-21  7.61E-22  3.82E-22  1.32E-22  5.38E-23  2.09E-23  5.64E-24  2.05E-24
  1373       1.58E-34  1.12E-34  7.15E-35  5.14E-35  3.74E-35  2.54E-35  1.93E-35  1.46E-35  9.06E-36  5.56E-36
             3.00E-36  1.10E-36  4.63E-37  1.83E-37  5.01E-38  1.83E-38  6.57E-39  1.68E-39  5.97E-40
  1374       1.44E-14  1.02E-14  6.43E-15  4.53E-15  3.17E-15  1.95E-15  1.31E-15  8.45E-16  4.28E-16  2.32E-16
             1.14E-16  3.90E-17  1.59E-17  6.16E-18  1.66E-18  6.03E-19  2.16E-19  5.51E-20  1.95E-20
  1375       2.79E-32  1.97E-32  1.25E-32  8.78E-33  6.15E-33  3.79E-33  2.56E-33  1.66E-33  8.50E-34  4.62E-34
             2.29E-34  7.87E-35  3.22E-35  1.25E-35  3.37E-36  1.22E-36  4.38E-37  1.12E-37  3.96E-38
  1408       4.13E-32  2.92E-32  1.83E-32  1.28E-32  8.89E-33  5.32E-33  3.46E-33  2.14E-33  1.01E-33  5.19E-34
             2.43E-34  7.86E-35  3.11E-35  1.18E-35  3.15E-36  1.13E-36  4.05E-37  1.03E-37  3.66E-38
  1409       1.01E-31  7.10E-32  4.46E-32  3.12E-32  2.16E-32  1.29E-32  8.44E-33  5.22E-33  2.47E-33  1.27E-33
             5.92E-34  1.92E-34  7.59E-35  2.88E-35  7.67E-36  2.77E-36  9.88E-37  2.52E-37  8.92E-38
  1418       1.91E-31  1.35E-31  8.52E-32  6.00E-32  4.21E-32  2.60E-32  1.76E-32  1.14E-32  5.86E-33  3.19E-33
             1.58E-33  5.45E-34  2.23E-34  8.65E-35  2.34E-35  8.48E-36  3.04E-36  7.75E-37  2.75E-37
  1427       1.49E-16  1.05E-16  6.64E-17  4.67E-17  3.28E-17  2.02E-17  1.36E-17  8.80E-18  4.47E-18  2.43E-18
             1.20E-18  4.10E-19  1.68E-19  6.49E-20  1.75E-20  6.35E-21  2.27E-21  5.80E-22  2.06E-22
  1436       1.09E-15  7.71E-16  4.86E-16  3.42E-16  2.40E-16  1.48E-16  9.97E-17  6.45E-17  3.28E-17  1.78E-17
             8.78E-18  3.01E-18  1.23E-18  4.76E-19  1.29E-19  4.66E-20  1.67E-20  4.26E-21  1.51E-21
  1437       1.21E-15  8.51E-16  5.37E-16  3.78E-16  2.65E-16  1.63E-16  1.10E-16  7.13E-17  3.63E-17  1.97E-17
             9.70E-18  3.33E-18  1.36E-18  5.26E-19  1.42E-19  5.15E-20  1.84E-20  4.71E-21  1.67E-21
  1438       1.50E-32  1.06E-32  6.64E-33  4.65E-33  3.22E-33  1.93E-33  1.26E-33  7.80E-34  3.70E-34  1.90E-34
             8.89E-35  2.88E-35  1.14E-35  4.33E-36  1.15E-36  4.16E-37  1.49E-37  3.79E-38  1.34E-38
  1439       4.88E-35  3.47E-35  2.22E-35  1.59E-35  1.16E-35  7.94E-36  6.08E-36  4.60E-36  2.89E-36  1.78E-36
             9.64E-37  3.55E-37  1.50E-37  5.91E-38  1.62E-38  5.92E-39  2.13E-39  5.44E-40  1.93E-40
  1440       1.50E-30  1.06E-30  6.69E-31  4.72E-31  3.32E-31  2.05E-31  1.39E-31  9.09E-32  4.68E-32  2.56E-32
             1.27E-32  4.38E-33  1.80E-33  6.97E-34  1.88E-34  6.83E-35  2.45E-35  6.25E-36  2.22E-36
  1441       1.92E-22  1.36E-22  8.78E-23  6.39E-23  4.79E-23  3.53E-23  3.06E-23  2.86E-23  2.79E-23  2.70E-23
             2.53E-23  2.17E-23  1.83E-23  1.47E-23  9.94E-24  6.75E-24  4.19E-24  1.93E-24  9.66E-25
  1442       1.16E-33  8.27E-34  5.33E-34  3.88E-34  2.91E-34  2.14E-34  1.86E-34  1.74E-34  1.69E-34  1.64E-34
             1.54E-34  1.32E-34  1.11E-34  8.93E-35  6.04E-35  4.10E-35  2.55E-35  1.17E-35  5.87E-36
  1443       3.20E-15  2.26E-15  1.43E-15  1.00E-15  7.05E-16  4.36E-16  2.95E-16  1.92E-16  9.82E-17  5.35E-17
             2.65E-17  9.11E-18  3.73E-18  1.44E-18  3.90E-19  1.41E-19  5.06E-20  1.29E-20  4.58E-21
  1444       3.10E-33  2.21E-33  1.42E-33  1.04E-33  7.76E-34  5.72E-34  4.96E-34  4.64E-34  4.53E-34  4.39E-34
             4.11E-34  3.53E-34  2.98E-34  2.39E-34  1.62E-34  1.10E-34  6.82E-35  3.14E-35  1.57E-35
  1457       8.44E-15  5.96E-15  3.76E-15  2.65E-15  1.86E-15  1.15E-15  7.81E-16  5.09E-16  2.61E-16  1.42E-16
             7.05E-17  2.43E-17  9.93E-18  3.85E-18  1.04E-18  3.77E-19  1.35E-19  3.44E-20  1.22E-20
  1458       1.57E-15  1.11E-15  7.01E-16  4.94E-16  3.47E-16  2.15E-16  1.46E-16  9.50E-17  4.87E-17  2.66E-17
             1.32E-17  4.53E-18  1.86E-18  7.19E-19  1.94E-19  7.04E-20  2.52E-20  6.44E-21  2.28E-21
  1495       1.14E-21  8.11E-22  5.26E-22  3.87E-22  2.96E-22  2.33E-22  2.22E-22  2.36E-22  2.63E-22  2.57E-22
             2.16E-22  1.32E-22  7.55E-23  3.80E-23  1.31E-23  5.36E-24  2.08E-24  5.62E-25  2.04E-25
  1496       6.75E-23  4.81E-23  3.12E-23  2.30E-23  1.76E-23  1.39E-23  1.33E-23  1.45E-23  1.78E-23  2.04E-23
             2.17E-23  2.11E-23  1.89E-23  1.57E-23  1.09E-23  7.50E-24  4.68E-24  2.17E-24  1.09E-24
  1497       1.41E-33  1.00E-33  6.45E-34  4.71E-34  3.53E-34  2.62E-34  2.29E-34  2.17E-34  2.14E-34  2.09E-34
             1.97E-34  1.69E-34  1.43E-34  1.15E-34  7.80E-35  5.30E-35  3.29E-35  1.51E-35  7.58E-36
  1498       5.36E-26  3.83E-26  2.50E-26  1.85E-26  1.45E-26  1.22E-26  1.30E-26  1.68E-26  2.73E-26  3.81E-26
             4.81E-26  5.46E-26  5.28E-26  4.63E-26  3.35E-26  2.34E-26  1.48E-26  6.88E-27  3.47E-27
  1499       1.21E-32  8.65E-33  5.64E-33  4.19E-33  3.27E-33  2.75E-33  2.94E-33  3.80E-33  6.19E-33  8.64E-33
             1.09E-32  1.24E-32  1.20E-32  1.05E-32  7.60E-33  5.31E-33  3.35E-33  1.56E-33  7.87E-34
  1500       2.23E-32  1.59E-32  1.04E-32  7.70E-33  6.01E-33  5.06E-33  5.40E-33  7.00E-33  1.14E-32  1.60E-32
             2.01E-32  2.29E-32  2.21E-32  1.94E-32  1.40E-32  9.81E-33  6.19E-33  2.89E-33  1.45E-33
  1501       2.33E-22  1.66E-22  1.08E-22  7.98E-23  6.14E-23  4.91E-23  4.80E-23  5.35E-23  6.76E-23  7.82E-23
             8.42E-23  8.22E-23  7.39E-23  6.16E-23  4.29E-23  2.95E-23  1.84E-23  8.52E-24  4.28E-24
  1502       1.23E-32  8.77E-33  5.72E-33  4.27E-33  3.35E-33  2.85E-33  3.10E-33  4.10E-33  6.84E-33  9.66E-33
             1.23E-32  1.40E-32  1.36E-32  1.19E-32  8.63E-33  6.03E-33  3.81E-33  1.78E-33  8.94E-34
  1503       5.91E-35  4.22E-35  2.74E-35  2.03E-35  1.56E-35  1.26E-35  1.21E-35  1.27E-35  1.29E-35  1.09E-35
             7.56E-36  3.52E-36  1.67E-36  7.15E-37  2.09E-37  7.83E-38  2.86E-38  7.37E-39  2.62E-39
  1504       7.95E-33  5.67E-33  3.68E-33  2.72E-33  2.09E-33  1.66E-33  1.57E-33  1.60E-33  1.57E-33  1.31E-33
             9.12E-34  4.26E-34  2.01E-34  8.52E-35  2.46E-35  9.13E-36  3.32E-36  8.53E-37  3.04E-37
  1505       9.34E-19  6.65E-19  4.29E-19  3.14E-19  2.36E-19  1.77E-19  1.57E-19  1.54E-19  1.68E-19  1.82E-19
             1.88E-19  1.70E-19  1.37E-19  9.63E-20  4.92E-20  2.57E-20  1.21E-20  3.96E-21  1.58E-21
  1506       3.15E-19  2.24E-19  1.45E-19  1.06E-19  7.96E-20  5.97E-20  5.31E-20  5.21E-20  5.67E-20  6.13E-20
             6.34E-20  5.75E-20  4.63E-20  3.25E-20  1.66E-20  8.69E-21  4.10E-21  1.34E-21  5.33E-22
  1507       6.03E-34  4.32E-34  2.84E-34  2.15E-34  1.73E-34  1.58E-34  1.83E-34  2.49E-34  4.00E-34  5.32E-34
             6.30E-34  6.32E-34  5.29E-34  3.80E-34  1.97E-34  1.03E-34  4.88E-35  1.59E-35  6.33E-36
  1508       4.25E-22  3.03E-22  1.95E-22  1.43E-22  1.08E-22  8.10E-23  7.23E-23  7.14E-23  7.81E-23  8.46E-23
             8.76E-23  7.96E-23  6.42E-23  4.51E-23  2.30E-23  1.21E-23  5.69E-24  1.86E-24  7.40E-25
  1509       6.89E-36  4.94E-36  3.25E-36  2.46E-36  1.99E-36  1.82E-36  2.12E-36  2.89E-36  4.67E-36  6.24E-36
             7.40E-36  7.43E-36  6.23E-36  4.47E-36  2.32E-36  1.22E-36  5.75E-37  1.87E-37  7.46E-38
  1510       1.38E-21  9.79E-22  6.32E-22  4.62E-22  3.49E-22  2.62E-22  2.35E-22  2.32E-22  2.54E-22  2.76E-22
             2.86E-22  2.60E-22  2.09E-22  1.47E-22  7.52E-23  3.93E-23  1.86E-23  6.05E-24  2.41E-24
  1511       1.85E-35  1.32E-35  8.72E-36  6.60E-36  5.33E-36  4.89E-36  5.69E-36  7.78E-36  1.26E-35  1.68E-35
             1.99E-35  2.00E-35  1.68E-35  1.21E-35  6.25E-36  3.28E-36  1.55E-36  5.05E-37  2.01E-37
  1512       1.71E-35  1.23E-35  8.08E-36  6.12E-36  4.96E-36  4.57E-36  5.35E-36  7.36E-36  1.20E-35  1.61E-35
             1.91E-35  1.92E-35  1.61E-35  1.16E-35  6.00E-36  3.15E-36  1.49E-36  4.85E-37  1.93E-37
  1513       9.74E-20  6.93E-20  4.48E-20  3.28E-20  2.48E-20  1.88E-20  1.69E-20  1.69E-20  1.87E-20  2.05E-20
             2.13E-20  1.94E-20  1.57E-20  1.10E-20  5.63E-21  2.95E-21  1.39E-21  4.54E-22  1.81E-22
  1514       6.02E-19  4.29E-19  2.77E-19  2.03E-19  1.53E-19  1.16E-19  1.05E-19  1.05E-19  1.16E-19  1.27E-19
             1.32E-19  1.20E-19  9.69E-20  6.81E-20  3.49E-20  1.82E-20  8.60E-21  2.81E-21  1.12E-21
  1515       9.68E-20  6.89E-20  4.45E-20  3.26E-20  2.47E-20  1.87E-20  1.68E-20  1.68E-20  1.87E-20  2.04E-20
             2.12E-20  1.94E-20  1.56E-20  1.10E-20  5.62E-21  2.94E-21  1.39E-21  4.53E-22  1.80E-22
  1516       5.33E-21  3.79E-21  2.45E-21  1.80E-21  1.36E-21  1.04E-21  9.39E-22  9.44E-22  1.05E-21  1.16E-21
             1.21E-21  1.10E-21  8.91E-22  6.27E-22  3.21E-22  1.68E-22  7.92E-23  2.58E-23  1.03E-23
  1517       2.01E-19  1.44E-19  9.33E-20  6.90E-20  5.31E-20  4.19E-20  3.86E-20  3.71E-20  3.21E-20  2.44E-20
             1.56E-20  6.69E-21  3.04E-21  1.25E-21  3.55E-22  1.31E-22  4.74E-23  1.22E-23  4.32E-24
  1518       5.48E-20  3.91E-20  2.54E-20  1.88E-20  1.45E-20  1.15E-20  1.06E-20  1.02E-20  8.90E-21  6.77E-21
             4.32E-21  1.86E-21  8.45E-22  3.49E-22  9.88E-23  3.65E-23  1.32E-23  3.39E-24  1.20E-24
  1519       1.60E-21  1.14E-21  7.43E-22  5.50E-22  4.25E-22  3.37E-22  3.13E-22  3.03E-22  2.65E-22  2.02E-22
             1.29E-22  5.57E-23  2.53E-23  1.04E-23  2.96E-24  1.09E-24  3.95E-25  1.01E-25  3.60E-26
  1520       6.29E-20  4.49E-20  2.92E-20  2.16E-20  1.67E-20  1.33E-20  1.24E-20  1.20E-20  1.05E-20  8.05E-21
             5.15E-21  2.22E-21  1.01E-21  4.17E-22  1.18E-22  4.36E-23  1.58E-23  4.05E-24  1.44E-24
  1521       1.37E-30  9.79E-31  6.37E-31  4.72E-31  3.65E-31  2.91E-31  2.72E-31  2.65E-31  2.32E-31  1.78E-31
             1.14E-31  4.93E-32  2.24E-32  9.27E-33  2.62E-33  9.69E-34  3.50E-34  9.00E-35  3.20E-35
  1522       8.88E-21  6.34E-21  4.13E-21  3.06E-21  2.38E-21  1.91E-21  1.79E-21  1.76E-21  1.56E-21  1.20E-21
             7.68E-22  3.33E-22  1.51E-22  6.26E-23  1.77E-23  6.54E-24  2.37E-24  6.08E-25  2.16E-25
  1523       2.56E-33  1.82E-33  1.19E-33  8.82E-34  6.84E-34  5.49E-34  5.16E-34  5.06E-34  4.43E-34  3.35E-34
             2.10E-34  8.82E-35  3.96E-35  1.63E-35  4.62E-36  1.71E-36  6.19E-37  1.59E-37  5.65E-38
  1524       5.05E-21  3.61E-21  2.36E-21  1.77E-21  1.40E-21  1.20E-21  1.28E-21  1.61E-21  2.43E-21  3.18E-21
             3.76E-21  3.81E-21  3.22E-21  2.33E-21  1.22E-21  6.43E-22  3.05E-22  9.99E-23  3.99E-23
  1525       3.99E-20  2.85E-20  1.87E-20  1.40E-20  1.10E-20  9.49E-21  1.02E-20  1.28E-20  1.92E-20  2.52E-20
             2.98E-20  3.03E-20  2.56E-20  1.85E-20  9.66E-21  5.10E-21  2.42E-21  7.93E-22  3.17E-22
  1526       7.68E-21  5.49E-21  3.60E-21  2.69E-21  2.13E-21  1.83E-21  1.96E-21  2.47E-21  3.73E-21  4.89E-21
             5.80E-21  5.88E-21  4.97E-21  3.59E-21  1.88E-21  9.91E-22  4.70E-22  1.54E-22  6.15E-23
  1527       3.40E-20  2.43E-20  1.58E-20  1.18E-20  9.16E-21  7.42E-21  7.07E-21  7.03E-21  6.30E-21  4.86E-21
             3.14E-21  1.36E-21  6.20E-22  2.57E-22  7.28E-23  2.69E-23  9.73E-24  2.50E-24  8.88E-25
  1528       9.45E-20  6.75E-20  4.40E-20  3.27E-20  2.55E-20  2.07E-20  1.97E-20  1.96E-20  1.76E-20  1.36E-20
             8.77E-21  3.81E-21  1.74E-21  7.18E-22  2.04E-22  7.52E-23  2.72E-23  6.99E-24  2.48E-24
  1529       3.58E-19  2.56E-19  1.67E-19  1.24E-19  9.66E-20  7.84E-20  7.48E-20  7.44E-20  6.68E-20  5.17E-20
             3.33E-20  1.45E-20  6.60E-21  2.73E-21  7.74E-22  2.86E-22  1.03E-22  2.66E-23  9.44E-24
  1530       7.54E-23  5.40E-23  3.54E-23  2.65E-23  2.11E-23  1.83E-23  1.99E-23  2.54E-23  3.88E-23  5.13E-23
             6.10E-23  6.20E-23  5.25E-23  3.80E-23  1.99E-23  1.05E-23  4.97E-24  1.63E-24  6.51E-25
  1531       2.30E-20  1.64E-20  1.07E-20  7.98E-21  6.23E-21  5.09E-21  4.89E-21  4.90E-21  4.43E-21  3.44E-21
             2.22E-21  9.68E-22  4.42E-22  1.83E-22  5.19E-23  1.92E-23  6.93E-24  1.78E-24  6.33E-25
  1544       5.56E-19  3.97E-19  2.59E-19  1.92E-19  1.49E-19  1.19E-19  1.11E-19  1.10E-19  1.04E-19  8.94E-20
             6.68E-20  3.64E-20  1.98E-20  9.56E-21  3.19E-21  1.29E-21  4.94E-22  1.33E-22  4.81E-23
  1545       1.61E-19  1.15E-19  7.51E-20  5.58E-20  4.32E-20  3.45E-20  3.23E-20  3.19E-20  3.03E-20  2.60E-20
             1.94E-20  1.06E-20  5.74E-21  2.78E-21  9.28E-22  3.74E-22  1.44E-22  3.86E-23  1.40E-23
  1546       4.66E-33  3.33E-33  2.17E-33  1.62E-33  1.26E-33  1.01E-33  9.61E-34  9.67E-34  9.37E-34  8.12E-34
             6.12E-34  3.36E-34  1.82E-34  8.84E-35  2.96E-35  1.19E-35  4.60E-36  1.24E-36  4.48E-37
  1547       6.75E-21  4.82E-21  3.14E-21  2.34E-21  1.81E-21  1.45E-21  1.36E-21  1.35E-21  1.28E-21  1.10E-21
             8.21E-22  4.48E-22  2.43E-22  1.18E-22  3.93E-23  1.58E-23  6.09E-24  1.64E-24  5.92E-25
  1548       2.00E-20  1.43E-20  9.32E-21  6.92E-21  5.37E-21  4.30E-21  4.03E-21  4.00E-21  3.81E-21  3.27E-21
             2.44E-21  1.33E-21  7.24E-22  3.50E-22  1.17E-22  4.72E-23  1.81E-23  4.87E-24  1.76E-24
  1549       8.76E-20  6.26E-20  4.08E-20  3.03E-20  2.35E-20  1.88E-20  1.77E-20  1.75E-20  1.67E-20  1.43E-20
             1.07E-20  5.86E-21  3.17E-21  1.54E-21  5.13E-22  2.07E-22  7.95E-23  2.14E-23  7.74E-24
  1550       1.39E-20  9.96E-21  6.49E-21  4.82E-21  3.74E-21  3.00E-21  2.81E-21  2.79E-21  2.66E-21  2.28E-21
             1.71E-21  9.34E-22  5.06E-22  2.45E-22  8.19E-23  3.30E-23  1.27E-23  3.41E-24  1.23E-24
  1551       9.54E-21  6.84E-21  4.51E-21  3.42E-21  2.77E-21  2.55E-21  2.95E-21  3.94E-21  6.02E-21  7.65E-21
             8.74E-21  8.94E-21  8.19E-21  6.91E-21  4.85E-21  3.34E-21  2.09E-21  9.70E-22  4.88E-22
  1552       3.89E-21  2.79E-21  1.84E-21  1.40E-21  1.13E-21  1.04E-21  1.21E-21  1.62E-21  2.49E-21  3.16E-21
             3.61E-21  3.70E-21  3.39E-21  2.86E-21  2.01E-21  1.38E-21  8.66E-22  4.02E-22  2.02E-22
  1553       8.80E-22  6.30E-22  4.13E-22  3.10E-22  2.46E-22  2.08E-22  2.09E-22  2.18E-22  2.06E-22  1.63E-22
             1.07E-22  4.69E-23  2.15E-23  8.93E-24  2.54E-24  9.38E-25  3.39E-25  8.72E-26  3.10E-26
  1554       3.88E-22  2.77E-22  1.81E-22  1.35E-22  1.05E-22  8.41E-23  7.93E-23  7.91E-23  7.57E-23  6.52E-23
             4.89E-23  2.67E-23  1.45E-23  7.03E-24  2.35E-24  9.47E-25  3.64E-25  9.78E-26  3.54E-26
  1555       1.33E-33  9.51E-34  6.21E-34  4.62E-34  3.61E-34  2.93E-34  2.80E-34  2.84E-34  2.78E-34  2.42E-34
             1.83E-34  1.01E-34  5.47E-35  2.65E-35  8.88E-36  3.59E-36  1.38E-36  3.71E-37  1.34E-37
  1556       5.44E-35  3.89E-35  2.54E-35  1.89E-35  1.47E-35  1.20E-35  1.15E-35  1.16E-35  1.14E-35  9.92E-36
             7.50E-36  4.13E-36  2.24E-36  1.09E-36  3.64E-37  1.47E-37  5.66E-38  1.52E-38  5.52E-39
  1557       1.28E-21  9.17E-22  5.98E-22  4.45E-22  3.46E-22  2.79E-22  2.64E-22  2.65E-22  2.54E-22  2.19E-22
             1.64E-22  9.00E-23  4.88E-23  2.37E-23  7.91E-24  3.19E-24  1.23E-24  3.29E-25  1.19E-25
  1558       2.69E-33  1.92E-33  1.25E-33  9.22E-34  7.06E-34  5.42E-34  4.77E-34  4.32E-34  3.56E-34  2.78E-34
             1.93E-34  1.00E-34  5.31E-35  2.53E-35  8.27E-36  3.27E-36  1.24E-36  3.29E-37  1.18E-37
  1559       3.19E-34  2.28E-34  1.49E-34  1.11E-34  8.70E-35  7.12E-35  6.86E-35  7.03E-35  6.93E-35  6.06E-35
             4.59E-35  2.53E-35  1.38E-35  6.69E-36  2.24E-36  9.06E-37  3.48E-37  9.38E-38  3.40E-38
  1560       1.45E-20  1.04E-20  6.79E-21  5.06E-21  3.94E-21  3.20E-21  3.04E-21  3.06E-21  2.96E-21  2.56E-21
             1.93E-21  1.06E-21  5.74E-22  2.78E-22  9.30E-23  3.75E-23  1.44E-23  3.87E-24  1.40E-24
  1561       1.61E-19  1.15E-19  7.53E-20  5.61E-20  4.38E-20  3.55E-20  3.38E-20  3.41E-20  3.29E-20  2.85E-20
             2.14E-20  1.18E-20  6.38E-21  3.09E-21  1.03E-21  4.17E-22  1.60E-22  4.31E-23  1.56E-23
  1562       7.58E-22  5.42E-22  3.54E-22  2.64E-22  2.06E-22  1.67E-22  1.59E-22  1.60E-22  1.55E-22  1.34E-22
             1.01E-22  5.55E-23  3.01E-23  1.46E-23  4.88E-24  1.97E-24  7.57E-25  2.03E-25  7.36E-26
  1563       1.12E-22  8.00E-23  5.23E-23  3.90E-23  3.05E-23  2.48E-23  2.37E-23  2.40E-23  2.33E-23  2.02E-23
             1.52E-23  8.37E-24  4.55E-24  2.21E-24  7.38E-25  2.98E-25  1.14E-25  3.07E-26  1.11E-26
  1564       2.91E-35  2.09E-35  1.38E-35  1.05E-35  8.58E-36  8.05E-36  9.52E-36  1.30E-35  2.03E-35  2.60E-35
             2.99E-35  3.08E-35  2.82E-35  2.39E-35  1.68E-35  1.16E-35  7.24E-36  3.36E-36  1.69E-36
  1565       6.01E-22  4.31E-22  2.85E-22  2.18E-22  1.78E-22  1.69E-22  2.01E-22  2.78E-22  4.37E-22  5.62E-22
             6.48E-22  6.67E-22  6.13E-22  5.18E-22  3.64E-22  2.51E-22  1.57E-22  7.29E-23  3.66E-23
  1566       2.25E-34  1.61E-34  1.05E-34  7.76E-35  5.98E-35  4.65E-35  4.15E-35  3.81E-35  3.20E-35  2.52E-35
             1.76E-35  9.16E-36  4.87E-36  2.33E-36  7.60E-37  3.01E-37  1.14E-37  3.02E-38  1.09E-38
  1567       3.42E-18  2.44E-18  1.59E-18  1.19E-18  9.19E-19  7.22E-19  6.39E-19  5.61E-19  4.13E-19  2.78E-19
             1.61E-19  6.31E-20  2.74E-20  1.10E-20  3.05E-21  1.12E-21  4.02E-22  1.03E-22  3.65E-23
  1568       9.06E-19  6.48E-19  4.23E-19  3.15E-19  2.44E-19  1.91E-19  1.70E-19  1.49E-19  1.10E-19  7.39E-20
             4.27E-20  1.68E-20  7.27E-21  2.92E-21  8.10E-22  2.97E-22  1.07E-22  2.73E-23  9.71E-24
  1569       3.39E-33  2.42E-33  1.58E-33  1.18E-33  9.15E-34  7.20E-34  6.40E-34  5.65E-34  4.18E-34  2.83E-34
             1.64E-34  6.46E-35  2.81E-35  1.13E-35  3.14E-36  1.15E-36  4.14E-37  1.06E-37  3.76E-38
  1570       8.86E-21  6.34E-21  4.14E-21  3.08E-21  2.39E-21  1.88E-21  1.67E-21  1.47E-21  1.08E-21  7.31E-22
             4.23E-22  1.66E-22  7.20E-23  2.89E-23  8.02E-24  2.94E-24  1.06E-24  2.71E-25  9.61E-26
  1571       1.15E-19  8.22E-20  5.37E-20  3.99E-20  3.10E-20  2.44E-20  2.16E-20  1.91E-20  1.41E-20  9.49E-21
             5.49E-21  2.15E-21  9.35E-22  3.76E-22  1.04E-22  3.81E-23  1.37E-23  3.52E-24  1.25E-24
  1572       2.74E-20  1.96E-20  1.28E-20  9.52E-21  7.39E-21  5.82E-21  5.16E-21  4.55E-21  3.36E-21  2.27E-21
             1.31E-21  5.14E-22  2.23E-22  8.97E-23  2.49E-23  9.11E-24  3.28E-24  8.40E-25  2.98E-25
  1573       1.42E-21  1.01E-21  6.62E-22  4.93E-22  3.84E-22  3.03E-22  2.69E-22  2.38E-22  1.76E-22  1.19E-22
             6.89E-23  2.71E-23  1.18E-23  4.73E-24  1.31E-24  4.80E-25  1.73E-25  4.42E-26  1.57E-26
  1574       3.20E-21  2.29E-21  1.50E-21  1.12E-21  8.69E-22  6.88E-22  6.14E-22  5.44E-22  4.04E-22  2.73E-22
             1.58E-22  6.23E-23  2.71E-23  1.09E-23  3.02E-24  1.10E-24  3.98E-25  1.02E-25  3.62E-26
  1575       6.94E-35  4.96E-35  3.24E-35  2.42E-35  1.88E-35  1.50E-35  1.34E-35  1.19E-35  8.92E-36  6.06E-36
             3.52E-36  1.39E-36  6.05E-37  2.44E-37  6.76E-38  2.48E-38  8.92E-39  2.28E-39  8.11E-40
  1576       9.01E-36  6.44E-36  4.21E-36  3.14E-36  2.45E-36  1.95E-36  1.74E-36  1.55E-36  1.16E-36  7.89E-37
             4.59E-37  1.81E-37  7.89E-38  3.18E-38  8.81E-39  3.23E-39  1.16E-39  2.98E-40  1.06E-40
  1577       1.57E-20  1.12E-20  7.34E-21  5.48E-21  4.27E-21  3.39E-21  3.04E-21  2.71E-21  2.02E-21  1.37E-21
             7.93E-22  3.12E-22  1.36E-22  5.46E-23  1.51E-23  5.54E-24  2.00E-24  5.11E-25  1.82E-25
  1578       1.74E-35  1.24E-35  8.09E-36  6.01E-36  4.65E-36  3.61E-36  3.13E-36  2.66E-36  1.86E-36  1.20E-36
             6.60E-37  2.46E-37  1.04E-37  4.11E-38  1.13E-38  4.12E-39  1.48E-39  3.79E-40  1.35E-40
  1579       9.11E-20  6.51E-20  4.26E-20  3.18E-20  2.48E-20  1.98E-20  1.78E-20  1.59E-20  1.19E-20  8.05E-21
             4.68E-21  1.84E-21  8.01E-22  3.22E-22  8.94E-23  3.27E-23  1.18E-23  3.02E-24  1.07E-24
  1580       7.20E-19  5.15E-19  3.37E-19  2.51E-19  1.96E-19  1.56E-19  1.41E-19  1.26E-19  9.39E-20  6.37E-20
             3.70E-20  1.46E-20  6.34E-21  2.55E-21  7.07E-22  2.59E-22  9.33E-23  2.39E-23  8.48E-24
  1581       1.78E-24  1.28E-24  8.61E-25  6.71E-25  5.76E-25  6.27E-25  9.13E-25  1.64E-24  3.74E-24  6.21E-24
             8.70E-24  1.01E-23  9.13E-24  6.88E-24  3.71E-24  1.99E-24  9.53E-25  3.15E-25  1.26E-25
  1582       1.15E-34  8.21E-35  5.38E-35  4.02E-35  3.15E-35  2.53E-35  2.30E-35  2.07E-35  1.57E-35  1.07E-35
             6.26E-36  2.48E-36  1.08E-36  4.35E-37  1.21E-37  4.42E-38  1.59E-38  4.08E-39  1.45E-39
