    5   19        65.1490      1.614e-01      6.344e+10                 3s 2S0.5 -                  5p 2P1.5
   10   18       206.1035      3.624e-01      2.846e+10                 4s 2S0.5 -                  5p 2P0.5
   10   19       205.7194      7.260e-01      2.861e+10                 4s 2S0.5 -                  5p 2P1.5
    6   10        95.3285      6.450e-02      2.367e+10                 3p 2P0.5 -                  4s 2S0.5
    7   10        95.7112      1.290e-01      4.697e+10                 3p 2P1.5 -                  4s 2S0.5
    6   17        65.1791      1.486e-02      1.166e+10                 3p 2P0.5 -                  5s 2S0.5
    7   17        65.3578      2.971e-02      2.320e+10                 3p 2P1.5 -                  5s 2S0.5
    6   13        95.1745      1.237e+00      2.276e+11                 3p 2P0.5 -                  4d 2D1.5
    7   13        95.5559      2.473e-01      4.517e+10                 3p 2P1.5 -                  4d 2D1.5
    7   14        95.5022      2.226e+00      2.713e+11                 3p 2P1.5 -                  4d 2D2.5
    6   20        65.1423      2.784e-01      1.094e+11                 3p 2P0.5 -                  5d 2D1.5
    7   20        65.3207      5.568e-02      2.176e+10                 3p 2P1.5 -                  5d 2D1.5
    7   21        65.3079      5.011e-01      1.306e+11                 3p 2P1.5 -                  5d 2D2.5
   11   20       205.6914      1.219e+00      4.804e+10                 4p 2P0.5 -                  5d 2D1.5
   12   20       206.4430      2.437e-01      9.537e+09                 4p 2P1.5 -                  5d 2D1.5
   12   21       206.3153      2.193e+00      5.730e+10                 4p 2P1.5 -                  5d 2D2.5
   11   17       206.0593      1.058e-01      8.313e+09                 4p 2P0.5 -                  5s 2S0.5
   12   17       206.8136      2.116e-01      1.650e+10                 4p 2P1.5 -                  5s 2S0.5
    8   11        95.7169      3.663e-02      1.334e+10                 3d 2D1.5 -                  4p 2P0.5
    8   12        95.5550      7.328e-03      1.339e+09                 3d 2D1.5 -                  4p 2P1.5
    9   12        95.6821      6.594e-02      1.201e+10                 3d 2D2.5 -                  4p 2P1.5
    8   18        65.3591      7.366e-03      5.752e+09                 3d 2D1.5 -                  5p 2P0.5
    8   19        65.3204      1.474e-03      5.760e+08                 3d 2D1.5 -                  5p 2P1.5
    9   19        65.3798      1.326e-02      5.174e+09                 3d 2D2.5 -                  5p 2P1.5
   13   18       206.8273      9.273e-02      7.231e+09                 4d 2D1.5 -                  5p 2P0.5
   13   19       206.4405      1.855e-02      7.259e+08                 4d 2D1.5 -                  5p 2P1.5
   14   19       206.6914      1.669e-01      6.516e+09                 4d 2D2.5 -                  5p 2P1.5
   15   24       206.4985      8.076e+00      1.579e+11                 4f 2F2.5 -                  5g 2G3.5
   16   25       206.5863      1.047e+01      1.636e+11                 4f 2F3.5 -                  5g 2G4.5
    8   15        95.5019      4.072e+00      4.964e+11                 3d 2D1.5 -                  4f 2F2.5
    9   15        95.6288      2.909e-01      3.536e+10                 3d 2D2.5 -                  4f 2F2.5
    9   16        95.6019      5.817e+00      5.308e+11                 3d 2D2.5 -                  4f 2F3.5
   13   22       206.3136      3.561e+00      9.302e+10                 4d 2D1.5 -                  5f 2F2.5
   14   22       206.5641      2.544e-01      6.629e+09                 4d 2D2.5 -                  5f 2F2.5
   14   23       206.4993      5.088e+00      9.949e+10                 4d 2D2.5 -                  5f 2F3.5
qq -1
%filename: si_14.wgfa
%energy levels: Martin,W.C., Sugar,J., Musgrove,A., Dalton,G.R., 1995, 
   NIST Database for Atomic Spectroscopy, Version 1.0, NIST Standard Reference Database 61.
%oscillator strengths: Wiese,W.L., Smith,M.W., Glennon,B.M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4
% A values: Parpia,F.A., Johnson,W.R., 1982, Phys. Rev. A, 26, 1142
%comment: Wiese's oscillator strengths are hydrogenic
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%  
% Ken Dere - 1998
 -1







p
qqq
 14 14  1  2  2 0.000e+00 1.470e+02 1.000e-02 3.342e-03 3.365e-03 3.390e-03 3.960e-03 4.441e-03
