    5   19       355.7507      1.614e-01      2.127e+09                 3s 2S0.5 -                  5p 2P1.5
   10   18      1124.5483      3.624e-01      9.560e+08                 4s 2S0.5 -                  5p 2P0.5
   10   19      1124.1660      7.260e-01      9.581e+08                 4s 2S0.5 -                  5p 2P1.5
    6   10       520.4297      6.450e-02      7.943e+08                 3p 2P0.5 -                  4s 2S0.5
    7   10       520.8112      1.290e-01      1.586e+09                 3p 2P1.5 -                  4s 2S0.5
    6   17       355.7766      1.486e-02      3.915e+08                 3p 2P0.5 -                  5s 2S0.5
    7   17       355.9549      2.971e-02      7.822e+08                 3p 2P1.5 -                  5s 2S0.5
    6   13       520.2781      1.237e+00      7.619e+09                 3p 2P0.5 -                  4d 2D1.5
    7   13       520.6594      2.473e-01      1.522e+09                 3p 2P1.5 -                  4d 2D1.5
    7   14       520.6058      2.226e+00      9.131e+09                 3p 2P1.5 -                  4d 2D2.5
    6   20       355.7406      2.784e-01      3.669e+09                 3p 2P0.5 -                  5d 2D1.5
    7   20       355.9188      5.568e-02      7.331e+08                 3p 2P1.5 -                  5d 2D1.5
    7   21       355.9058      5.011e-01      4.399e+09                 3p 2P1.5 -                  5d 2D2.5
   11   20      1124.1249      1.219e+00      1.608e+09                 4p 2P0.5 -                  5d 2D1.5
   12   20      1124.8773      2.437e-01      3.212e+08                 4p 2P1.5 -                  5d 2D1.5
   12   21      1124.7476      2.193e+00      1.928e+09                 4p 2P1.5 -                  5d 2D2.5
   11   17      1124.4851      1.058e-01      2.791e+08                 4p 2P0.5 -                  5s 2S0.5
   12   17      1125.2380      2.116e-01      5.575e+08                 4p 2P1.5 -                  5s 2S0.5
    8   11       520.8194      3.663e-02      4.505e+08                 3d 2D1.5 -                  4p 2P0.5
    8   12       520.6580      7.328e-03      4.508e+07                 3d 2D1.5 -                  4p 2P1.5
    9   12       520.7855      6.594e-02      4.055e+08                 3d 2D2.5 -                  4p 2P1.5
    8   18       355.9568      7.366e-03      1.939e+08                 3d 2D1.5 -                  5p 2P0.5
    8   19       355.9185      1.474e-03      1.940e+07                 3d 2D1.5 -                  5p 2P1.5
    9   19       355.9780      1.326e-02      1.745e+08                 3d 2D2.5 -                  5p 2P1.5
   13   18      1125.2570      9.273e-02      2.443e+08                 4d 2D1.5 -                  5p 2P0.5
   13   19      1124.8741      1.855e-02      2.445e+07                 4d 2D1.5 -                  5p 2P1.5
   14   19      1125.1240      1.669e-01      2.199e+08                 4d 2D2.5 -                  5p 2P1.5
   15   24      1124.9310      8.076e+00      5.322e+09                 4f 2F2.5 -                  5g 2G3.5
   16   25      1125.0197      1.047e+01      5.518e+09                 4f 2F3.5 -                  5g 2G4.5
    8   15       520.6052      4.072e+00      1.670e+10                 3d 2D1.5 -                  4f 2F2.5
    9   15       520.7326      2.909e-01      1.193e+09                 3d 2D2.5 -                  4f 2F2.5
    9   16       520.7054      5.817e+00      1.789e+10                 3d 2D2.5 -                  4f 2F3.5
   13   22      1124.7444      3.561e+00      3.130e+09                 4d 2D1.5 -                  5f 2F2.5
   14   22      1124.9944      2.544e-01      2.235e+08                 4d 2D2.5 -                  5f 2F2.5
   14   23      1124.9310      5.088e+00      3.352e+09                 4d 2D2.5 -                  5f 2F3.5
qq -1
%filename: c_6.wgfa
%observed energy levels: Martin, W.C., Sugar, J., Musgrove, A., Dalton, G.R., 1995, 
    NIST Database for Atomic Spectroscopy, Version 1.0, NIST Standard Reference Database 61.
% A values: Parpia, F.A., Johnson, W.R., 1982, Phys.Rev.A, 26, 1142.
%oscillator strengths:  Wiese, W.L., Smith, M.W., Glennon, B.M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%comment:  Wiese's oscillaor strenths are hydrogenic
%comment:        3952061.52    Limit
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%  K.P.Dere 2000
 -1






p
qq
  6  6  1  2  2 0.000e+00 2.700e+01 3.000e-02 1.766e-02 1.727e-02 1.772e-02 1.882e-02 1.825e-02
  6  6  1  3  1 2.772e-01 2.700e+01 1.150e+00 2.371e-02 2.509e-02 2.678e-02 2.862e-02 4.107e-02
  6  6  1  4  1 5.552e-01 2.700e+01 1.150e+00 4.749e-02 5.025e-02 5.363e-02 5.733e-02 8.225e-02
  6  6  1  5  2 0.000e+00 3.200e+01 4.000e-02 5.418e-03 5.180e-03 5.010e-03 4.488e-03 3.762e-03
  6  6  1  6  1 5.268e-02 3.200e+01 1.100e+00 5.187e-03 5.664e-03 5.744e-03 5.766e-03 6.581e-03
  6  6  1  7  1 1.055e-01 3.200e+01 1.130e+00 1.044e-02 1.145e-02 1.147e-02 1.163e-02 1.318e-02
  6  6  1  8  2 0.000e+00 3.200e+01 6.000e-02 2.309e-03 2.319e-03 2.089e-03 1.530e-03 9.420e-04
  6  6  1  9  2 0.000e+00 3.200e+01 3.000e-02 3.756e-03 3.445e-03 3.459e-03 2.828e-03 1.412e-03
  6  6  1 10  2 0.000e+00 3.375e+01 3.000e-02 3.001e-03 2.704e-03 2.399e-03 2.035e-03 1.506e-03
  6  6  1 11  1 1.931e-02 3.375e+01 1.100e+00 2.247e-03 2.257e-03 2.267e-03 2.264e-03 2.288e-03
  6  6  1 12  1 3.867e-02 3.375e+01 1.100e+00 4.502e-03 4.521e-03 4.540e-03 4.535e-03 4.582e-03
  6  6  1 13  2 0.000e+00 3.375e+01 5.000e-02 1.736e-03 1.369e-03 1.064e-03 7.814e-04 4.790e-04
  6  6  1 14  2 0.000e+00 3.375e+01 4.000e-02 2.606e-03 2.136e-03 1.688e-03 1.254e-03 6.900e-04
  6  6  1 15  2 0.000e+00 3.375e+01 4.000e-02 9.561e-04 6.317e-04 3.699e-04 1.737e-04 2.430e-05
  6  6  1 16  2 0.000e+00 3.375e+01 5.000e-02 1.264e-03 7.723e-04 4.276e-04 1.974e-04 2.897e-05
  6  6  1 17  2 0.000e+00 3.456e+01 4.000e-02 1.882e-03 1.575e-03 1.377e-03 1.132e-03 7.687e-04
  6  6  1 18  1 9.284e-03 3.456e+01 1.060e+00 1.091e-03 1.169e-03 1.203e-03 1.184e-03 1.073e-03
  6  6  1 19  1 1.860e-02 3.456e+01 1.060e+00 2.185e-03 2.341e-03 2.412e-03 2.373e-03 2.150e-03
  6  6  1 20  2 0.000e+00 3.456e+01 4.000e-02 8.198e-04 6.500e-04 5.539e-04 4.394e-04 2.594e-04
  6  6  1 21  2 0.000e+00 3.456e+01 4.000e-02 1.229e-03 9.749e-04 8.312e-04 6.594e-04 3.855e-04
  6  6  1 22  2 0.000e+00 3.456e+01 4.000e-02 1.798e-04 1.178e-04 8.709e-05 5.638e-05 1.965e-05
  6  6  1 23  2 0.000e+00 3.456e+01 4.000e-02 2.357e-04 1.575e-04 1.150e-04 7.552e-05 2.348e-05
  6  6  1 24  2 0.000e+00 3.456e+01 4.000e-02 1.809e-05 1.170e-05 8.350e-06 4.401e-06 3.180e-07
  6  6  1 25  2 0.000e+00 3.456e+01 3.000e-02 2.275e-05 1.571e-05 1.084e-05 6.377e-06 1.324e-06
  6  6  2  5  2 0.000e+00 5.000e+00 2.000e-01 1.660e-01 1.658e-01 1.769e-01 1.920e-01 2.365e-01
  6  6  2  6  1 2.896e-01 5.000e+00 1.410e+00 1.052e-01 9.231e-02 9.654e-02 1.157e-01 2.315e-01
  6  6  2  7  1 5.802e-01 5.000e+00 1.410e+00 2.107e-01 1.849e-01 1.934e-01 2.318e-01 4.639e-01
  6  6  2  8  2 0.000e+00 5.000e+00 1.700e-01 1.832e-01 1.691e-01 1.786e-01 1.889e-01 2.523e-01
  6  6  2  9  2 0.000e+00 5.000e+00 1.500e-01 2.797e-01 2.531e-01 2.667e-01 2.794e-01 3.732e-01
  6  6  2 10  2 0.000e+00 6.750e+00 1.600e-01 4.521e-02 4.049e-02 3.940e-02 3.982e-02 4.552e-02
  6  6  2 11  1 6.846e-02 6.750e+00 1.410e+00 3.925e-02 2.842e-02 2.657e-02 2.784e-02 4.057e-02
  6  6  2 12  1 1.371e-01 6.750e+00 1.410e+00 7.862e-02 5.693e-02 5.322e-02 5.577e-02 8.125e-02
  6  6  2 13  2 0.000e+00 6.750e+00 1.100e-01 7.002e-02 5.174e-02 4.448e-02 3.862e-02 3.727e-02
  6  6  2 14  2 0.000e+00 6.750e+00 1.100e-01 1.050e-01 7.762e-02 6.672e-02 5.793e-02 5.590e-02
  6  6  2 15  2 0.000e+00 6.750e+00 1.100e-01 5.300e-02 4.249e-02 3.558e-02 2.893e-02 2.404e-02
  6  6  2 16  2 0.000e+00 6.750e+00 1.100e-01 7.055e-02 5.655e-02 4.736e-02 3.850e-02 3.200e-02
  6  6  2 17  2 0.000e+00 7.560e+00 1.100e-01 1.811e-02 1.707e-02 1.691e-02 1.698e-02 1.836e-02
  6  6  2 18  1 2.793e-02 7.560e+00 1.410e+00 1.717e-02 1.408e-02 1.285e-02 1.186e-02 1.478e-02
