SEQ='SI'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  87051892.1   NPRNTI= 5   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      777.3 
    58     1    3S2 3P1 5D1         (1)2( 2.0)    91144.6*
    59     1    3S2 3P1 5D1         (3)2( 1.0)    91279.3*
    60     2    3S2 3P1 5D1         (3)2( 2.0)    91663.0*     0.00E+00
    61     2    3S2 3P1 5D1         (3)3( 4.0)    91764.4*     0.00E+00
    62     2    3S2 3P1 5D1         (3)2( 3.0)    91801.1*     0.00E+00
    63     2    3S2 3P1 5D1         (1)3( 3.0)    92328.9*     0.00E+00
    64     2    3S2 3P1 5D1         (3)1( 2.0)    92569.3*     0.00E+00
    65     2    3S2 3P1 5D1         (3)1( 1.0)    92635.6*     0.00E+00
    66     2    3S2 3P1 5D1         (3)1( 0.0)    92781.7*     0.00E+00
    67     2    3S2 3P1 5D1         (1)1( 1.0)    92901.9*     0.00E+00
    68     1    3S2 3P1 6S1         (3)1( 0.0)    93164.2*
    69     1    3S2 3P1 6S1         (3)1( 1.0)    93308.3*
    70     2    3S2 3P1 6S1         (3)1( 2.0)    93989.0*     0.00E+00
    71     2    3S2 3P1 6S1         (1)1( 1.0)    94590.4*     0.00E+00
    72     1    3S2 3P1 5G1         (1)4( 4.0)    96846.5*
    73     1    3S2 3P1 5G1         (3)4( 3.0)    96854.0*
    74     1    3S2 3P1 5G1         (3)4( 4.0)    96895.5*
    75     1    3S2 3P1 5G1         (3)4( 5.0)    96907.1*
    76     1    3S2 3P1 5F1         (1)3( 3.0)    97159.8*
    77     1    3S2 3P1 5F1         (3)3( 3.0)    97256.0*
    78     1    3S2 3P1 5F1         (3)3( 4.0)    97355.8*
    79     1    3S2 3P1 5F1         (3)3( 2.0)    97357.6*
    80     2    3S2 3P1 5G1         (3)5( 4.0)    97668.7*     0.00E+00
    81     2    3S2 3P1 5G1         (3)5( 5.0)    97685.6*     0.00E+00
    82     1    3S2 3P1 6P1         (1)1( 1.0)    97710.5*
    83     2    3S2 3P1 5F1         (3)4( 3.0)    97903.8*     0.00E+00
    84     2    3S2 3P1 5G1         (3)3( 4.0)    97918.7*     0.00E+00
    85     2    3S2 3P1 5G1         (1)3( 3.0)    97937.1*     0.00E+00
    86     2    3S2 3P1 5F1         (3)4( 4.0)    97979.8*     0.00E+00
    87     2    3S2 3P1 5G1         (3)5( 6.0)    98013.4*     0.00E+00
    88     2    3S2 3P1 5G1         (1)5( 5.0)    98043.5*     0.00E+00
    89     2    3S2 3P1 5F1         (3)4( 5.0)    98106.4*     0.00E+00
    90     2    3S2 3P1 5G1         (3)3( 2.0)    98211.5*     0.00E+00
    91     2    3S2 3P1 5G1         (3)3( 3.0)    98230.4*     0.00E+00
    92     2    3S2 3P1 5F1         (3)2( 3.0)    98256.3*     0.00E+00
    93     2    3S2 3P1 5F1         (3)2( 2.0)    98377.5*     0.00E+00
    94     1    3S2 3P1 6P1         (3)2( 1.0)    98430.5*
    95     2    3S2 3P1 5F1         (3)2( 1.0)    98504.5*     0.00E+00
    96     1    3S2 3P1 6P1         (3)2( 2.0)    98647.8*
    97     2    3S2 3P1 5F1         (1)4( 4.0)    99016.0*     0.00E+00
    98     2    3S2 3P1 6P1         (3)2( 3.0)    99118.6*     0.00E+00
    99     2    3S2 3P1 6P1         (3)0( 1.0)    99178.9*     0.00E+00
   100     2    3S2 3P1 5F1         (1)2( 2.0)    99179.3*     0.00E+00
   101     1    3S2 3P1 6P1         (3)1( 0.0)    99226.3*
   102     2    3S2 3P1 6P1         (3)1( 1.0)    99690.7*     0.00E+00
   103     2    3S2 3P1 6P1         (3)1( 2.0)    99773.2*     0.00E+00
   104     2    3S2 3P1 6P1         (1)0( 0.0)   101840.2*     0.00E+00
   105     2    3S2 3P1 6P1         (1)2( 2.0)   102811.9*     0.00E+00
   106     1    3S2 3P1 6D1         (1)2( 2.0)   105049.2*
   107     1    3S2 3P1 6D1         (3)2( 1.0)   105543.2*
   108     1    3S2 3P1 6D1         (1)3( 3.0)   105609.3*
   109     1    3S2 3P1 6D1         (3)2( 2.0)   105707.8*
   110     2    3S2 3P1 6D1         (3)2( 3.0)   106051.9*     0.00E+00
