  statistical weighted cross sections of H I to  n=10 from Nahar
    1    2 1000     0.01000    13.59843
   13.605692863464355        6.3041002888141772E-018
   13.741749792098998        6.1390002812503347E-018
   13.877806720733643        5.9796002739476296E-018
   14.013863649368286        5.8256002668923195E-018
   14.149920578002931        5.6769002600798217E-018
   14.285977506637574        5.5333002535009731E-018
   14.422034435272218        5.3944002471374501E-018
   14.558091363906861        5.2602002409892512E-018
   14.694148292541504        5.1304002350426321E-018
   14.830205221176149        5.0048002292884308E-018
   14.966262149810792        4.8833002237220660E-018
   15.102319078445436        4.7657002183343739E-018
   15.238376007080079        4.6519002131207744E-018
   15.374432935714720        4.5416002080675224E-018
   15.510489864349363        4.4349002031791998E-018
   15.646546792984008        4.3314001984374822E-018
   15.782603721618651        4.2311001938423665E-018
   15.918660650253296        4.1339001893892747E-018
   16.054717578887939        4.0396001850690429E-018
   16.190774507522583        3.9482001808816697E-018
   16.326831436157224        3.8595001768179944E-018
   16.462888364791869        3.7735001728780153E-018
   16.598945293426514        3.6900001690525711E-018
   16.735002222061159        3.6089001653370799E-018
   16.871059150695800        3.5302001617315409E-018
   17.007116079330444        3.4537001582267929E-018
   17.143173007965089        3.3795001548274161E-018
   17.279229936599730        3.3073001515196665E-018
   17.415286865234375        3.2372001483081259E-018
   17.551343793869020        3.1690001451836310E-018
   17.687400722503664        3.1028001421507635E-018
   17.823457651138305        3.0383001391957796E-018
   17.959514579772950        2.9757001363278416E-018
   18.095571508407595        2.9147001335332056E-018
   18.231628437042236        2.8554001308164532E-018
   18.367685365676881        2.7977001281730022E-018
   18.503742294311525        2.7415001255982722E-018
   18.639799222946170        2.6868001230922624E-018
   18.775856151580808        2.6335001206503920E-018
   18.911913080215452        2.5817001182772423E-018
   19.047970008850097        2.5312001159636501E-018
   19.184026937484742        2.4820001137096160E-018
   19.320083866119383        2.4340001115105579E-018
   19.456140794754027        2.3873001093710582E-018
   19.592197723388672        2.3417001072819527E-018
   19.728254652023313        2.2973001052478245E-018
   19.864311580657958        2.2541001032686727E-018
   20.000368509292603        2.2118001013307530E-018
   20.136425437927247        2.1707000994478093E-018
   20.272482366561889        2.1305000976060983E-018
   20.408539295196533        2.0913000958102013E-018
   20.544596223831178        2.0531000940601177E-018
   20.680653152465819        2.0158000923512664E-018
   20.816710081100464        1.9794000906836475E-018
   20.952767009735108        1.9438000890526795E-018
   21.088823938369753        1.9091000874629442E-018
   21.224880867004394        1.8753000859144409E-018
   21.360937795639039        1.8422000843980074E-018
   21.496994724273684        1.8098000829136432E-018
   21.633051652908325        1.7783000814705117E-018
   21.769108581542969        1.7474000800548681E-018
   21.905165510177614        1.7173000786758756E-018
   22.041222438812259        1.6878000773243712E-018
   22.177279367446896        1.6590000760049365E-018
   22.313336296081541        1.6309000747175715E-018
   22.449393224716186        1.6033000734531132E-018
   22.585450153350831        1.5764000722207245E-018
   22.721507081985472        1.5501000710158242E-018
   22.857564010620116        1.5244000698384119E-018
   22.993620939254761        1.4992000686839066E-018
   23.129677867889402        1.4746000675568893E-018
   23.265734796524047        1.4505000664527790E-018
   23.401791725158692        1.4269000653715758E-018
   23.537848653793336        1.4039000643178604E-018
   23.673905582427977        1.3813000632824707E-018
   23.809962511062622        1.3592000622699878E-018
   23.946019439697267        1.3376000612804116E-018
   24.082076368331908        1.3164000603091611E-018
   24.218133296966553        1.2957000593608176E-018
   24.354190225601197        1.2754000584307993E-018
   24.490247154235842        1.2555000575191067E-018
   24.626304082870483        1.2360000566257393E-018
   24.762361011505128        1.2169000557506976E-018
   24.898417940139772        1.1982000548939813E-018
   25.034474868774414        1.1799000540555905E-018
   25.170531797409058        1.1620000532355250E-018
   25.306588726043703        1.1444000524292040E-018
   25.442645654678348        1.1271000516366269E-018
   25.578702583312985        1.1102000508623753E-018
   25.714759511947630        1.0937000501064491E-018
   25.850816440582275        1.0775000493642670E-018
   25.986873369216919        1.0615000486312479E-018
   26.122930297851561        1.0459000479165540E-018
   26.258987226486205        1.0306000472156043E-018
   26.395044155120850        1.0156000465283988E-018
   26.531101083755491        1.0009000458549371E-018
   26.667158012390136        9.8645004519292939E-019
   26.803214941024780        9.7228004454374915E-019
   26.939271869659425        9.5838004390693851E-019
   27.075328798294066        9.4475004328249765E-019
   27.211385726928711        9.3136004266905225E-019
   27.347442655563352        9.1823004206751832E-019
   27.483499584197997        9.0534004147697965E-019
   27.619556512832638        8.9269004089743624E-019
   27.755613441467286        8.8027004032842998E-019
   27.891670370101927        8.6808003976996105E-019
   28.027727298736572        8.5612003922202908E-019
   28.163784227371213        8.4436003868325992E-019
   28.299841156005861        8.3283003815502790E-019
   28.435898084640503        8.2149003763550058E-019
   28.571955013275147        8.1037003712605211E-019
   28.708011941909788        7.9944003662530833E-019
   28.844068870544437        7.8870003613326906E-019
   28.980125799179074        7.7815003564993449E-019
   29.116182727813722        7.6779003517530453E-019
   29.252239656448364        7.5762003470937916E-019
   29.388296585083008        7.4761003425078397E-019
   29.524353513717649        7.3779003380089329E-019
   29.660410442352298        7.2813003335833306E-019
   29.796467370986939        7.1864003292356093E-019
   29.932524299621583        7.0931003249611906E-019
   30.068581228256225        7.0014003207600737E-019
   30.204638156890873        6.9113003166322594E-019
   30.340695085525514        6.8227003125731657E-019
   30.476752014160159        6.7356003085827917E-019
   30.612808942794800        6.6499003046565562E-019
   30.748865871429441        6.5657003007990423E-019
   30.884922800064086        6.4829002970056678E-019
   31.020979728698727        6.4015002932764319E-019
   31.157036657333375        6.3214002896067553E-019
   31.293093585968016        6.2426002859966351E-019
   31.429150514602661        6.1651002824460724E-019
   31.565207443237302        6.0889002789550689E-019
   31.701264371871950        6.0139002755190399E-019
   31.837321300506591        5.9402002721425701E-019
   31.973378229141236        5.8676002688164946E-019
   32.109435157775877        5.7962002655453973E-019
   32.245492086410522        5.7259002623246942E-019
   32.381549015045167        5.6568002591589654E-019
   32.517605943679811        5.5887002560390527E-019
   32.653662872314449        5.5218002529741162E-019
   32.789719800949101        5.4559002499549928E-019
   32.925776729583738        5.3910002469816835E-019
   33.061833658218383        5.3271002440541882E-019
   33.197890586853028        5.2643002411770862E-019
   33.333947515487672        5.2024002383412190E-019
   33.470004444122317        5.1414002355465829E-019
   33.606061372756962        5.0815002328023419E-019
   33.742118301391599        5.0224002300947518E-019
   33.878175230026251        4.9642002274283936E-019
   34.014232158660889        4.9069002248032694E-019
   34.150289087295526        4.8505002222193761E-019
   34.286346015930178        4.7949002196721338E-019
   34.422402944564816        4.7402002171661243E-019
   34.558459873199460        4.6863002146967657E-019
   34.694516801834105        4.6332002122640580E-019
   34.830573730468750        4.5809002098680012E-019
   34.966630659103394        4.5294002075085952E-019
   35.102687587738039        4.4786002051812589E-019
   35.238744516372677        4.4286002028905735E-019
   35.374801445007328        4.3793002006319578E-019
   35.510858373641966        4.3307001984054124E-019
   35.646915302276611        4.2829001962155169E-019
   35.782972230911255        4.2357001940531099E-019
   35.919029159545900        4.1892001919227728E-019
   36.055086088180538        4.1434001898245048E-019
   36.191143016815190        4.0983001877583072E-019
   36.327199945449827        4.0538001857195971E-019
   36.463256874084472        4.0099001837083757E-019
   36.599313802719116        3.9667001817292236E-019
   36.735370731353761        3.9240001797729785E-019
   36.871427659988406        3.8820001778488026E-019
   37.007484588623051        3.8406001759521154E-019
   37.143541517257688        3.7997001740783347E-019
   37.279598445892340        3.7594001722320422E-019
   37.415655374526978        3.7197001704132387E-019
   37.551712303161615        3.6805001686173409E-019
   37.687769231796267        3.6419001668489322E-019
   37.823826160430905        3.6038001651034300E-019
   37.959883089065549        3.5662001633808348E-019
   38.095940017700194        3.5292001616857278E-019
   38.231996946334839        3.4926001600089462E-019
   38.368053874969483        3.4566001583596527E-019
   38.504110803604128        3.4210001567286847E-019
   38.640167732238766        3.3859001551206237E-019
   38.776224660873417        3.3513001535354693E-019
   38.912281589508055        3.3172001519732223E-019
   39.048338518142700        3.2835001504292998E-019
   39.184395446777344        3.2502001489037038E-019
   39.320452375411989        3.2174001474010147E-019
   39.456509304046627        3.1851001459212317E-019
   39.592566232681278        3.1531001444551930E-019
   39.728623161315916        3.1216001430120614E-019
   39.864680089950561        3.0905001415872552E-019
   40.000737018585205        3.0598001401807744E-019
   40.136793947219850        3.0295001387926190E-019
   40.272850875854495        2.9996001374227896E-019
   40.408907804489139        2.9701001360712851E-019
   40.544964733123777        2.9410001347381060E-019
   40.681021661758429        2.9123001334232528E-019
   40.817078590393066        2.8839001321221435E-019
   40.953135519027704        2.8558001308347785E-019
   41.089192447662356        2.8282001295703205E-019
   41.225249376296993        2.8009001283196063E-019
   41.361306304931638        2.7739001270826365E-019
   41.497363233566283        2.7473001258639916E-019
   41.633420162200927        2.7210001246590915E-019
   41.769477090835572        2.6950001234679352E-019
   41.905534019470217        2.6694001222951043E-019
   42.041590948104854        2.6441001211360169E-019
   42.177647876739506        2.6191001199906746E-019
   42.313704805374144        2.5944001188590762E-019
   42.449761734008788        2.5700001177412217E-019
   42.585818662643433        2.5459001166371114E-019
   42.721875591278078        2.5222001155513266E-019
   42.857932519912715        2.4987001144747045E-019
   42.993989448547367        2.4755001134118267E-019
   43.130046377182005        2.4525001123581112E-019
   43.266103305816650        2.4299001113227220E-019
   43.402160234451294        2.4075001102964946E-019
   43.538217163085939        2.3854001092840120E-019
   43.674274091720584        2.3636001082852727E-019
   43.810331020355228        2.3420001072956971E-019
   43.946387948989866        2.3207001063198649E-019
   44.082444877624518        2.2997001053577775E-019
   44.218501806259155        2.2788001044002706E-019
   44.354558734893793        2.2583001034610897E-019
   44.490615663528445        2.2380001025310716E-019
   44.626672592163082        2.2179001016102161E-019
   44.762729520797727        2.1981001007031049E-019
   44.898786449432372        2.1785000998051560E-019
   45.034843378067016        2.1591000989163703E-019
   45.170900306701661        2.1399000980367475E-019
   45.306957235336306        2.1210000971708683E-019
   45.443014163970943        2.1023000963141519E-019
   45.579071092605595        2.0838000954665986E-019
   45.715128021240233        2.0655000946282078E-019
   45.851184949874877        2.0475000938035608E-019
   45.987241878509522        2.0296000929834957E-019
   46.123298807144167        2.0119000921725930E-019
   46.259355735778804        1.9945000913754345E-019
   46.395412664413456        1.9772000905828575E-019
   46.531469593048094        1.9602000898040246E-019
   46.667526521682738        1.9433000890297728E-019
   46.803583450317383        1.9266000882646839E-019
   46.939640378952028        1.9102000875133392E-019
   47.075697307586672        1.8939000867665758E-019
   47.211754236221317        1.8777000860243937E-019
   47.347811164855955        1.8618000852959560E-019
   47.483868093490607        1.8460000845720993E-019
   47.619925022125244        1.8304000838574057E-019
   47.755981950759882        1.8150000831518745E-019
   47.892038879394534        1.7998000824555062E-019
   48.028095808029171        1.7847000817637191E-019
   48.164152736663816        1.7698000810810949E-019
   48.300209665298460        1.7551000804076335E-019
   48.436266593933105        1.7405000797387536E-019
   48.572323522567750        1.7260000790744549E-019
   48.708380451202395        1.7118000784239002E-019
   48.844437379837032        1.6977000777779269E-019
   48.980494308471684        1.6837000771365350E-019
   49.116551237106322        1.6699000765043060E-019
   49.252608165740966        1.6562000758766581E-019
   49.388665094375611        1.6427000752581732E-019
   49.524722023010256        1.6293000746442694E-019
   49.660778951644893        1.6161000740395285E-019
   49.796835880279545        1.6030000734393690E-019
   49.932892808914183        1.5901000728483725E-019
   50.068949737548827        1.5773000722619568E-019
   50.205006666183472        1.5646000716801228E-019
   50.341063594818117        1.5521000711074514E-019
   50.477120523452761        1.5396000705347803E-019
   50.613177452087406        1.5274000699758528E-019
   50.749234380722044        1.5152000694169257E-019
   50.885291309356695        1.5032000688671614E-019
   51.021348237991333        1.4913000683219784E-019
   51.157405166625971        1.4795000677813766E-019
   51.293462095260622        1.4679000672499375E-019
   51.429519023895260        1.4563000667184986E-019
   51.565575952529905        1.4449000661962224E-019
   51.701632881164549        1.4336000656785273E-019
   51.837689809799194        1.4224000651654141E-019
   51.973746738433839        1.4114000646614631E-019
   52.109803667068483        1.4004000641575124E-019
   52.245860595703121        1.3896000636627243E-019
   52.381917524337773        1.3788000631679365E-019
   52.517974452972410        1.3682000626823112E-019
   52.654031381607055        1.3577000622012672E-019
   52.790088310241700        1.3473000617248046E-019
   52.926145238876344        1.3370000612529236E-019
   53.062202167510982        1.3268000607856237E-019
   53.198259096145634        1.3167000603229054E-019
   53.334316024780271        1.3067000598647683E-019
   53.470372953414916        1.2968000594112125E-019
   53.606429882049561        1.2870000589622385E-019
   53.742486810684206        1.2773000585178454E-019
   53.878543739318850        1.2677000580780336E-019
   54.014600667953495        1.2582000576428035E-019
   54.150657596588132        1.2487000572075733E-019
   54.286714525222784        1.2394000567815059E-019
   54.422771453857422        1.2302000563600198E-019
   54.558828382492059        1.2210000559385337E-019
   54.694885311126704        1.2120000555262104E-019
   54.830942239761356        1.2030000551138870E-019
   54.966999168395994        1.1941000547061452E-019
   55.103056097030638        1.1853000543029844E-019
   55.239113025665276        1.1766000539044053E-019
   55.375169954299928        1.1680000535104074E-019
   55.511226882934572        1.1594000531164094E-019
   55.647283811569210        1.1510000527315745E-019
   55.783340740203855        1.1426000523467392E-019
   55.919397668838506        1.1343000519664856E-019
   56.055454597473144        1.1261000515908131E-019
   56.191511526107789        1.1179000512151408E-019
   56.327568454742426        1.1099000508486313E-019
   56.463625383377078        1.1019000504821215E-019
   56.599682312011723        1.0940000501201933E-019
   56.735739240646360        1.0861000497582649E-019
   56.871796169281005        1.0784000494054995E-019
   57.007853097915657        1.0707000490527339E-019
   57.143910026550294        1.0630000486999685E-019
   57.279966955184939        1.0555000483563657E-019
   57.416023883819577        1.0480000480127628E-019
   57.552080812454228        1.0406000476737414E-019
   57.688137741088873        1.0333000473393014E-019
   57.824194669723511        1.0260000470048613E-019
   57.960251598358148        1.0188000466750026E-019
   58.096308526992793        1.0116000463451439E-019
   58.232365455627445        1.0046000460244480E-019
   58.368422384262082        9.9755004570146130E-020
   58.504479312896727        9.9061004538351419E-020
   58.640536241531365        9.8372004506785788E-020
   58.776593170166016        9.7690004475540837E-020
   58.912650098800661        9.7014004444570772E-020
   59.048707027435299        9.6345004413921400E-020
   59.184763956069943        9.5681004383501108E-020
   59.320820884704595        9.5023004353355678E-020
   59.456877813339233        9.4372004323530965E-020
   59.592934741973878        9.3726004293935320E-020
   59.728991670608515        9.3086004264614548E-020
   59.865048599243167        9.2452004235568664E-020
   60.001105527877812        9.1823004206751835E-020
   60.137162456512449        9.1200004178209892E-020
   60.273219385147094        9.0582004149897017E-020
   60.409276313781746        8.9970004121859028E-020
   60.545333242416383        8.9364004094095926E-020
   60.681390171051028        8.8762004066516073E-020
   60.817447099685666        8.8166004039211106E-020
   60.953504028320317        8.7576004012181026E-020
   61.089560956954962        8.6990003985334195E-020
   61.225617885589600        8.6410003958762250E-020
   61.361674814224237        8.5834003932373543E-020
   61.497731742858882        8.5264003906259746E-020
   61.633788671493534        8.4699003880374993E-020
   61.769845600128171        8.4138003854673513E-020
   61.905902528762816        8.3583003829246908E-020
   62.041959457397454        8.3032003804003540E-020
   62.178016386032105        8.2486003778989276E-020
   62.314073314666750        8.1945003754204056E-020
   62.450130243301388        8.1408003729602085E-020
   62.586187171936032        8.0876003705229206E-020
   62.722244100570684        8.0348003681039565E-020
   62.858301029205322        7.9825003657078992E-020
   62.994357957839966        7.9307003633347498E-020
   63.130414886474604        7.8793003609799254E-020
   63.266471815109256        7.8283003586434272E-020
   63.402528743743900        7.7778003563298345E-020
   63.538585672378538        7.7276003540299861E-020
   63.674642601013183        7.6779003517530458E-020
   63.810699529647835        7.6287003494990110E-020
   63.946756458282472        7.5798003472587217E-020
   64.082813386917110        7.5314003450413380E-020
   64.218870315551754        7.4833003428376986E-020
   64.354927244186413        7.4357003406569661E-020
   64.490984172821044        7.3884003384899778E-020
   64.627041101455688        7.3416003363458963E-020
   64.763098030090333        7.2951003342155591E-020
   64.899154958724964        7.2490003321035469E-020
   65.035211887359623        7.2033003300098608E-020
   65.171268815994267        7.1580003279345009E-020
   65.307325744628898        7.1131003258774647E-020
   65.443382673263542        7.0685003238341729E-020
   65.579439601898201        7.0243003218092083E-020
   65.715496530532832        6.9804003197979869E-020
   65.851553459167476        6.9370003178096711E-020
   65.987610387802121        6.8938003158305190E-020
   66.123667316436766        6.8510003138696930E-020
   66.259724245071411        6.8086003119271907E-020
   66.395781173706055        6.7665003099984352E-020
   66.531838102340700        6.7248003080880034E-020
   66.667895030975345        6.6833003061867353E-020
   66.803951959609989        6.6423003043083716E-020
   66.940008888244634        6.6015003024391740E-020
   67.076065816879265        6.5611003005883001E-020
   67.212122745513923        6.5210002987511705E-020
   67.348179674148568        6.4812002969277840E-020
   67.484236602783199        6.4418002951227249E-020
   67.620293531417843        6.4026002933268271E-020
   67.756350460052502        6.3638002915492554E-020
   67.892407388687133        6.3253002897854280E-020
   68.028464317321777        6.2870002880307631E-020
   68.164521245956422        6.2491002862944231E-020
   68.300578174591053        6.2115002845718287E-020
   68.436635103225711        6.1742002828629773E-020
   68.572692031860356        6.1372002811678703E-020
   68.708748960494987        6.1004002794819257E-020
   68.844805889129631        6.0640002778143073E-020
   68.980862817764290        6.0278002761558502E-020
   69.116919746398921        5.9919002745111386E-020
   69.252976675033565        5.9563002728801701E-020
   69.389033603668210        5.9210002712629471E-020
   69.525090532302855        5.8860002696594672E-020
   69.661147460937499        5.8512002680651510E-020
   69.797204389572144        5.8167002664845779E-020
   69.933261318206789        5.7824002649131673E-020
   70.069318246841434        5.7484002633555022E-020
   70.205375175476078        5.7147002618115802E-020
   70.341432104110723        5.6813002602814025E-020
   70.477489032745353        5.6481002587603873E-020
   70.613545961380012        5.6151002572485346E-020
   70.749602890014657        5.5824002557504262E-020
   70.885659818649287        5.5500002542660621E-020
   71.021716747283932        5.5178002527908605E-020
   71.157773675918591        5.4858002513248225E-020
   71.293830604553222        5.4541002498725277E-020
   71.429887533187866        5.4226002484293965E-020
   71.565944461822511        5.3914002470000084E-020
   71.702001390457141        5.3604002455797840E-020
   71.838058319091800        5.3296002441687221E-020
   71.974115247726445        5.2991002427714045E-020
   72.110172176361075        5.2688002413832488E-020
   72.246229104995720        5.2387002400042568E-020
   72.382286033630379        5.2088002386344266E-020
   72.518342962265010        5.1792002372783407E-020
   72.654399890899654        5.1498002359314180E-020
   72.790456819534299        5.1206002345936576E-020
   72.926513748168944        5.0916002332650604E-020
   73.062570676803588        5.0629002319502069E-020
   73.198627605438233        5.0343002306399346E-020
   73.334684534072878        5.0060002293434072E-020
   73.470741462707522        4.9779002280560417E-020
   73.606798391342167        4.9499002267732581E-020
   73.742855319976812        4.9222002255042187E-020
   73.878912248611442        4.8947002242443412E-020
   74.014969177246101        4.8674002229936280E-020
   74.151026105880746        4.8403002217520761E-020
   74.287083034515376        4.8134002205196879E-020
   74.423139963150021        4.7866002192918803E-020
   74.559196891784680        4.7601002180778170E-020
   74.695253820419310        4.7338002168729161E-020
   74.831310749053955        4.7076002156725977E-020
   74.967367677688600        4.6817002144860225E-020
   75.103424606323230        4.6559002133040290E-020
   75.239481534957889        4.6303002121311981E-020
   75.375538463592534        4.6049002109675302E-020
   75.511595392227164        4.5797002098130241E-020
   75.647652320861809        4.5547002086676818E-020
   75.783709249496468        4.5298002075269207E-020
   75.919766178131098        4.5051002063953221E-020
   76.055823106765743        4.4806002052728865E-020
   76.191880035400388        4.4563002041596134E-020
   76.327936964035032        4.4322002030555034E-020
   76.463993892669677        4.4082002019559747E-020
   76.600050821304322        4.3844002008656084E-020
   76.736107749938967        4.3607001997798233E-020
   76.872164678573611        4.3372001987032013E-020
   77.008221607208256        4.3139001976357412E-020
   77.144278535842901        4.2908001965774454E-020
   77.280335464477531        4.2678001955237302E-020
   77.416392393112190        4.2450001944791775E-020
   77.552449321746835        4.2223001934392060E-020
   77.688506250381465        4.1998001924083982E-020
   77.824563179016110        4.1774001913821710E-020
   77.960620107650769        4.1552001903651069E-020
   78.096677036285399        4.1332001893572053E-020
   78.232733964920044        4.1113001883538849E-020
   78.368790893554689        4.0896001873597282E-020
   78.504847822189319        4.0680001863701522E-020
   78.640904750823978        4.0465001853851573E-020
   78.776961679458623        4.0253001844139062E-020
   78.913018608093253        4.0041001834426563E-020
   79.049075536727898        3.9831001824805682E-020
