  1     1 2s2             1  0 S  0.0  1          0.000       0.000000          0.000       0.000000
  2     2 2s.2p           3  1 P  0.0  1     140504.359       1.280370     141569.906       1.290080
  3     2 2s.2p           3  1 P  1.0  3     141631.359       1.290640     142715.562       1.300520
  4     2 2s.2p           3  1 P  2.0  5     144091.453       1.313058     145207.703       1.323230
  5     2 2s.2p           1  1 P  1.0  3     271687.750       2.475801     285381.750       2.600590
  6     3 2p2             3  1 P  0.0  1     365857.062       3.333935     368685.531       3.359710
  7     3 2p2             3  1 P  1.0  3     367160.094       3.345809     369967.281       3.371390
  8     3 2p2             3  1 P  2.0  5     369331.031       3.365592     372137.875       3.391170
  9     3 2p2             1  2 D  2.0  5     405101.125       3.691553     416232.531       3.792990
 10     3 2p2             1  0 S  0.0  1     499634.406       4.553004     515191.438       4.694770
 11     4 2s.3s           3  0 S  1.0  3    1532450.000      13.964712    1491251.125      13.589280
 12     4 2s.3s           1  0 S  0.0  1    1558080.000      14.198270    1525699.875      13.903200
 13     5 2s.3p           1  1 P  1.0  3    1593600.000      14.521952    1572948.375      14.333760
 14     5 2s.3p           3  1 P  0.0  1          0.000       0.000000    1575002.625      14.352480
 15     5 2s.3p           3  1 P  1.0  3          0.000       0.000000    1575792.750      14.359680
 16     5 2s.3p           3  1 P  2.0  5          0.000       0.000000    1576740.875      14.368320
 17     6 2s.3d           3  2 D  1.0  3    1631040.000      14.863131    1624463.375      14.803200
 18     6 2s.3d           3  2 D  2.0  5    1631170.000      14.864315    1624463.375      14.803200
 19     6 2s.3d           3  2 D  3.0  7    1631320.000      14.865682    1626043.625      14.817600
 20     6 2s.3d           1  2 D  2.0  5    1654580.000      15.077643    1660808.250      15.134399
 21     8 2p.3p           3  1 P  0.0  1          0.000       0.000000    1791966.375      16.329599
 22     8 2p.3p           1  0 S  0.0  1          0.000       0.000000    1866236.750      17.006401
 23     8 2p.3p           3  2 D  3.0  7    1758970.000      16.028915    1769843.375      16.128000
 24     7 2p.3s           3  1 P  0.0  1    1710140.000      15.583943    1701894.000      15.508800
 25     9 2p.3d           3  1 P  0.0  1    1816730.000      16.555262    1850434.500      16.862400
 26     9 2p.3d           3  3 F  4.0  9          0.000       0.000000    1814089.500      16.531200
 27     8 2p.3p           1  1 P  1.0  3    1748120.000      15.930042    1754041.250      15.984000
 28     8 2p.3p           3  2 D  1.0  3    1755470.000      15.997020    1763522.500      16.070400
 29     8 2p.3p           3  0 S  1.0  3    1770380.000      16.132891    1785645.500      16.271999
 30     8 2p.3p           3  1 P  1.0  3    1778690.000      16.208616    1795126.875      16.358400
 31     8 2p.3p           3  2 D  2.0  5    1756470.000      16.006132    1765102.750      16.084801
 32     8 2p.3p           3  1 P  2.0  5    1779990.000      16.220463    1796707.125      16.372801
 33     8 2p.3p           1  2 D  2.0  5    1795870.000      16.365171    1823570.750      16.617599
 34     7 2p.3s           3  1 P  1.0  3    1711250.000      15.594058    1705054.500      15.537601
 35     7 2p.3s           1  1 P  1.0  3    1743040.000      15.883750    1742979.625      15.883200
 36     9 2p.3d           3  2 D  1.0  3    1807320.000      16.469513    1839373.000      16.761600
 37     9 2p.3d           3  1 P  1.0  3    1816210.000      16.550524    1850434.500      16.862400
 38     9 2p.3d           1  1 P  1.0  3    1841560.000      16.781530    1889940.000      17.222401
 39     7 2p.3s           3  1 P  2.0  5    1713900.000      15.618207    1708214.875      15.566400
 40     9 2p.3d           3  3 F  2.0  5          0.000       0.000000    1807768.625      16.473600
 41     9 2p.3d           1  2 D  2.0  5    1789640.000      16.308399    1812509.250      16.516800
 42     9 2p.3d           3  2 D  2.0  5    1807860.000      16.474434    1839373.000      16.761600
 43     9 2p.3d           3  1 P  2.0  5    1815220.000      16.541502    1848854.125      16.848000
 44     9 2p.3d           3  3 F  3.0  7          0.000       0.000000    1810929.000      16.502399
 45     9 2p.3d           3  2 D  3.0  7    1808860.000      16.483545    1842533.375      16.790400
 46     9 2p.3d           1  3 F  3.0  7    1834690.000      16.718925    1891520.000      17.236799
qq -1
%filename: mg_9.elvlc
%observed energy levels: Martin, W.C., Sugar, J., Musgrove, A., Dalton, G.R., 1995, 
   NIST Database for Atomic Spectroscopy, Version 1.0, NIST Standard Reference Database 61.
%Theoretical energy levels (1-10): Zhang, Sampson, ADNDT, 1992, 52, 143
%theoretical energy levels (11-46): Sampson, D.H., Goett, S.J., Clark, R.E.H., 1984, ADNDT, 30, 125.
%comment:  NIST values for levels 28 (E4) and 31 (F3) are uncertain
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%   K.P. Dere, Jan. 1996
 -1

qqq
    1    3        706.060      2.017e-05      8.993e+04                2s2 1S0.0 -               2s.2p 3P1.0
    1    4        694.005      0.000e+00      1.237e-01                2s2 1S0.0 -               2s.2p 3P2.0
    3    4      40648.934      0.000e+00      2.008e-01              2s.2p 3P1.0 -               2s.2p 3P2.0
    1    5        368.070      3.136e-01      5.147e+09                2s2 1S0.0 -               2s.2p 1P1.0
    3    6        445.980      1.203e-01      4.034e+09              2s.2p 3P1.0 -                 2p2 3P0.0
    5    6       1061.919      2.639e-05      1.561e+05              2s.2p 1P1.0 -                 2p2 3P0.0
    2    7        441.199      1.217e-01      1.390e+09              2s.2p 3P0.0 -                 2p2 3P1.0
    3    7        443.403      9.077e-02      1.026e+09              2s.2p 3P1.0 -                 2p2 3P1.0
    4    7        448.293      1.495e-01      1.654e+09              2s.2p 3P2.0 -                 2p2 3P1.0
    3    8        439.176      1.529e-01      1.058e+09              2s.2p 3P1.0 -                 2p2 3P2.0
    4    8        443.973      4.524e-01      3.062e+09              2s.2p 3P2.0 -                 2p2 3P2.0
    5    8       1024.138      3.445e-04      4.382e+05              2s.2p 1P1.0 -                 2p2 3P2.0
    3    9        379.551      5.700e-05      5.278e+05              2s.2p 3P1.0 -                 2p2 1D2.0
    4    9        383.128      1.025e-03      9.314e+06              2s.2p 3P2.0 -                 2p2 1D2.0
    5    9        749.551      3.417e-01      8.113e+08              2s.2p 1P1.0 -                 2p2 1D2.0
    3   10        279.328      8.578e-06      7.333e+05              2s.2p 3P1.0 -                 2p2 1S0.0
    5   10        438.700      2.273e-01      7.879e+09              2s.2p 1P1.0 -                 2p2 1S0.0
    2   11         71.842      3.454e-02      1.488e+10              2s.2p 3P0.0 -               2s.3s 3S1.0
    3   11         71.900      1.042e-01      4.482e+10              2s.2p 3P1.0 -               2s.3s 3S1.0
    4   11         72.028      1.758e-01      7.536e+10              2s.2p 3P2.0 -               2s.3s 3S1.0
    5   11         79.317      2.628e-05      9.286e+06              2s.2p 1P1.0 -               2s.3s 3S1.0
    3   12         70.599      4.120e-07      5.513e+05              2s.2p 3P1.0 -               2s.3s 1S0.0
    5   12         77.737      4.657e-02      5.140e+10              2s.2p 1P1.0 -               2s.3s 1S0.0
    9   12         86.732      0.000e+00      4.423e+06                2p2 1D2.0 -               2s.3s 1S0.0
    1   13         62.751      5.343e-01      3.017e+11                2s2 1S0.0 -               2s.3p 1P1.0
    5   13         75.648      0.000e+00      1.111e+07              2s.2p 1P1.0 -               2s.3p 1P1.0
    6   13         81.450      2.689e-05      9.012e+06                2p2 3P0.0 -               2s.3p 1P1.0
    7   13         81.537      4.248e-05      1.421e+07                2p2 3P1.0 -               2s.3p 1P1.0
    8   13         81.682      4.618e-04      1.539e+08                2p2 3P2.0 -               2s.3p 1P1.0
    9   13         84.140      9.242e-02      2.903e+10                2p2 1D2.0 -               2s.3p 1P1.0
   10   13         91.411      3.116e-03      8.292e+08                2p2 1S0.0 -               2s.3p 1P1.0
   11   13       1635.326      8.425e-03      7.004e+06              2s.3s 3S1.0 -               2s.3p 1P1.0
   12   13       2815.321      1.165e-01      3.268e+07              2s.3s 1S0.0 -               2s.3p 1P1.0
    4   14        -69.940      0.000e+00      2.649e+07              2s.2p 3P2.0 -               2s.3p 3P0.0
    7   14        -82.985      1.363e-03      1.372e+09                2p2 3P1.0 -               2s.3p 3P0.0
   11   14      -1194.011      9.616e-02      2.550e+08              2s.3s 3S1.0 -               2s.3p 3P0.0
    1   15        -63.460      1.595e-02      9.030e+09                2s2 1S0.0 -               2s.3p 3P1.0
    3   15        -69.780      0.000e+00      6.450e+06              2s.2p 3P1.0 -               2s.3p 3P1.0
    4   15        -69.902      0.000e+00      1.928e+07              2s.2p 3P2.0 -               2s.3p 3P1.0
    5   15        -77.495      0.000e+00      3.002e+05              2s.2p 1P1.0 -               2s.3p 3P1.0
    6   15        -82.843      1.418e-03      4.771e+08                2p2 3P0.0 -               2s.3p 3P1.0
    7   15        -82.931      9.733e-04      3.267e+08                2p2 3P1.0 -               2s.3p 3P1.0
    8   15        -83.080      1.477e-03      4.942e+08                2p2 3P2.0 -               2s.3p 3P1.0
    9   15        -86.240      3.140e-03      9.899e+08                2p2 1D2.0 -               2s.3p 3P1.0
   10   15        -94.286      7.184e-05      1.919e+07                2p2 1S0.0 -               2s.3p 3P1.0
   11   15      -1182.851      2.816e-01      2.521e+08              2s.3s 3S1.0 -               2s.3p 3P1.0
   12   15      -1996.296      3.744e-03      1.190e+06              2s.3s 1S0.0 -               2s.3p 3P1.0
