SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83040407.2   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    10270.5 
     3          2S1 2P6             (2)0( 0.5)   522842.2*

   IC RESOLVED LEVEL INDEXING           BWNR=  85272245.4   NLVL= 331
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    83     1    2S2 2P5 5G1         (3)3( 2.0)  2016525.2 
    84     1    2S2 2P5 5G1         (3)3( 3.0)  2016537.8 
    85     1    2S2 2P5 5F1         (3)3( 2.0)  2016559.1 
    86     1    2S2 2P5 5G1         (1)5( 5.0)  2016628.1 
    87     1    2S2 2P5 5G1         (3)5( 6.0)  2016638.1 
    88     1    2S2 2P5 5F1         (1)3( 3.0)  2016741.3 
    89     1    2S2 2P5 5F1         (3)3( 4.0)  2016770.2 
    90     1    2S2 2P5 5G1         (3)4( 3.0)  2016811.2 
    91     1    2S2 2P5 5G1         (3)4( 4.0)  2016820.1 
    92     1    2S2 2P5 5G1         (1)4( 4.0)  2016914.7 
    93     1    2S2 2P5 5G1         (3)4( 5.0)  2016925.2 
    94     2    2S2 2P5 5D1         (3)3( 2.0)  2018873.2 
    95     2    2S2 2P5 5D1         (3)2( 2.0)  2019064.6 
    96     2    2S2 2P5 5D1         (1)3( 3.0)  2019379.6 
    97     2    2S2 2P5 5D1         (1)1( 1.0)  2022628.6 
    98     2    2S2 2P5 5F1         (3)4( 3.0)  2026625.9 
    99     2    2S2 2P5 5F1         (3)2( 3.0)  2026661.9 
   100     2    2S2 2P5 5F1         (3)4( 4.0)  2026673.1 
   101     2    2S2 2P5 5F1         (1)2( 2.0)  2026743.5 
   102     2    2S2 2P5 5G1         (3)5( 4.0)  2027006.0 
   103     2    2S2 2P5 5G1         (1)3( 3.0)  2027010.3 
   104     2    2S2 2P5 5G1         (3)5( 5.0)  2027017.7 
   105     2    2S2 2P5 5G1         (3)3( 4.0)  2027020.0 
   106     1    2S2 2P5 6S1         (3)1( 2.0)  2052741.8 
