SEQ='AL'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86544137.0   NPRNTI= 4   NPRNTF= 9
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    75     5    2P6 3S1 3P1 4S1     (2)1( 1.5)   301098.7 
    76     1    2P6 3S2 6P1         (2)1( 0.5)   301502.0 
    77     1    2P6 3S2 6P1         (2)1( 1.5)   301550.6 
    78     5    2P6 3S1 3P1 3D1     (2)1( 0.5)   301564.4 
    79     5    2P6 3S1 3P1 3D1     (2)1( 1.5)   301625.1 
    80     1    2P6 3S2 7S1         (2)0( 0.5)   310700.6 
    81     1    2P6 3S2 6D1         (2)2( 1.5)   311619.4 
    82     1    2P6 3S2 6D1         (2)2( 2.5)   311625.4 
    83     1    2P6 3S2 6F1         (2)3( 2.5)   315050.1 
    84     1    2P6 3S2 6F1         (2)3( 3.5)   315052.0 
    85     1    2P6 3S2 6G1         (2)4( 3.5)   315560.4 
    86     1    2P6 3S2 6G1         (2)4( 4.5)   315561.5 
    87     1    2P6 3S2 6H1         (2)5( 4.5)   315595.4 
    88     1    2P6 3S2 6H1         (2)5( 5.5)   315596.1 
    89     6    2P6 3P2 3D1         (2)3( 2.5)   319555.2 
    90     2    2P6 3S1 3P1 5S1     (4)1( 0.5)   319713.7 
    91     6    2P6 3P2 3D1         (2)3( 3.5)   319858.8 
    92     1    2P6 3S2 7P1         (2)1( 0.5)   319964.9 
    93     1    2P6 3S2 7P1         (2)1( 1.5)   319994.5 
    94     3    2P6 3S1 3P1 5S1     (4)1( 1.5)   320041.4 
    95     4    2P6 3S1 3P1 5S1     (4)1( 2.5)   320630.8 
    96     2    2P6 3S1 3P1 4D1     (4)2( 1.5)   321540.9 
    97     2    2P6 3S1 3P1 4D1     (4)2( 2.5)   321590.9 
    98     3    2P6 3S1 3P1 4D1     (4)2( 0.5)   321661.8 
    99     3    2P6 3S1 3P1 4D1     (4)2( 3.5)   321787.3 
   100     3    2P6 3S1 3P1 4D1     (4)3( 1.5)   321906.2 
   101     3    2P6 3S1 3P1 4D1     (4)3( 2.5)   322137.5 
   102     4    2P6 3S1 3P1 4D1     (4)3( 3.5)   322402.0 
   103     4    2P6 3S1 3P1 4D1     (4)3( 4.5)   322571.3 
   104     3    2P6 3S1 3P1 5S1     (2)1( 0.5)   323193.9 
   105     4    2P6 3S1 3P1 5S1     (2)1( 1.5)   323869.0 
   106     3    2P6 3S1 3P1 4D1     (4)1( 2.5)   324335.3 
   107     3    2P6 3S1 3P1 4D1     (2)2( 1.5)   324503.0 
   108     4    2P6 3S1 3P1 4D1     (4)1( 1.5)   324727.5 
   109     4    2P6 3S1 3P1 4D1     (2)2( 2.5)   324785.3 
   110     4    2P6 3S1 3P1 4D1     (4)1( 0.5)   324848.3 
   111     1    2P6 3S2 8S1         (2)0( 0.5)   325485.6 
   112     1    2P6 3S2 7D1         (2)2( 1.5)   326035.8 
   113     1    2P6 3S2 7D1         (2)2( 2.5)   326039.7 
   114     6    2P6 3P2 3D1         (4)3( 1.5)   326607.7 
   115     6    2P6 3P2 3D1         (4)3( 2.5)   326773.4 
   116     6    2P6 3P2 3D1         (4)3( 3.5)   327005.4 
   117     6    2P6 3P2 3D1         (4)3( 4.5)   327303.6 
   118     1    2P6 3S2 7F1         (2)3( 2.5)   328172.2 
   119     1    2P6 3S2 7F1         (2)3( 3.5)   328173.4 
   120     4    2P6 3S1 3P1 4D1     (2)3( 2.5)   328215.6 
   121     5    2P6 3S1 3P1 4P1     (2)2( 1.5)   328310.7 
   122     5    2P6 3S1 3P1 4P1     (2)2( 2.5)   328407.9 
   123     1    2P6 3S2 7G1         (2)4( 3.5)   328508.4 
   124     1    2P6 3S2 7G1         (2)4( 4.5)   328509.1 
   125     1    2P6 3S2 7H1         (2)5( 4.5)   328535.3 
   126     1    2P6 3S2 7H1         (2)5( 5.5)   328535.8 
   127     5    2P6 3S1 3P1 4P1     (2)1( 0.5)   328674.0 
   128     4    2P6 3S1 3P1 4D1     (2)3( 3.5)   328743.6 
   129     5    2P6 3S1 3P1 4P1     (2)1( 1.5)   328809.1 
   130     6    2P6 3P2 3D1         (2)1( 1.5)   329558.4 
   131     6    2P6 3P2 3D1         (2)1( 0.5)   330050.7 
   132     4    2P6 3S1 3P1 4D1     (2)1( 1.5)   331082.0 
   133     1    2P6 3S2 8P1         (2)1( 0.5)   331332.8 
   134     1    2P6 3S2 8P1         (2)1( 1.5)   331352.1 
   135     4    2P6 3S1 3P1 4D1     (2)1( 0.5)   331412.6 
   136     5    2P6 3S1 3P1 4P1     (2)0( 0.5)   332200.5 
   137     6    2P6 3P2 3D1         (4)2( 0.5)   332457.7 
   138     6    2P6 3P2 3D1         (4)2( 1.5)   332494.0 
   139     6    2P6 3P2 3D1         (4)2( 2.5)   332577.9 
   140     6    2P6 3P2 3D1         (4)2( 3.5)   332723.8 
   141     3    2P6 3S1 3P1 4F1     (4)3( 1.5)   333482.6 
   142     2    2P6 3S1 3P1 4F1     (4)3( 2.5)   333494.8 
   143     2    2P6 3S1 3P1 4F1     (4)3( 3.5)   333536.4 
   144     3    2P6 3S1 3P1 4F1     (2)3( 2.5)   333643.0 
   145     3    2P6 3S1 3P1 4F1     (4)3( 4.5)   333660.6 
   146     3    2P6 3S1 3P1 4F1     (2)3( 3.5)   333786.2 
   147     3    2P6 3S1 3P1 4F1     (4)4( 2.5)   335241.5 
   148     1    2P6 3S2 8D1         (2)2( 1.5)   335263.7 
   149     1    2P6 3S2 8D1         (2)2( 2.5)   335266.4 
   150     3    2P6 3S1 3P1 4F1     (4)4( 3.5)   335435.1 
   151     4    2P6 3S1 3P1 4F1     (4)4( 4.5)   335679.5 
   152     4    2P6 3S1 3P1 4F1     (4)4( 5.5)   335962.9 
   153     1    2P6 3S2 8F1         (2)3( 2.5)   336682.4 
   154     1    2P6 3S2 8F1         (2)3( 3.5)   336683.2 
   155     1    2P6 3S2 8G1         (2)4( 3.5)   336913.7 
   156     1    2P6 3S2 8G1         (2)4( 4.5)   336914.2 
   157     1    2P6 3S2 8H1         (2)5( 4.5)   336933.9 
   158     1    2P6 3S2 8H1         (2)5( 5.5)   336934.2 
   159     4    2P6 3S1 3P1 4F1     (4)2( 3.5)   337471.1 
   160     4    2P6 3S1 3P1 4F1     (4)2( 2.5)   337712.4 
   161     4    2P6 3S1 3P1 4F1     (4)2( 1.5)   337890.2 
   162     4    2P6 3S1 3P1 4F1     (4)2( 0.5)   337996.7 
   163     4    2P6 3S1 3P1 4F1     (2)4( 3.5)   338384.5 
   164     4    2P6 3S1 3P1 4F1     (2)4( 4.5)   338897.8 
   165     4    2P6 3S1 3P1 4F1     (2)2( 2.5)   339597.8 
   166     4    2P6 3S1 3P1 4F1     (2)2( 1.5)   339964.2 
   167     6    2P6 3P2 3D1         (2)4( 3.5)   340292.2 
   168     6    2P6 3P2 3D1         (2)4( 4.5)   340348.9 
   169     2    2P6 3S1 3P1 5P1     (4)2( 0.5)   349267.6 
   170     2    2P6 3S1 3P1 5P1     (4)2( 1.5)   349474.6 
   171     6    2P6 3P2 3D1         (2)2( 2.5)   349724.1 
   172     3    2P6 3S1 3P1 5P1     (4)2( 2.5)   349789.5 
   173     6    2P6 3P2 3D1         (2)2( 1.5)   349792.4 
   174     3    2P6 3S1 3P1 5P1     (2)1( 0.5)   349921.6 
   175     3    2P6 3S1 3P1 5P1     (2)1( 1.5)   350100.3 
   176     4    2P6 3S1 3P1 5P1     (4)2( 3.5)   350280.6 
   177     3    2P6 3S1 3P1 5P1     (4)1( 0.5)   350544.1 
   178     3    2P6 3S1 3P1 5P1     (4)1( 1.5)   350726.0 
   179     4    2P6 3S1 3P1 5P1     (4)1( 2.5)   351069.6 
   180     4    2P6 3S1 3P1 5P1     (4)0( 1.5)   351906.1 
   181     4    2P6 3S1 3P1 5P1     (2)2( 1.5)   353006.4 
   182     4    2P6 3S1 3P1 5P1     (2)2( 2.5)   353553.7 
   183     6    2P6 3P2 3D1         (4)1( 2.5)   354408.4 
   184     6    2P6 3P2 3D1         (4)1( 1.5)   354589.1 
   185     6    2P6 3P2 3D1         (4)1( 0.5)   354697.2 
   186     4    2P6 3S1 3P1 5P1     (2)0( 0.5)   356473.2 
   187     6    2P6 3P2 3D1         (2)1( 0.5)   363711.8 
   188     6    2P6 3P2 3D1         (2)1( 1.5)   363903.7 
