  1     1        3s2.3p  2  1 P  0.5  2          0.000       0.000000          0.000       0.000000
  2     1        3s2.3p  2  1 P  1.5  4      18851.719       0.171790      18490.686       0.168500
  3     2        3s.3p2  4  1 P  0.5  2     225113.375       2.051390     222468.734       2.027290
  4     2        3s.3p2  4  1 P  1.5  4     232788.391       2.121330     229973.641       2.095680
  5     2        3s.3p2  4  1 P  2.5  6     242387.094       2.208800     239477.969       2.182290
  6     2        3s.3p2  2  2 D  1.5  4     299240.750       2.726890     299672.000       2.730820
  7     2        3s.3p2  2  2 D  2.5  6     301468.375       2.747190     301764.687       2.749890
  8     2        3s.3p2  2  0 S  0.5  2     364692.250       3.323330     368998.344       3.362570
  9     2        3s.3p2  2  1 P  0.5  2     388508.469       3.540360     393265.594       3.583710
 10     2        3s.3p2  2  1 P  1.5  4     396510.500       3.613280     401322.469       3.657130
 11     3        3s2.3d  2  2 D  1.5  4     473222.125       4.312330     481389.906       4.386760
 12     3        3s2.3d  2  2 D  2.5  6     475200.719       4.330360     483818.344       4.408890
 13     4           3p3  2  2 D  1.5  4     576381.500       5.252390     576628.437       5.254640
 14     4           3p3  2  2 D  2.5  6     580231.062       5.287470     580267.312       5.287800
 15     4           3p3  4  0 S  1.5  4     589000.187       5.367380     589990.000       5.376400
 16     5  3s.3p(3P).3d  4  3 F  1.5  4     641823.000       5.848738     644907.875       5.876850     
 17     4           3p3  2  1 P  0.5  2     642177.625       5.851970     645650.812       5.883620
 18     4           3p3  2  1 P  1.5  4     645420.312       5.881520     648555.562       5.910090
 19     5  3s.3p(3P).3d  4  3 F  2.5  6     645986.625       5.886680     648910.000       5.913320
 20     5  3s.3p(3P).3d  4  3 F  3.5  8     651944.187       5.940970     654679.937       5.965900
 21     5  3s.3p(3P).3d  4  3 F  4.5 10     660261.187       6.016760     662677.625       6.038780
 22     5  3s.3p(3P).3d  4  1 P  2.5  6     690301.687       6.290510     695225.625       6.335380
 23     5  3s.3p(3P).3d  4  2 D  1.5  4     692659.937       6.312000     697508.125       6.356180
 24     5  3s.3p(3P).3d  4  2 D  0.5  2     694166.625       6.325730     699097.125       6.370660
 25     5  3s.3p(3P).3d  4  2 D  3.5  8     703391.125       6.409790     708482.937       6.456190
 26     5  3s.3p(3P).3d  4  1 P  0.5  2     703747.812       6.413040     707362.500       6.445980
 27     5  3s.3p(3P).3d  4  2 D  2.5  6     704112.062       6.416360     708636.562       6.457590
 28     5  3s.3p(3P).3d  4  1 P  1.5  4     704207.562       6.417230     708178.937       6.453420
 29     5  3s.3p(3P).3d  2  2 D  1.5  4     717192.750       6.535560     723440.125       6.592490
 30     5  3s.3p(3P).3d  2  2 D  2.5  6     717858.812       6.541630     724028.250       6.597850
 31     5  3s.3p(3P).3d  2  3 F  2.5  6     744962.812       6.788620     755311.000       6.882920
 32     5  3s.3p(3P).3d  2  3 F  3.5  8     759812.437       6.923940     769621.812       7.013330
 33     5  3s.3p(3P).3d  2  1 P  1.5  4     807111.250       7.354960     819696.937       7.469650
 34     5  3s.3p(3P).3d  2  1 P  0.5  2     815123.125       7.427970     827768.125       7.543200
 35     5  3s.3p(1P).3d  2  3 F  3.5  8     817591.125       7.450460     831095.375       7.573520
 36     5  3s.3p(1P).3d  2  3 F  2.5  6     820599.000       7.477870     833813.562       7.598290
 37     5  3s.3p(1P).3d  2  1 P  0.5  2     839490.250       7.650020     854964.250       7.791030
 38     5  3s.3p(1P).3d  2  2 D  1.5  4     840773.062       7.661710     856127.500       7.801630
 39     5  3s.3p(1P).3d  2  1 P  1.5  4     843653.687       7.687960     859131.000       7.829000
 40     5  3s.3p(1P).3d  2  2 D  2.5  6     844474.500       7.695440     859267.000       7.830240
qq -1
%filename: fe_14.elvlc
%observed energy levels: Churilov S.S., Levashov V.E., 1993, Physica Scripta 48, 425
%observed energy levels: Redfors A., Litzen U., 1989, J.Opt.Soc.Am.B 6, #8, 1447
%theoretical energy levels: Storey P.J., Mason H.E., Young P.R., 2000, A&ASS 141, 285
    Only level 16 does not have an observed energy. I have placed in 
    the third energy column a recommended value for the energy value of 
    this level, based on the theoretical and observed splittings of the 
    4F levels. It is this energy value which is used to compute the 
    wavelengths of transitions involving level 16 given in the .wgfa 
    file.
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
q%   P.R.Young Feb 99
    1    2       5304.566      0.000e+00      6.024e+01             3s2.3p 2P0.5 -              3s2.3p 2P1.5
    1    3        444.221      1.580e-03      2.671e+07             3s2.3p 2P0.5 -              3s.3p2 4P0.5
    2    3        484.822      6.970e-04      9.889e+06             3s2.3p 2P1.5 -              3s.3p2 4P0.5
    1    4        429.575      6.266e-05      5.662e+05             3s2.3p 2P0.5 -              3s.3p2 4P1.5
    2    4        467.429      8.147e-04      6.218e+06             3s2.3p 2P1.5 -              3s.3p2 4P1.5
    2    5        447.357      4.768e-03      2.649e+07             3s2.3p 2P1.5 -              3s.3p2 4P2.5
    1    6        334.180      1.595e-01      2.382e+09             3s2.3p 2P0.5 -              3s.3p2 2D1.5
    2    6        356.648      5.584e-03      7.321e+07             3s2.3p 2P1.5 -              3s.3p2 2D1.5
    2    7        353.837      2.154e-01      1.912e+09             3s2.3p 2P1.5 -              3s.3p2 2D2.5
    1    8        274.204      4.007e-01      1.777e+10             3s2.3p 2P0.5 -              3s.3p2 2S0.5
    2    8        289.151      2.876e-02      1.147e+09             3s2.3p 2P1.5 -              3s.3p2 2S0.5
    1    9        257.395      2.633e-01      1.326e+10             3s2.3p 2P0.5 -              3s.3p2 2P0.5
    2    9        270.522      4.614e-01      2.103e+10             3s2.3p 2P1.5 -              3s.3p2 2P0.5
    1   10        252.201      2.898e-01      7.598e+09             3s2.3p 2P0.5 -              3s.3p2 2P1.5
    2   10        264.790      1.384e+00      3.291e+10             3s2.3p 2P1.5 -              3s.3p2 2P1.5
    1   11        211.318      9.527e-01      3.557e+10             3s2.3p 2P0.5 -              3s2.3d 2D1.5
    2   11        220.085      2.324e-01      8.002e+09             3s2.3p 2P1.5 -              3s2.3d 2D1.5
    2   12        219.131      1.714e+00      3.969e+10             3s2.3p 2P1.5 -              3s2.3d 2D2.5
    3   13        284.683      1.335e-02      2.747e+08             3s.3p2 4P0.5 -                 3p3 2D1.5
    4   13        291.042      1.142e-02      2.248e+08             3s.3p2 4P1.5 -                 3p3 2D1.5
    5   13        299.407      3.963e-02      7.371e+08             3s.3p2 4P2.5 -                 3p3 2D1.5
    6   13        360.828      1.631e-01      2.089e+09             3s.3p2 2D1.5 -                 3p3 2D1.5
    7   13        363.752      7.167e-02      9.032e+08             3s.3p2 2D2.5 -                 3p3 2D1.5
    8   13        472.391      5.080e-02      3.796e+08             3s.3p2 2S0.5 -                 3p3 2D1.5
    9   13        532.275      8.086e-02      4.759e+08             3s.3p2 2P0.5 -                 3p3 2D1.5
   10   13        555.955      4.480e-03      2.417e+07             3s.3p2 2P1.5 -                 3p3 2D1.5
   11   13        969.376      3.669e-03      6.511e+06             3s2.3d 2D1.5 -                 3p3 2D1.5
   12   13        988.332      4.587e-04      7.830e+05             3s2.3d 2D2.5 -                 3p3 2D1.5
    4   14        287.818      2.323e-04      3.117e+06             3s.3p2 4P1.5 -                 3p3 2D2.5
    5   14        295.995      7.485e-03      9.498e+07             3s.3p2 4P2.5 -                 3p3 2D2.5
    6   14        355.885      3.500e-02      3.072e+08             3s.3p2 2D1.5 -                 3p3 2D2.5
    7   14        358.729      3.412e-01      2.947e+09             3s.3p2 2D2.5 -                 3p3 2D2.5
   10   14        544.306      1.777e-01      6.666e+08             3s.3p2 2P1.5 -                 3p3 2D2.5
   11   14        934.503      3.295e-04      4.195e+05             3s2.3d 2D1.5 -                 3p3 2D2.5
   12   14        952.108      6.285e-03      7.708e+06             3s2.3d 2D2.5 -                 3p3 2D2.5
    3   15        274.811      2.829e-01      6.247e+09             3s.3p2 4P0.5 -                 3p3 4S1.5
    4   15        280.732      5.597e-01      1.184e+10             3s.3p2 4P1.5 -                 3p3 4S1.5
    5   15        288.507      7.971e-01      1.597e+10             3s.3p2 4P2.5 -                 3p3 4S1.5
    6   15        345.115      7.798e-03      1.092e+08             3s.3p2 2D1.5 -                 3p3 4S1.5
    7   15        347.788      1.823e-03      2.513e+07             3s.3p2 2D2.5 -                 3p3 4S1.5
    8   15        445.817      2.986e-05      2.505e+05             3s.3p2 2S0.5 -                 3p3 4S1.5
    9   15        498.775      1.744e-03      1.169e+07             3s.3p2 2P0.5 -                 3p3 4S1.5
   10   15        519.509      1.043e-02      6.445e+07             3s.3p2 2P1.5 -                 3p3 4S1.5
