SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83038523.0   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    10157.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  85293139.8   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    84     1    2S2 2P5 5D1         (3)3( 3.0)  2031434.8 
    85     1    2S2 2P5 5D1         (1)2( 2.0)  2032189.0 
    86     1    2S2 2P5 5D1         (3)2( 3.0)  2032496.0 
    87     1    2S2 2P5 5D1         (3)2( 1.0)  2035173.0 
    88     1    2S2 2P5 5F1         (3)2( 1.0)  2038602.4 
    89     1    2S2 2P5 5G1         (1)*( 2.0)  2038627.5 
    90     1    2S2 2P5 5G1         (1)*( 3.0)  2038627.5 
    91     1    2S2 2P5 5G1         (1)*( 4.0)  2038627.5 
    92     1    2S2 2P5 5G1         (1)*( 5.0)  2038627.5 
    93     1    2S2 2P5 5G1         (1)*( 3.0)  2038627.5 
    94     1    2S2 2P5 5G1         (1)*( 4.0)  2038627.5 
    95     1    2S2 2P5 5G1         (1)*( 5.0)  2038627.5 
    96     1    2S2 2P5 5G1         (1)*( 6.0)  2038627.5 
    97     1    2S2 2P5 5F1         (3)2( 2.0)  2038725.9 
    98     1    2S2 2P5 5F1         (3)4( 5.0)  2038908.7 
    99     1    2S2 2P5 5F1         (1)4( 4.0)  2038938.2 
   100     1    2S2 2P5 5F1         (3)2( 3.0)  2039205.2 
   101     1    2S2 2P5 5F1         (3)3( 2.0)  2039312.8 
   102     1    2S2 2P5 5F1         (1)3( 3.0)  2039493.9 
   103     1    2S2 2P5 5F1         (3)3( 4.0)  2039522.7 
   104     2    2S2 2P5 5D1         (3)3( 2.0)  2041472.8 
   105     2    2S2 2P5 5D1         (3)2( 2.0)  2041645.8 
   106     2    2S2 2P5 5D1         (1)3( 3.0)  2041935.1 
   107     2    2S2 2P5 5D1         (1)1( 1.0)  2044842.2 
   108     2    2S2 2P5 5G1         (1)*( 3.0)  2048784.5 
   109     2    2S2 2P5 5G1         (1)*( 4.0)  2048784.5 
   110     2    2S2 2P5 5G1         (1)*( 4.0)  2048784.5 
   111     2    2S2 2P5 5G1         (1)*( 5.0)  2048784.5 
   112     2    2S2 2P5 5F1         (3)4( 3.0)  2049265.0 
   113     2    2S2 2P5 5F1         (3)3( 3.0)  2049300.9 
   114     2    2S2 2P5 5F1         (3)4( 4.0)  2049312.2 
   115     2    2S2 2P5 5F1         (1)2( 2.0)  2049383.8 
   116     1    2S2 2P5 6S1         (3)1( 2.0)  2075172.3 
   117     1    2S2 2P5 6S1         (1)1( 1.0)  2075766.7 
   118     2    2S2 2P5 6S1         (3)1( 0.0)  2085329.3 
   119     1    2S2 2P5 6P1         (3)0( 1.0)  2085354.0 
   120     2    2S2 2P5 6S1         (3)1( 1.0)  2085655.1 
   121     1    2S2 2P5 6P1         (3)2( 3.0)  2086077.3 
   122     1    2S2 2P5 6P1         (3)2( 2.0)  2086298.1 
   123     1    2S2 2P5 6P1         (1)1( 1.0)  2086684.9 
   124     1    2S2 2P5 6P1         (3)1( 2.0)  2086891.7 
   125     1    2S2 2P5 6P1         (3)1( 0.0)  2090360.3 
   126     2    2S2 2P5 6P1         (3)2( 1.0)  2096234.5 
   127     2    2S2 2P5 6P1         (3)1( 1.0)  2096457.4 
   128     2    2S2 2P5 6P1         (1)2( 2.0)  2096642.6 
   129     1    2S2 2P5 6D1         (3)1( 0.0)  2099605.3 
   130     1    2S2 2P5 6D1         (3)1( 1.0)  2099901.9 
   131     1    2S2 2P5 6D1         (3)3( 4.0)  2100189.8 
   132     1    2S2 2P5 6D1         (3)1( 2.0)  2100347.7 
   133     2    2S2 2P5 6P1         (1)0( 0.0)  2100477.6 
   134     1    2S2 2P5 6D1         (3)3( 3.0)  2100500.1 
   135     1    2S2 2P5 6D1         (1)2( 2.0)  2100923.5 
   136     1    2S2 2P5 6D1         (3)2( 3.0)  2101090.3 
   137     1    2S2 2P5 6D1         (1)1( 1.0)  2102817.9 
   138     1    2S2 2P5 6F1         (3)2( 1.0)  2104671.8 
   139     1    2S2 2P5 6G1         (1)*( 2.0)  2104729.1 
   140     1    2S2 2P5 6G1         (1)*( 3.0)  2104729.1 
   141     1    2S2 2P5 6G1         (1)*( 4.0)  2104729.1 
   142     1    2S2 2P5 6G1         (1)*( 5.0)  2104729.1 
   143     1    2S2 2P5 6G1         (1)*( 3.0)  2104729.1 
   144     1    2S2 2P5 6G1         (1)*( 4.0)  2104729.1 
   145     1    2S2 2P5 6G1         (1)*( 5.0)  2104729.1 
   146     1    2S2 2P5 6G1         (1)*( 6.0)  2104729.1 
   147     1    2S2 2P5 6F1         (3)2( 2.0)  2104751.9 
   148     1    2S2 2P5 6F1         (3)4( 5.0)  2104848.1 
   149     1    2S2 2P5 6F1         (1)4( 4.0)  2104869.6 
   150     1    2S2 2P5 6H1         (1)*( 3.0)  2104982.6 
   151     1    2S2 2P5 6H1         (1)*( 4.0)  2104982.6 
   152     1    2S2 2P5 6H1         (1)*( 5.0)  2104982.6 
   153     1    2S2 2P5 6H1         (1)*( 6.0)  2104982.6 
   154     1    2S2 2P5 6H1         (1)*( 4.0)  2104982.6 
   155     1    2S2 2P5 6H1         (1)*( 5.0)  2104982.6 
   156     1    2S2 2P5 6H1         (1)*( 6.0)  2104982.6 
   157     1    2S2 2P5 6H1         (1)*( 7.0)  2104982.6 
   158     1    2S2 2P5 6F1         (3)3( 3.0)  2105025.9 
   159     1    2S2 2P5 6F1         (3)3( 2.0)  2105098.3 
   160     1    2S2 2P5 6F1         (1)3( 3.0)  2105187.7 
   161     1    2S2 2P5 6F1         (3)3( 4.0)  2105205.2 
   162     2    2S2 2P5 6D1         (3)3( 2.0)  2110557.5 
   163     2    2S2 2P5 6D1         (3)2( 2.0)  2110627.0 
   164     2    2S2 2P5 6D1         (1)3( 3.0)  2110827.4 
   165     2    2S2 2P5 6D1         (3)2( 1.0)  2112311.6 
   166     2    2S2 2P5 6G1         (1)*( 3.0)  2114886.2 
   167     2    2S2 2P5 6G1         (1)*( 4.0)  2114886.2 
   168     2    2S2 2P5 6G1         (1)*( 4.0)  2114886.2 
   169     2    2S2 2P5 6G1         (1)*( 5.0)  2114886.2 
   170     2    2S2 2P5 6F1         (3)4( 3.0)  2115116.3 
   171     2    2S2 2P5 6F1         (3)2( 3.0)  2115132.9 
   172     2    2S2 2P5 6H1         (1)*( 4.0)  2115139.7 
   173     2    2S2 2P5 6H1         (1)*( 5.0)  2115139.7 
